omega,re_0,im_0,re_1,im_1,re_2,im_2
62.83185307179587,4.422812617436831e-08,2.1768137468822963e-07,3.703971045460336e-08,2.1771578282747728e-07,4.032701806539222e-08,3.477593039876543e-07
65.41537996857582,4.430251638228765e-08,2.2628231199888378e-07,3.7087234837117495e-08,2.26420814270215e-07,4.1636974937477844e-08,3.6139998168025965e-07
68.10513660234535,4.437276957241495e-08,2.352482284666692e-07,3.7132474772417666e-08,2.3549223998270398e-07,4.301682900501285e-08,3.7557145023063054e-07
70.90549093886288,4.4439199164045e-08,2.4459383079701387e-07,3.717565907733568e-08,2.4494482409067027e-07,4.447057376334356e-08,3.902935806098607e-07
73.82099054637276,4.4502152007602543e-08,2.543344515760565e-07,3.7217046177968766e-08,2.5479396391624835e-07,4.600250630163032e-08,4.0558699815766527e-07
76.85636998052001,4.456192423358349e-08,2.644862059275451e-07,3.725685257254296e-08,2.650558544522365e-07,4.761709471106316e-08,4.2147322700001205e-07
80.01655847291823,4.4618691997973095e-08,2.750661355323775e-07,3.7295189878648665e-08,2.7574764779613554e-07,4.9319103002416594e-08,4.379748950396177e-07
83.3066879358569,4.4672772428936736e-08,2.860911096362386e-07,3.733229265926166e-08,2.868863103233255e-07,5.111348664726774e-08,4.5511439211227533e-07
86.73210129614749,4.472464668641031e-08,2.975791906420252e-07,3.736855628699689e-08,2.984899827630794e-07,5.300562829910792e-08,4.7291514370106735e-07
90.29836117164085,4.4774375977283716e-08,3.0954928710711745e-07,3.740399227678198e-08,3.1057772830337616e-07,5.500103654791955e-08,4.914019976324857e-07
94.01125890450754,4.4822283645116866e-08,3.220209258475928e-07,3.743885722923099e-08,3.231691940225854e-07,5.710561561468028e-08,5.106000805089881e-07
97.8768239659487,4.4868607266135846e-08,3.3501443686234924e-07,3.7473326432899116e-08,3.3628485909634533e-07,5.9325592923778586e-08,5.305355935259114e-07
101.90133374761122,4.491368718048654e-08,3.485510202302271e-07,3.750768877620418e-08,3.499460488321666e-07,6.166752501715787e-08,5.512351925644564e-07
106.09132375560732,4.4957641806446814e-08,3.6265270551171606e-07,3.754200319807275e-08,3.6417498785456804e-07,6.413822761289489e-08,5.727270720857161e-07
110.453598223693,4.500097082083595e-08,3.7734254704593983e-07,3.7576754310660326e-08,3.7899481856098154e-07,6.674507234484215e-08,5.950390602780632e-07
114.9952411628399,4.5043612580515915e-08,3.926443534217682e-07,3.76117889330503e-08,3.9442962361463493e-07,6.94955561271374e-08,6.182018602220395e-07
119.72362786514542,4.508592157920736e-08,4.085829894614681e-07,3.764746384214853e-08,4.105044100179132e-07,7.239767354338336e-08,6.422452872080064e-07
124.64643688076109,4.5128304168458227e-08,4.251844537887234e-07,3.768414608583872e-08,4.2724532612603136e-07,7.54598853789859e-08,6.672004497315287e-07
