omega,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Zc_real_0_0,Overhead_Zc_imag_0_0,Overhead_Zc_real_0_1,Overhead_Zc_imag_0_1,Overhead_Zc_real_0_2,Overhead_Zc_imag_0_2,Overhead_Zc_real_1_0,Overhead_Zc_imag_1_0,Overhead_Zc_real_1_1,Overhead_Zc_imag_1_1,Overhead_Zc_real_1_2,Overhead_Zc_imag_1_2,Overhead_Zc_real_2_0,Overhead_Zc_imag_2_0,Overhead_Zc_real_2_1,Overhead_Zc_imag_2_1,Overhead_Zc_real_2_2,Overhead_Zc_imag_2_2,Overhead_Alpha_0,Overhead_Alpha_1,Overhead_Alpha_2,Overhead_Beta_0,Overhead_Beta_1,Overhead_Beta_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,2.5978961816362383e-03,4.4272624156928221e-04,-8.0050405487018918e-04,-2.0119213652125491e-04,-4.6968763108123587e-04,-7.9157908227613953e-05,-8.0050405487018853e-04,-2.0119213652125491e-04,2.7717662564218466e-03,5.2160828124099578e-04,-8.0050405487018940e-04,-2.0119213652125485e-04,-4.6968763108123565e-04,-7.9157908227613709e-05,-8.0050405487019016e-04,-2.0119213652125526e-04,2.5978961816362400e-03,4.4272624156928227e-04,4.5321061753181823e+02,-6.5457258236628974e+01,1.7359152212410456e+02,-1.2112816321729280e+01,1.3639111050109221e+02,-1.1557156671244266e+01,1.7359152212410461e+02,-1.2112816321729266e+01,4.5028722344012397e+02,-6.6533663501656306e+01,1.7359152212410450e+02,-1.2112816321729243e+01,1.3639111050109230e+02,-1.1557156671244240e+01,1.7359152212410461e+02,-1.2112816321729298e+01,4.5321061753181795e+02,-6.5457258236628903e+01,4.4228126174368308e-08,3.7039710454603357e-08,4.0327018065392221e-08,2.1768137468822963e-07,2.1771578282747728e-07,3.4775930398765428e-07,3.4645066800670729e-04,3.4650543026114588e-04,5.5347612235832238e-04,9.9535108258969929e-01,-2.1670362150455248e-02,9.9606676493048696e-01,-2.1689372588411599e-02,9.9537323023551605e-01,-3.4628991001521690e-02
6.5415379968575820e+01,2.6064684581600635e-03,4.2943607444099189e-04,-8.0507908967903936e-04,-1.9341467749803824e-04,-4.7078560106368590e-04,-7.4611567763511181e-05,-8.0507908967790865e-04,-1.9341467749583823e-04,2.7827726336960398e-03,5.0598603557489117e-04,-8.0507908967790930e-04,-1.9341467749583839e-04,-4.7078560106368568e-04,-7.4611567763511113e-05,-8.0507908967903947e-04,-1.9341467749803840e-04,2.6064684581600639e-03,4.2943607444099216e-04,4.5250109617304901e+02,-6.3845661035486579e+01,1.7325751945982159e+02,-1.2542900328370521e+01,1.3602696221752171e+02,-1.2007884677409100e+01,1.7325751945945336e+02,-1.2542900328737833e+01,4.4954407463311031e+02,-6.4912938535523139e+01,1.7325751945945342e+02,-1.2542900328737831e+01,1.3602696221752163e+02,-1.2007884677409097e+01,1.7325751945982157e+02,-1.2542900328370512e+01,4.5250109617304901e+02,-6.3845661035486593e+01,4.4302516382287649e-08,3.7087234837117495e-08,4.1636974937477844e-08,2.2628231199888378e-07,2.2642081427021500e-07,3.6139998168025965e-07,3.4591607066653907e-04,3.4612779804838378e-04,5.5246943739204553e-04,9.9532467161984872e-01,-2.2526281681701388e-02,9.9604277322522905e-01,-2.2556336313991867e-02,9.9519469317201525e-01,-3.5982001109767202e-02
6.8105136602345354e+01,2.6145456505572368e-03,4.1646895345973599e-04,-8.0932308949995880e-04,-1.8574746329745912e-04,-4.7173793738542814e-04,-7.0177385190264304e-05,-8.0932308947622334e-04,-1.8574746325363131e-04,2.7931386150303883e-03,4.9067267498453489e-04,-8.0932308947622334e-04,-1.8574746325363133e-04,-4.7173793738542830e-04,-7.0177385190264344e-05,-8.0932308949995880e-04,-1.8574746329745904e-04,2.6145456505572364e-03,4.1646895345973589e-04,4.5180683584297350e+02,-6.2304165690928258e+01,1.7291188115118655e+02,-1.2969866050155876e+01,1.3565308605686786e+02,-1.2452946941395318e+01,1.7291188114371334e+02,-1.2969866057424273e+01,4.4881809067835854e+02,-6.3362570852932052e+01,1.7291188114371332e+02,-1.2969866057424280e+01,1.3565308605686786e+02,-1.2452946941395320e+01,1.7291188115118655e+02,-1.2969866050155876e+01,4.5180683584297356e+02,-6.2304165690928258e+01,4.4372769572414952e-08,3.7132474772417666e-08,4.3016829005012849e-08,2.3524822846666920e-07,2.3549223998270398e-07,3.7557145023063054e-07,3.4541921535264627e-04,3.4577750186113611e-04,5.5145833187815213e-04,9.9529708238341785e-01,-2.3418507771304775e-02,9.9601739560308955e-01,-2.3459773579451761e-02,9.9500539638498131e-01,-3.7387142299887904e-02
7.0905490938862883e+01,2.6221541171196857e-03,4.0383408667276607e-04,-8.1325049380304767e-04,-1.7820044620315870e-04,-4.7255363094037662e-04,-6.5855040215962517e-05,-8.1325049373445562e-04,-1.7820044608337409e-04,2.8028943779064065e-03,4.7568627748672437e-04,-8.1325049373445540e-04,-1.7820044608337412e-04,-4.7255363094037662e-04,-6.5855040215962476e-05,-8.1325049380304767e-04,-1.7820044620315875e-04,2.6221541171196857e-03,4.0383408667276613e-04,4.5112637623343795e+02,-6.0830778119747976e+01,1.7255490715360420e+02,-1.3393879703178960e+01,1.3526972277116360e+02,-1.2892688920332311e+01,1.7255490713276262e+02,-1.3393879722886400e+01,4.4810769425222469e+02,-6.1880697419946017e+01,1.7255490713276265e+02,-1.3393879722886405e+01,1.3526972277116360e+02,-1.2892688920332310e+01,1.7255490715360429e+02,-1.3393879703178950e+01,4.5112637623343790e+02,-6.0830778119747997e+01,4.4439199164045002e-08,3.7175659077335678e-08,4.4470573763343559e-08,2.4459383079701387e-07,2.4494482409067027e-07,3.9029358060986070e-07,3.4495753087431685e-04,3.4545254654800997e-04,5.5044196922123434e-04,9.9526815018527337e-01,-2.4348500735626048e-02,9.9599047395573803e-01,-2.4401151404024331e-02,9.9480464655725054e-01,-3.8846313498475324e-02
7.3820990546372755e+01,2.6293198488457625e-03,3.9153882370008479e-04,-8.1687583901162190e-04,-1.7078221425825759e-04,-4.7324124413089931e-04,-6.1643698629736127e-05,-8.1687583902833368e-04,-1.7078221428525641e-04,2.8120702285010530e-03,4.6104236951301816e-04,-8.1687583902833216e-04,-1.7078221428525625e-04,-4.7324124413089888e-04,-6.1643698629735964e-05,-8.1687583901162146e-04,-1.7078221425825764e-04,2.6293198488457612e-03,3.9153882370008457e-04,4.5045832081490914e+02,-5.9423529126520513e+01,1.7218687005398789e+02,-1.3815127172101631e+01,1.3487708353778874e+02,-1.3327462156514979e+01,1.7218687005878223e+02,-1.3815127167634515e+01,4.4741136953367334e+02,-6.0465468217642602e+01,1.7218687005878218e+02,-1.3815127167634559e+01,1.3487708353778874e+02,-1.3327462156515002e+01,1.7218687005398812e+02,-1.3815127172101601e+01,4.5045832081490943e+02,-5.9423529126520556e+01,4.4502152007602543e-08,3.7217046177968766e-08,4.6002506301630318e-08,2.5433445157605649e-07,2.5479396391624835e-07,4.0558699815766527e-07,3.4452863568159393e-04,3.4515110408359025e-04,5.4941960972859649e-04,9.9523769576013998e-01,-2.5317782610732174e-02,9.9596183583560671e-01,-2.5381999305530718e-02,9.9459169751435794e-01,-4.0361480180590908e-02
7.6856369980520014e+01,2.6360684243991925e-03,3.7958873568136276e-04,-8.2021364695371031e-04,-1.6350006558215116e-04,-4.7380888460922446e-04,-5.7542078306486721e-05,-8.2021364703410444e-04,-1.6350006579536172e-04,2.8206964672038105e-03,4.4675401016026195e-04,-8.2021364703410433e-04,-1.6350006579536142e-04,-4.7380888460922440e-04,-5.7542078306486728e-05,-8.2021364695371074e-04,-1.6350006558215103e-04,2.6360684243991908e-03,3.7958873568136211e-04,4.4980131203856683e+02,-5.8080471069957170e+01,1.7180800230073797e+02,-1.4233805730003901e+01,1.3447533738563990e+02,-1.3757618194978116e+01,1.7180800233644385e+02,-1.4233805695065742e+01,4.4672763858977157e+02,-5.9115043785362204e+01,1.7180800233644376e+02,-1.4233805695065774e+01,1.3447533738563988e+02,-1.3757618194978138e+01,1.7180800230073800e+02,-1.4233805730003915e+01,4.4980131203856700e+02,-5.8080471069957049e+01,4.4561924233583491e-08,3.7256852572542961e-08,4.7617094711063161e-08,2.6448620592754508e-07,2.6505585445223652e-07,4.2147322700001205e-07,3.4413049431632230e-04,3.4487168014754984e-04,5.4839075421703946e-04,9.9520553235423259e-01,-2.6327952883543251e-02,9.9593130025329302e-01,-2.6403925790736214e-02,9.9436576122871034e-01,-4.1934688443740535e-02
8.0016558472918234e+01,2.6424247721080697e-03,3.6798731832398941e-04,-8.2327828951930912e-04,-1.5635972220397624e-04,-4.7426405831763345e-04,-5.3548364054093359e-05,-8.2327828953743503e-04,-1.5635972221556194e-04,2.8288031707766458e-03,4.3283131476374052e-04,-8.2327828953743568e-04,-1.5635972221556170e-04,-4.7426405831763383e-04,-5.3548364054093427e-05,-8.2327828951930912e-04,-1.5635972220397573e-04,2.6424247721080697e-03,3.6798731832398871e-04,4.4915403261884154e+02,-5.6799698736095138e+01,1.7141847249049414e+02,-1.4650130574025917e+01,1.3406458826087047e+02,-1.4183512053798530e+01,1.7141847249817067e+02,-1.4650130576286605e+01,4.4605506285599876e+02,-5.7827613650011749e+01,1.7141847249817073e+02,-1.4650130576286598e+01,1.3406458826087047e+02,-1.4183512053798514e+01,1.7141847249049400e+02,-1.4650130574025940e+01,4.4915403261884154e+02,-5.6799698736095088e+01,4.4618691997973095e-08,3.7295189878648665e-08,4.9319103002416594e-08,2.7506613553237751e-07,2.7574764779613554e-07,4.3797489503961771e-07,3.4376151734328111e-04,3.4461323138443008e-04,5.4735532669510046e-04,9.9517147119746008e-01,-2.7380702964922569e-02,9.9589868246567226e-01,-2.7468634353268146e-02,9.9412599270741475e-01,-4.3568084018989574e-02
8.3306687935856900e+01,2.6484127269163927e-03,3.5673747848418303e-04,-8.2608360984985337e-04,-1.4936631580000825e-04,-4.7461393611719762e-04,-4.9660700592275839e-05,-8.2608360993309798e-04,-1.4936631584143897e-04,2.8364192144827612e-03,4.1928334619586641e-04,-8.2608360993309711e-04,-1.4936631584143987e-04,-4.7461393611719725e-04,-4.9660700592276001e-05,-8.2608360984985196e-04,-1.4936631580000833e-04,2.6484127269163944e-03,3.5673747848418390e-04,4.4851525172479290e+02,-5.5579368429099176e+01,1.7101845699405763e+02,-1.5064314748980999e+01,1.3364495158658252e+02,-1.4605487283497519e+01,1.7101845700056458e+02,-1.5064314738923299e+01,4.4539229348342121e+02,-5.6601422718795348e+01,1.7101845700056475e+02,-1.5064314738923237e+01,1.3364495158658255e+02,-1.4605487283497473e+01,1.7101845699405760e+02,-1.5064314748980991e+01,4.4851525172479279e+02,-5.5579368429099340e+01,4.4672772428936736e-08,3.7332292659261658e-08,5.1113486647267743e-08,2.8609110963623862e-07,2.8688631032332550e-07,4.5511439211227533e-07,3.4341913803669435e-04,3.4437368407230095e-04,5.4631195092367233e-04,9.9513529748466523e-01,-2.8477706062832609e-02,9.9586377334411746e-01,-2.8577808985457108e-02,9.9387150437688287e-01,-4.5263778358541243e-02
8.6732101296147491e+01,2.6540543274640245e-03,3.4583900317978019e-04,-8.2864280399112746e-04,-1.4252254499279367e-04,-4.7486463914760770e-04,-4.5876602948564570e-05,-8.2864280399112746e-04,-1.4252254499279375e-04,2.8435720963346737e-03,4.0611456054324220e-04,-8.2864280399112746e-04,-1.4252254499279369e-04,-4.7486463914760742e-04,-4.5876602948564482e-05,-8.2864280399112757e-04,-1.4252254499279367e-04,2.6540543274640241e-03,3.4583900317978019e-04,4.4788389854902465e+02,-5.4417715526608475e+01,1.7060808189734385e+02,-1.5476588144087597e+01,1.3321649153803429e+02,-1.5023875231784377e+01,1.7060808189734388e+02,-1.5476588144087595e+01,4.4473814409233512e+02,-5.5434770542034322e+01,1.7060808189734391e+02,-1.5476588144087586e+01,1.3321649153803423e+02,-1.5023875231784379e+01,1.7060808189734391e+02,-1.5476588144087593e+01,4.4788389854902459e+02,-5.4417715526608482e+01,4.4724646686410313e-08,3.7368556286996891e-08,5.3005628299107919e-08,2.9757919064202521e-07,2.9848998276307939e-07,4.7291514370106735e-07,3.4310155777955682e-04,3.4415167890823129e-04,5.4525964047186476e-04,9.9509676339865649e-01,-2.9620752854570293e-02,9.9582633092264494e-01,-2.9733249365119917e-02,9.9360133563336694e-01,-4.7023973243699529e-02
9.0298361171640849e+01,2.6593728770809536e-03,3.3529273339490449e-04,-8.3096944900895630e-04,-1.3583196256418509e-04,-4.7502274124791029e-04,-4.2193719814001225e-05,-8.3096944900334869e-04,-1.3583196256629731e-04,2.8502904622780228e-03,3.9333104684210975e-04,-8.3096944900334913e-04,-1.3583196256629744e-04,-4.7502274124791051e-04,-4.2193719814001292e-05,-8.3096944900895640e-04,-1.3583196256418515e-04,2.6593728770809540e-03,3.3529273339490449e-04,4.4725871209007124e+02,-5.3312908000701029e+01,1.7018742703023614e+02,-1.5887170441330067e+01,1.3277922864455937e+02,-1.5439017113744248e+01,1.7018742703024247e+02,-1.5887170441134129e+01,4.4409123470219305e+02,-5.4325903503882465e+01,1.7018742703024253e+02,-1.5887170441134133e+01,1.3277922864455945e+02,-1.5439017113744255e+01,1.7018742703023614e+02,-1.5887170441330060e+01,4.4725871209007119e+02,-5.3312908000701029e+01,4.4774375977283716e-08,3.7403992276781978e-08,5.5001036547919550e-08,3.0954928710711745e-07,3.1057772830337616e-07,4.9140199763248565e-07,3.4280720390785418e-04,3.4394614063152718e-04,5.4419813522243153e-04,9.9505564582354700e-01,-3.0811718549465385e-02,9.9578613394445326e-01,-3.0936847250905279e-02,9.9331447869928691e-01,-4.8850999376462416e-02
