time_s,accepted_steps,residual_evaluations,error_test_failures
2.48,80736,137733,5037
2.49,81046,138235,5055
2.5,81381,138820,5072
2.51,81738,139416,5092
2.52,82033,139977,5123
2.53,82406,140620,5156
2.54,82777,141271,5173
2.55,83106,141781,5184
2.56,83426,142315,5205
2.57,83797,142942,5220
2.58,84183,143598,5248
2.59,84606,144335,5286
2.6,84949,144933,5314
2.61,85240,145436,5335
2.62,85578,146010,5354
2.63,85949,146634,5381
2.64,86279,147229,5388
2.65,86582,147716,5405
2.66,86937,148336,5414
2.67,87299,148981,5427
2.68,87580,149465,5450
2.69,87882,149987,5466
2.7,88201,150525,5494
2.71,88646,151269,5522
2.72,89002,151910,5556
2.73,89358,152496,5577
2.74,89682,153067,5598
2.75,90061,153688,5615
2.76,90426,154284,5641
2.77,90786,154956,5671
2.78,91167,155622,5702
2.79,91549,156249,5720
2.8,91884,156801,5743
2.81,92202,157341,5766
2.82,92539,157924,5785
2.83,92896,158567,5823
2.84,93201,159089,5836
2.85,93456,159562,5860
2.86,93751,160068,5877
2.87,94051,160558,5884
2.88,94372,161129,5907
2.89,94784,161863,5931
2.9,95155,162501,5964
2.91,95451,163019,5994
2.92,95756,163569,6012
2.93,96045,164051,6031
2.94,96357,164654,6059
2.95,96675,165171,6080
2.96,97034,165848,6112
2.97,97328,166340,6132
2.98,97597,166822,6154
2.99,97900,167329,6166
3,98255,167964,6189
