time_s,accepted_steps,residual_evaluations,error_test_failures
0,0,0,0
0.01,579,992,63
0.02,1018,1688,95
0.03,1482,2533,165
0.04,1939,3320,197
0.05,2337,3932,220
0.06,2867,4787,256
0.07,3389,5610,275
0.08,3920,6513,329
0.09,4309,7212,358
0.1,4782,8095,425
0.11,5220,8851,463
0.12,5687,9633,490
0.13,6138,10554,576
0.14,6522,11147,591
0.15,7123,12168,655
0.16,7538,12955,709
0.17,7962,13629,725
0.18,8418,14412,757
0.19,8919,15351,848
0.2,9349,16041,877
0.21,9702,16596,895
0.22,10196,17387,920
0.23,10662,18194,961
0.24,11098,18894,992
0.25,11557,19593,1020
0.26,11994,20296,1048
0.27,12417,20941,1063
0.28,12847,21649,1094
0.29,13349,22523,1121
0.3,13701,23101,1143
0.31,14133,23948,1224
0.32,14543,24599,1234
0.33,14981,25252,1257
0.34,15376,25901,1278
0.35,15867,26814,1360
0.36,16320,27657,1426
0.37,16749,28351,1443
0.38,17204,29100,1465
0.39,17708,29986,1520
0.4,18158,30800,1568
0.41,18557,31412,1593
0.42,19030,32201,1606
0.43,19571,33056,1650
0.44,19981,33681,1665
0.45,20438,34501,1708
0.46,20930,35373,1757
0.47,21373,36050,1772
0.48,21854,36818,1792
0.49,22291,37595,1846
0.5,22696,38270,1876
0.51,23246,39440,2027
0.52,23615,40140,2042
0.53,24113,41021,2103
0.54,24619,41863,2145
0.55,25036,42611,2170
0.56,25423,43226,2194
0.57,25902,44018,2232
0.58,26387,44792,2269
0.59,26804,45464,2304
0.6,27282,46249,2330
0.61,27672,46928,2353
0.62,28069,47539,2372
0.63,28502,48312,2429
0.64,28942,49006,2451
0.65,29238,49544,2488
0.66,29626,50173,2515
0.67,30096,50935,2548
0.68,30439,51491,2575
0.69,30866,52225,2590
0.7,31241,52815,2603
0.71,31733,53680,2661
0.72,32104,54347,2698
0.73,32462,54986,2744
0.74,33035,55975,2817
0.75,33412,56624,2866
0.76,33815,57361,2926
0.77,34229,58029,2938
0.78,34762,59084,3021
0.79,35220,59889,3077
0.8,35682,60695,3116
0.81,36157,61413,3132
0.82,36664,62281,3161
0.83,37171,63193,3207
0.84,37655,63954,3239
0.85,38071,64773,3315
0.86,38554,65646,3377
0.87,38925,66225,3397
0.88,39451,67073,3423
0.89,39888,67841,3448
0.9,40348,68793,3548
0.91,40802,69506,3578
0.92,41203,70187,3604
0.93,41621,70871,3632
0.94,42078,71622,3659
0.95,42503,72274,3689
0.96,43028,73098,3722
0.97,43434,73786,3757
0.98,43924,74566,3784
0.99,44446,75446,3828
1,44819,76086,3851
1.01,48266,80706,3941
1.02,51307,84552,3976
1.03,54185,88295,4034
1.04,56666,91522,4071
1.05,59354,95000,4118
1.06,61663,98028,4151
1.07,63876,100993,4192
1.08,66051,103889,4223
1.09,67889,106463,4266
1.1,69755,108952,4303
1.11,71561,111495,4357
1.12,73187,113797,4398
1.13,74654,115850,4446
1.14,76017,117757,4478
1.15,77383,119703,4533
1.16,78626,121458,4569
1.17,79811,123173,4606
1.18,81003,124936,4654
1.19,82166,126799,4775
1.2,83130,128276,4828
1.21,84152,129994,4937
1.22,85024,131251,4973
1.23,85790,132359,5006
1.24,86587,133690,5105
1.25,87343,134858,5144
1.26,88152,136256,5253
1.27,88871,137290,5280
1.28,89585,138339,5306
1.29,90224,139273,5328
1.3,90775,140174,5354
1.31,91412,141124,5383
1.32,92023,142096,5420
1.33,92663,143067,5447
1.34,93249,144018,5479
1.35,93842,144942,5506
1.36,94531,146044,5564
1.37,95171,147028,5590
1.38,95759,148078,5684
1.39,96387,149068,5710
1.4,96969,149999,5752
1.41,97547,150849,5775
1.42,98113,151805,5802
1.43,98754,152793,5846
1.44,99348,153666,5873
1.45,99994,154663,5911
1.46,100464,155406,5936
1.47,101003,156266,5979
1.48,101555,157172,6031
1.49,102296,158372,6112
1.5,102908,159285,6138
1.51,103594,160586,6251
1.52,104089,161360,6279
1.53,104707,162317,6311
1.54,105339,163246,6329
