t sa_top sb_top sc_top sa_bottom sb_bottom sc_bottom
0.0005429417 0.9384627222 0.0000000000 1.0000000000 0.4981166551 0.2263214253 0.7738796981
0.0005570833 0.4182406232 0.0000000000 1.0000000000 0.4996083734 0.2255855597 0.7731506096
0.0005712250 0.0327802347 0.0000000000 1.0000000000 0.5010999989 0.2248582510 0.7724127880
0.0005853667 0.0015951358 0.0000000000 1.0000000000 0.5025914988 0.2241395113 0.7716662458
0.0005995083 0.0000753117 0.0000000000 1.0000000000 0.5040828405 0.2234293522 0.7709109959
0.0006136500 0.0000035506 0.0000000000 1.0000000000 0.5055739914 0.2227277850 0.7701470513
0.0006277917 0.0000001674 0.0000000000 1.0000000000 0.5070649189 0.2220348206 0.7693744256
0.0006419333 0.0000000079 0.0000000000 1.0000000000 0.5085555903 0.2213504696 0.7685931325
0.0006560750 0.0000000004 0.0000000000 1.0000000000 0.5100459728 0.2206747423 0.7678031863
0.0006702167 0.0000000000 0.0000000000 1.0000000000 0.5115360337 0.2200076485 0.7670050103
0.0006843583 0.0000000000 0.0000000000 1.0000000000 0.5130257404 0.2193491975 0.7662006547
0.0006985000 0.0000000000 0.0000000000 1.0000000000 0.5145150600 0.2186993987 0.7653876910
0.0007126417 0.0000000000 0.0000000000 1.0000000000 0.5160039598 0.2180582606 0.7645661354
0.0007267833 0.0000000000 0.0000000000 1.0000000000 0.5174924070 0.2174257918 0.7637360041
0.0007409250 0.0000000000 0.0000000000 1.0000000000 0.5189803688 0.2168020002 0.7628973139
0.0007550667 0.0000000000 0.0000000000 1.0000000000 0.5204678122 0.2161868936 0.7620500818
0.0007692083 0.0000000000 0.0000000000 1.0000000000 0.5219547045 0.2155804792 0.7611943252
0.0007833500 0.0000000000 0.0000000000 1.0000000000 0.5234410128 0.2149827641 0.7603300619
0.0007974917 0.0000000000 0.0000000000 1.0000000000 0.5249310251 0.2143937548 0.7594573100
0.0008116333 0.0000000000 0.0000000000 1.0000000000 0.5264219650 0.2138134576 0.7585760879
0.0008257750 0.0000000000 0.0000000000 1.0000000000 0.5279122237 0.2132418784 0.7576864145
0.0008399167 0.0000000000 0.0000000000 0.9999999996 0.5294017691 0.2126790229 0.7567883090
0.0008540583 0.0000000000 0.0000000000 0.9999999921 0.5308905691 0.2121248961 0.7558817908
0.0008682000 0.0000000000 0.0000000000 0.9999998333 0.5323785917 0.2115795029 0.7549668798
0.0008823417 0.0000000000 0.0000000000 0.9999964645 0.5338658048 0.2110428480 0.7540435963
0.0008964833 0.0000000000 0.0000000000 0.9999250068 0.5353521761 0.2105149353 0.7531119608
0.0009106250 0.0000000000 0.0000000000 0.9984116006 0.5368376736 0.2099957688 0.7521719942
0.0009247667 0.0000000000 0.0000000000 0.9673538923 0.5383222650 0.2094853519 0.7512237179
0.0009389083 0.0000000000 0.0000000000 0.5827903744 0.5398059181 0.2089836878 0.7502671535
0.0009530500 0.0000000000 0.0000000000 0.0617825237 0.5412886006 0.2084907792 0.7493023229
0.0009671917 0.0000000000 0.0000000000 0.0030947110 0.5427702804 0.2080066286 0.7483292486
0.0009813333 0.0000000000 0.0000000000 0.0001463210 0.5442509251 0.2075312380 0.7473479533
0.0009954750 0.0000000000 0.0000000000 0.0000068988 0.5457305023 0.2070646094 0.7463584600
0.0010096167 0.0000000003 0.0000000003 0.0000003255 0.5472089799 0.2066067440 0.7453607922
0.0010237583 0.0000000064 0.0000000064 0.0000000217 0.5486863253 0.2061576431 0.7443549736
0.0010379000 0.0000001356 0.0000001356 0.0000001363 0.5501625063 0.2057173073 0.7433410284
0.0010520417 0.0000028763 0.0000028763 0.0000028763 0.5516374904 0.2052923846 0.7423189811
0.0010661833 0.0000610107 0.0000610107 0.0000610107 0.5531112453 0.2048823496 0.7412888565
0.0010803250 0.0012926079 0.0012926079 0.0012926079 0.5545837384 0.2044810832 0.7402506800
0.0010944667 0.0267215464 0.0267215464 0.0267215464 0.5560549374 0.2040885868 0.7392044769
0.0011086083 0.3680480180 0.3680480180 0.3680480180 0.5575248097 0.2037048617 0.7381502734
0.0011227500 0.9251174627 0.9251174624 0.9251174627 0.5589933230 0.2033299085 0.7370880957
0.0011368917 0.9961986863 0.9961986804 0.9961986863 0.5604604446 0.2029637279 0.7360179704
0.0011510333 0.9998201486 0.9998200246 0.9998201486 0.5619261421 0.2026063201 0.7349399245
0.0011651750 0.9999915201 0.9999888890 0.9999915201 0.5633903830 0.2022576848 0.7338539856
0.0011793167 0.9999996002 0.9999437900 0.9999996002 0.5648531348 0.2019178216 0.7327601811
0.0011934583 0.9999999812 0.9988174301 0.9999999812 0.5663143648 0.2015867298 0.7316585394
0.0012076000 0.9999999991 0.9755005011 0.9999999991 0.5677740406 0.2012644083 0.7305490887
0.0012217417 1.0000000000 0.6524209915 1.0000000000 0.5692321296 0.2009508557 0.7294318580
0.0012358833 1.0000000000 0.0812934018 1.0000000000 0.5706885991 0.2006460701 0.7283068763
0.0012500250 1.0000000000 0.0041540784 1.0000000000 0.5721434168 0.2003500497 0.7271741733
0.0012641667 1.0000000000 0.0001966080 1.0000000000 0.5735965499 0.2000627920 0.7260337788
0.0012783083 1.0000000000 0.0000092701 1.0000000000 0.5750479659 0.1997842945 0.7248857231
0.0012924500 1.0000000000 0.0000004370 1.0000000000 0.5764976322 0.1995145541 0.7237300367
0.0013065917 1.0000000000 0.0000000206 1.0000000000 0.5779455162 0.1992535676 0.7225667506
0.0013207333 1.0000000000 0.0000000010 1.0000000000 0.5793915854 0.1990013314 0.7213958962
0.0013348750 1.0000000000 0.0000000000 1.0000000000 0.5808358071 0.1987578417 0.7202175051
0.0013490167 1.0000000000 0.0000000000 1.0000000000 0.5822781489 0.1985230943 0.7190316093
0.0013631583 1.0000000000 0.0000000000 1.0000000000 0.5837185780 0.1982970847 0.7178382413
0.0013773000 1.0000000000 0.0000000000 1.0000000000 0.5851570619 0.1980798082 0.7166374337
0.0013914417 1.0000000000 0.0000000000 1.0000000000 0.5865935681 0.1978712597 0.7154292197
