t sa_top sb_top sc_top sa_bottom sb_bottom sc_bottom
0 0 0 7.7546314925e-08 0.499999564372 0.15358963635 0.846409959378
4.16666666667e-06 0 0 1.02423422188e-07 0.500627882766 0.153275905017 0.84609537255
8.33333333333e-06 0 0 1.98233202742e-07 0.501256199853 0.152963029301 0.845779931878
1.25e-05 0 0 4.28074146575e-07 0.501884514083 0.152651009974 0.845463638141
1.66666666667e-05 0 0 9.45720679491e-07 0.502512823905 0.152339847804 0.845146492119
2.08333333333e-05 0 0 2.09836738074e-06 0.503141127768 0.15202954356 0.844828494595
2.5e-05 0 0 4.65931213062e-06 0.503769424121 0.151720098004 0.844509646354
2.91666666667e-05 0 0 1.03463788562e-05 0.504397711414 0.151411511901 0.844189948184
3.33333333333e-05 0 0 2.29733286786e-05 0.505025988095 0.151103786011 0.843869400873
3.75e-05 0 0 5.1005180877e-05 0.505654252612 0.15079692109 0.843548005212
4.16666666667e-05 0 0 0.0001132268346 0.506282503416 0.150490917897 0.843225761995
4.58333333333e-05 0 0 0.000251310541951 0.506910738953 0.150185777184 0.842902672017
5e-05 0 0 0.000557645398357 0.507538957673 0.149881499704 0.842578736074
5.41666666667e-05 0 0 0.00123680896497 0.508167158023 0.149578086205 0.842253954967
5.83333333333e-05 0 0 0.00274060978906 0.508795338453 0.149275537436 0.841928329496
6.25e-05 0 0 0.00606117728765 0.50942349741 0.14897385414 0.841601860465
6.66666666667e-05 0 0 0.0133499022653 0.510051633343 0.148673037062 0.841274548679
7.08333333333e-05 0 0 0.0291438397388 0.510679744698 0.148373086942 0.840946394945
7.5e-05 0 0 0.0624352037552 0.511307829926 0.148074004518 0.840617400072
7.91666666667e-05 0 0 0.128703412176 0.511935887472 0.147775790527 0.840287564872
8.33333333333e-05 5.55111512313e-17 0 0.246776242767 0.512563915786 0.147478445704 0.839956890157
8.75e-05 1.11022302463e-16 0 0.420826362086 0.513191913315 0.147181970779 0.839625376745
9.16666666667e-05 3.33066907388e-16 0 0.617044692499 0.513819878506 0.146886366484 0.839293025451
9.58333333333e-05 7.77156117238e-16 0 0.781313166515 0.514447809808 0.146591633545 0.838959837094
0.0001 1.94289029309e-15 0 0.887908636314 0.515075705667 0.146297772689 0.838625812498
0.000104166666667 4.77395900589e-15 0 0.946123614419 0.515703564533 0.146004784638 0.838290952483
0.000108333333333 1.1768364061e-14 0 0.97495493922 0.516331384851 0.145712670113 0.837955257877
0.0001125 2.90323320939e-14 0 0.988543276098 0.516959165071 0.145421429834 0.837618729506
0.000116666666667 7.15538739371e-14 0 0.994798038976 0.517586903639 0.145131064516 0.8372813682
0.000120833333333 1.76580972067e-13 0 0.997645947268 0.518214599003 0.144841574876 0.836943174789
0.000125 4.35651514863e-13 0 0.998936285151 0.51884224961 0.144552961624 0.836604150108
0.000129166666667 1.07480691014e-12 0 0.999519640336 0.519469853908 0.144265225471 0.836264294991
0.000133333333333 2.65171218317e-12 0 0.999783125343 0.520097410345 0.143978367126 0.835923610275
0.0001375 6.54215570606e-12 0 0.999902089723 0.520724917369 0.143692387292 0.835582096801
0.000141666666667 1.61403113097e-11 0 0.999955796225 0.521352373426 0.143407286675 0.835239755409
0.000145833333333 3.98197586016e-11 0 0.999980041975 0.521979776965 0.143123065976 0.834896586942
0.00015 9.82387504678e-11 0 0.999990988235 0.522607126433 0.142839725893 0.834552592246
0.000154166666667 2.42361963831e-10 0 0.999995930516 0.523234420278 0.142557267124 0.834207772168
0.000158333333333 5.97920435386e-10 0 0.999998162161 0.523861656948 0.142275690363 0.833862127557
0.0001625 1.47509326975e-09 0 0.99999916993 0.52448883489 0.141994996303 0.833515659263
0.000166666666667 3.63908897461e-09 0 0.99999962506 0.525115952553 0.141715185634 0.833168368141
0.000170833333333 8.97765434216e-09 0 0.999999830625 0.525743008384 0.141436259045 0.832820255046
0.000175 2.2147770451e-08 0 0.99999992348 0.526370000831 0.141158217221 0.832471320833
0.000179166666667 5.46379003152e-08 0 0.999999965427 0.526996928343 0.140881060846 0.832121566363
0.000183333333333 1.34789093886e-07 0 0.999999984378 0.527623789368 0.140604790602 0.831770992496
0.0001875 3.32515708079e-07 0 0.99999999294 0.528250582353 0.140329407167 0.831419600096
0.000191666666667 8.20287491432e-07 0 0.999999996809 0.528877305748 0.14005491122 0.831067390027
0.000195833333333 2.02356082352e-06 0 0.999999998558 0.529503958001 0.139781303435 0.830714363156
0.0002 4.99185724551e-06 0 0.999999999348 0.53013053756 0.139508584485 0.830360520352
0.000204166666667 1.23140970786e-05 0 0.999999999705 0.530757042875 0.139236755041 0.830005862486
0.000208333333333 3.03762852513e-05 0 0.999999999867 0.531383472393 0.13896581577 0.82965039043
0.0002125 7.49292713801e-05 0 0.99999999994 0.532009824565 0.138695767339 0.82929410506
0.000216666666667 0.000184814553191 0 0.999999999973 0.532636097838 0.138426610412 0.828937007252
0.000220833333333 0.000455771279008 0 0.999999999988 0.533262290664 0.138158345651 0.828579097885
