t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,SynchronousMachine_machine_1_omega,SynchronousMachine_machine_1_te,SynchronousMachine_machine_1_ia,SynchronousMachine_machine_1_p,LineLumped_line_1_2_i12a
6.5000000000000006e-03,-2.0811150731721448e+05,2.6940528605866880e+05,-4.3989211041190567e+04,-2.0325649583231661e+05,2.6984667776823626e+05,-7.0634335735677727e+04,1.0000098497635164e+00,4.7453877327143684e-01,-4.7829451742996031e+02,2.3568699912052232e+08,-4.2806664985451567e+02
7.0000000000000001e-03,-2.5583154682336326e+05,2.3676373681851779e+05,1.7281149383712116e+03,-2.3363651868211213e+05,2.5149891788515562e+05,-1.5363033856676993e+04,1.0000103979183506e+00,4.6537470114758067e-01,-5.2130139415303893e+02,2.3534737232014498e+08,-5.0767052776109841e+02
7.4999999999999997e-03,-2.6032983853424425e+05,2.1444394039789183e+05,6.1434010152075971e+04,-2.6016676793797483e+05,2.2143275768076230e+05,3.5846151129864615e+04,1.0000113351178903e+00,4.6853717906975567e-01,-5.4688268161807480e+02,2.3224545552030054e+08,-5.2786516319897464e+02
8.0000000000000002e-03,-2.8627249733010435e+05,1.6600528344094867e+05,1.0480128595398244e+05,-2.7269813030622655e+05,1.8620840302579413e+05,8.9668845523046344e+04,1.0000121281645549e+00,4.6487451461824625e-01,-5.5657310380256718e+02,2.3334378916807854e+08,-5.5845022678944190e+02
8.5000000000000006e-03,-2.7452398981219454e+05,1.2996413890624973e+05,1.5845679817448242e+05,-2.8037877298394270e+05,1.4177698296937865e+05,1.3687335362145965e+05,1.0000130177257713e+00,4.6972593992152462e-01,-5.3998807374258217e+02,2.3232817940377522e+08,-5.4941068551714739e+02
9.0000000000000011e-03,-2.7789269921050698e+05,7.1535194792464375e+04,1.9273368712179930e+05,-2.7350184840625245e+05,9.5024036378423232e+04,1.8228024589243851e+05,1.0000135807129131e+00,4.7108846185929887e-01,-5.1324393955701373e+02,2.3496484474248269e+08,-5.3409539204263388e+02
9.4999999999999998e-03,-2.4910311167674136e+05,2.7879251282290432e+04,2.3362241426849045e+05,-2.6140110301287420e+05,4.2249921121721607e+04,2.1844398837073016e+05,1.0000139833021027e+00,4.7713807103527572e-01,-4.5796590770671531e+02,2.3589703676715162e+08,-4.9181009099834722e+02
1.0000000000000000e-02,-2.3169121877536297e+05,-3.3454945094285911e+04,2.5326983024191333e+05,-2.3592622253563328e+05,-9.3315059237028454e+03,2.4950834866973307e+05,1.0000139738232052e+00,4.8094119766977167e-01,-3.9791335612137726e+02,2.3928487248770770e+08,-4.3664035862681203e+02
1.0500000000000001e-02,-1.8782231160116542e+05,-7.7609730725103422e+04,2.7649304113937245e+05,-2.0595752328301329e+05,-6.3279864238513459e+04,2.6930363437801716e+05,1.0000137094637287e+00,4.8637568214049459e-01,-3.1171058374638858e+02,2.4102087868702194e+08,-3.6414492697857600e+02
1.0999999999999999e-02,-1.5385313006765384e+05,-1.3436373760870766e+05,2.7795650934383430e+05,-1.6513556494036035e+05,-1.1236901906979622e+05,2.8194063762612565e+05,1.0000131039177935e+00,4.8946187387485807e-01,-2.2679355500805445e+02,2.4393092820403489e+08,-2.7870748501927886e+02
