t,Bus_Bus_1_Vm,Genrou_DV1_speed
1.9583300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.0000000000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.0416699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.0833299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.1249999999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.1666700000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.2083300000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.2500000000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.2916700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.3333300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.3749999999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.4166699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.4583300000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.5000000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.5416699999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.5833299999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.6250000000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.6666699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.7083299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.7500000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.7916700000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.8333300000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.8749999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.9166700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
2.9583300000000001e-01,1.0000004769999999e+00,1.0000001190000001e+00
2.9999999999999999e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.0416700000000002e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.0833300000000002e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.1250000000000000e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.1666699999999998e-01,1.0000004769999999e+00,1.0000001190000001e+00
