time,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,minimum,maximum
0.174930556,0.992670051,0.991661137,0.985315944,0.978810951,0.989279267,0.981328593,0.980607311,0.978776428,0.987753245,0.980885462,0.97470949,0.977134671,0.978801527,0.982902215,0.978393801,0.982114231,0.975325392,0.975869138,0.991502416,0.988449199,0.979974236,0.997781015,0.99910284,0.994105709,0.996414424,0.994625343,0.994103894,1.00031001,1.00100696,1.00159313,0.995261088,0.999531511,0.995165568,1.00194672,0.999537907,0.998043952,1.00042845,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00931250587,0.0083148115
0.191597222,0.992666971,0.991657255,0.985311918,0.978807045,0.989276036,0.981324743,0.980603474,0.978772424,0.987749955,0.980881675,0.974705691,0.977130861,0.978797681,0.98289881,0.978390085,0.982110325,0.975321554,0.975865282,0.991498158,0.988444693,0.979970296,0.997777736,0.999098376,0.994102645,0.996411521,0.994622748,0.994097279,1.00030485,1.00100054,1.00158804,0.995257791,0.999526716,0.995163292,1.00194132,0.999535103,0.998040283,1.00042564,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.0093191213,0.00831001564
0.208263889,0.992664137,0.991654051,0.985308484,0.978803783,0.989273117,0.981321515,0.980600259,0.978768998,0.987747007,0.980878504,0.974702508,0.977127667,0.978794457,0.982895735,0.978386973,0.98210704,0.975318329,0.975862041,0.9914945,0.988441113,0.979966983,0.997774744,0.999094451,0.99410017,0.996408868,0.994620601,0.994091204,1.00030103,1.00099628,1.00158405,0.995255187,0.999522666,0.995161459,1.00193717,0.999532558,0.998037416,1.00042318,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00932519601,0.008305966
0.224930556,0.992661663,0.991651469,0.985305613,0.978801102,0.98927055,0.98131885,0.980597604,0.978766103,0.987744392,0.980875884,0.974699881,0.977125025,0.978791794,0.98289305,0.978384405,0.982104314,0.975315658,0.975859358,0.991491358,0.988438218,0.979964237,0.997772066,0.999091038,0.994098387,0.996406549,0.994618937,0.994086821,1.00029811,1.00099294,1.00158105,0.995253416,0.999519584,0.995160225,1.0019344,0.999530336,0.998035504,1.00042109,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00932957869,0.00830288421
0.241597222,0.9926595,0.991649309,0.985303128,0.97879886,0.989268315,0.981316616,0.980595387,0.978763598,0.987742147,0.980873713,0.974697676,0.977122807,0.978789569,0.98289073,0.978382212,0.982102007,0.975313408,0.975857091,0.991488623,0.98843576,0.979961911,0.997769731,0.99908803,0.994097065,0.996404536,0.994617605,0.99408279,1.00029566,1.00099026,1.00157845,0.995252009,0.999516823,0.995159418,1.00193273,0.999528409,0.998034228,1.00041934,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00933360975,0.00830012321
0.258263889,0.992657712,0.991647633,0.985301071,0.978797051,0.989266453,0.981314793,0.980593576,0.978761504,0.987740251,0.98087193,0.97469588,0.977120997,0.978787749,0.982888774,0.978380448,0.982100114,0.975311564,0.975855234,0.991486279,0.988433801,0.979960022,0.997767764,0.999085434,0.994096348,0.996402885,0.994616689,0.994081099,1.00029385,1.00098773,1.00157656,0.995251387,0.999514772,0.995159262,1.00193229,0.999526809,0.998033756,1.00041795,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00933530087,0.00829807244
0.274930556,0.992656208,0.991646251,0.985299281,0.978795527,0.989264934,0.981313252,0.98059205,0.978759687,0.987738725,0.980870438,0.974694359,0.977119465,0.978786215,0.982887142,0.978378934,0.9820985,0.97531,0.975853654,0.99148426,0.988432137,0.979958413,0.997766136,0.999083146,0.994096008,0.996401507,0.994616063,0.994078387,1.00029235,1.00098599,1.00157487,0.995251041,0.999512886,0.995159603,1.00193268,0.999525449,0.998033795,1.00041683,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00933801315,0.00829618634
0.291597222,0.99265503,0.991645139,0.985297765,0.978794253,0.98926365,0.981311948,0.980590758,0.978758128,0.987737403,0.980869164,0.974693068,0.977118162,0.978784916,0.982885865,0.978377652,0.982097125,0.975308668,0.975852309,0.991482502,0.988430826,0.979957063,0.997764737,0.999081162,0.994096055,0.9964004,0.994615645,0.994077508,1.00029124,1.00098424,1.00157374,0.99525123,0.999511548,0.995160376,1.001934,0.999524306,0.99803442,1.00041589,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00933889239,0.00829484814
0.308263889,0.992654046,0.991644179,0.985296419,0.978793144,0.989262625,0.981310804,0.980589627,0.978756755,0.987736364,0.980868052,0.974691932,0.977117017,0.97878378,0.982884788,0.978376503,0.982095914,0.975307497,0.975851125,0.991480966,0.988429788,0.979955886,0.997763633,0.999079444,0.994096369,0.996399476,0.994615374,0.994076823,1.00029051,1.00098299,1.00157287,0.995251718,0.999510455,0.995161477,1.00193592,0.999523301,0.998035416,1.00041508,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00933957739,0.00829375529
0.324930556,0.99265319,0.991643377,0.985295243,0.978792157,0.989261827,0.981309776,0.980588604,0.978755546,0.987735576,0.980867027,0.974690903,0.977115984,0.978782748,0.982883832,0.978375496,0.982094827,0.975306437,0.975850056,0.991479588,0.988429007,0.979954859,0.997762785,0.999077932,0.994096882,0.996398684,0.994615221,0.994075636,1.00029007,1.00098248,1.00157245,0.995252536,0.999509876,0.995162804,1.0019383,0.999522379,0.998036767,1.00041437,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934076419,0.00829317626
