t,accepted_steps,residual_evals,jacobian_evals,error_test_failures,accepted_steps_faults,residual_evals_faults,jacobian_evals_faults,error_test_failures_faults
0.67,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.68,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.69,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.7,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.71,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.72,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.73,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.74,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.75,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.76,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.77,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.78,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.79,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.8,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.81,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.82,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.83,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.84,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.85,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.86,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.87,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.88,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.89,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.9,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.91,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.92,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.93,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.94,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.95,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
0.96,0.0308330322685,0.0224159994413,0.250087718904,0,2000,2000,2000,1988
