t,accepted_steps,residual_evals,jacobian_evals,error_test_failures,accepted_steps_faults,residual_evals_faults,jacobian_evals_faults,error_test_failures_faults
0,0,0,0,0,39,39,39,28
0.01,0.0478603530114,0.037125619106,0.208526518938,0,39,39,39,28
0.02,0.0518487157624,0.0402194206982,0.229379170832,0,39,39,39,28
0.03,0.0518487157624,0.0402194206982,0.229379170832,0,39,39,39,28
0.04,0.0558370785134,0.0433132222904,0.250231822726,0,39,39,39,28
0.05,0.0558370785134,0.0433132222904,0.250231822726,0,39,39,39,28
0.06,0.0558370785134,0.0433132222904,0.250231822726,0,39,39,39,28
0.07,0.0598254412643,0.0464070238825,0.27108447462,0,39,39,39,28
0.08,0.0598254412643,0.0464070238825,0.27108447462,0,39,39,39,28
0.09,0.0598254412643,0.0464070238825,0.27108447462,0,39,39,39,28
0.1,0.0598254412643,0.0464070238825,0.27108447462,0,39,39,39,28
0.11,0.0598254412643,0.0464070238825,0.27108447462,0,39,39,39,28
0.12,0.0598254412643,0.0464070238825,0.27108447462,0,39,39,39,28
0.13,0.0598254412643,0.0464070238825,0.27108447462,0,39,39,39,28
0.14,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.15,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.16,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.17,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.18,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.19,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.2,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.21,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.22,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.23,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.24,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.25,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.26,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.27,0.0638138040153,0.0495008254747,0.291937126514,0,39,39,39,28
0.28,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.29,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.3,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.31,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.32,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.33,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.34,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.35,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.36,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.37,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.38,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.39,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.4,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.41,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.42,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.43,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.44,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.45,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.46,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.47,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.48,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.49,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.5,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.51,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.52,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.53,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
0.54,0.0678021667662,0.0525946270669,0.312789778408,0,39,39,39,28
