t,accepted_steps,residual_evals,jacobian_evals,error_test_failures,accepted_steps_faults,residual_evals_faults,jacobian_evals_faults,error_test_failures_faults
0,0,0,0,0,243,243,243,181
0.01,0.0423723934339,0.0329865050363,0.218714320224,0,243,243,243,181
0.02,0.04590342622,0.035735380456,0.240585752246,0,243,243,243,181
0.03,0.04590342622,0.035735380456,0.240585752246,0,243,243,243,181
0.04,0.0494344590062,0.0384842558757,0.262457184269,0,243,243,243,181
0.05,0.0494344590062,0.0384842558757,0.262457184269,0,243,243,243,181
0.06,0.0494344590062,0.0384842558757,0.262457184269,0,243,243,243,181
0.07,0.0529654917923,0.0412331312954,0.284328616291,0,243,243,243,181
0.08,0.0529654917923,0.0412331312954,0.284328616291,0,243,243,243,181
0.09,0.0529654917923,0.0412331312954,0.284328616291,0,243,243,243,181
0.1,0.0529654917923,0.0412331312954,0.284328616291,0,243,243,243,181
0.11,0.0529654917923,0.0412331312954,0.284328616291,0,243,243,243,181
0.12,0.0529654917923,0.0412331312954,0.284328616291,0,243,243,243,181
0.13,0.0529654917923,0.0412331312954,0.284328616291,0,243,243,243,181
0.14,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.15,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.16,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.17,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.18,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.19,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.2,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.21,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.22,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.23,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.24,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.25,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.26,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.27,0.0564965245785,0.0439820067151,0.306200048314,0,243,243,243,181
0.28,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.29,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.3,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.31,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.32,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.33,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.34,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.35,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.36,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.37,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.38,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.39,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.4,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.41,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.42,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.43,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.44,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.45,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.46,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.47,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.48,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.49,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.5,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.51,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.52,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.53,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.54,0.0600275573646,0.0467308821348,0.328071480336,0,243,243,243,181
0.55,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.56,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.57,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.58,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.59,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.6,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.61,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.62,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
0.63,0.0635585901508,0.0494797575545,0.349942912358,0,243,243,243,181
