omega,re_0,im_0,re_1,im_1,re_2,im_2
161.50273015929693,3.795651759973359e-08,5.527004917271819e-07,4.541664067331285e-08,5.496495154761781e-07,9.959327009428776e-08,8.51658177828612e-07
173.0532932142664,3.804566203639496e-08,5.920467191064845e-07,4.5504187533324334e-08,5.886995604389164e-07,1.0754957657767796e-07,9.086375702198421e-07
185.4299445140305,3.81446270217183e-08,6.34216451197488e-07,4.559905975074273e-08,6.305571672035227e-07,1.1625676390634821e-07,9.692703830277e-07
198.69176531592197,3.825518150317937e-08,6.794107174031489e-07,4.5702938028078423e-08,6.754219562202248e-07,1.2577772694369626e-07,1.0337665082362695e-06
212.9020623277502,3.837932168396071e-08,7.278450824743973e-07,4.581769575904685e-08,7.235080647039003e-07,1.361780743349766e-07,1.1023444141792768e-06
228.1286699090844,3.8519186272646196e-08,7.797499266067478e-07,4.5945289932450266e-08,7.750443339108749e-07,1.4752507849826828e-07,1.175231411499964e-06
244.4442738857615,3.8677368609840714e-08,8.353718806712258e-07,4.608812016195579e-08,8.302758120951945e-07,1.598869739714153e-07,1.2526634854497462e-06
261.92675852338226,3.8856594306641714e-08,8.949757138388595e-07,4.6248643187542135e-08,8.894655865296321e-07,1.7333182370642177e-07,1.3348867672852314e-06
280.6595783161128,3.9059558767796905e-08,9.588446505041894e-07,4.642919232992961e-08,9.528950476651018e-07,1.8792611221325134e-07,1.4221584862654465e-06
300.7321563655607,3.929021649703825e-08,1.027282035443588e-06,4.66334280961842e-08,1.0208658039703162e-06,2.0373285597882626e-07,1.5147438305933388e-06
322.240311251433,3.9551919960117636e-08,1.1006125415946205e-06,4.686423200254874e-08,1.0937005123993847e-06,2.2080980869602653e-07,1.612923321120178e-06
345.2867144316854,3.984888477892335e-08,1.179185008573897e-06,4.7125342507131195e-08,1.1717460141714636e-06,2.3920723530312436e-07,1.7169899153959796e-06
369.9813803556153,4.0185949592525964e-08,1.2633692255283712e-06,4.742111673118109e-08,1.2553700373253332e-06,2.5896470577257653e-07,1.827250869569632e-06
396.44219162949975,4.056789460470625e-08,1.35356613416304e-06,4.775569961667333e-08,1.344971306041352e-06,2.801095978662117e-07,1.9440356428330805e-06
424.7954617417155,4.100046269646124e-08,1.4502012421534747e-06,4.813422816902936e-08,1.4409731428849458e-06,3.02653125072438e-07,2.0676911672135115e-06
455.17653803357103,4.148948868704646e-08,1.553731949286511e-06,4.85618428419488e-08,1.5438305815433886e-06,3.265888581474174e-07,2.198595692462583e-06
487.73044779419126,4.204143577508885e-08,1.6646468915015041e-06,4.904429294504283e-08,1.6540298864207087e-06,3.518893399928462e-07,2.3371570310354394e-06
522.6125905636584,4.266318240976963e-08,1.783468838261303e-06,4.958771877131976e-08,1.772091396420779e-06,3.7850454993100117e-07,2.483821053465164e-06
559.9894799491967,4.336179644362933e-08,1.910757220320384e-06,5.019841812358187e-08,1.8985720275944098e-06,4.0636097878509874e-07,2.6390791573819796e-06
600.0395384955322,4.414481906750497e-08,2.047112253987652e-06,5.0883216914523794e-08,2.0340694370874067e-06,4.3536070385404295e-07,2.8034772250032003e-06
642.9539494038264,4.502009306660626e-08,2.1931709187158087e-06,5.1649304646820027e-08,2.179218088912456e-06,4.6538207525296783e-07,2.9776154569487504e-06
688.937569164963,4.599375252794553e-08,2.3496245377422637e-06,5.2501948325181314e-08,2.3347063941712696e-06,4.962822214837397e-07,3.162184165075261e-06
