time_s,accepted_steps,residual_evaluations,error_test_failures
0,0,0,0
0.01,517,834,28
0.02,1034,1778,97
0.03,1530,2589,131
0.04,1871,3213,163
0.05,2316,3955,188
0.06,2743,4744,248
0.07,3085,5297,276
0.08,3510,5979,308
0.09,3872,6576,330
0.1,4223,7164,354
0.11,4758,7990,387
0.12,5138,8575,402
0.13,5577,9289,433
0.14,6174,10546,564
0.15,6526,11143,586
0.16,6808,11636,608
0.17,7178,12276,638
0.18,7622,13078,676
0.19,8092,13903,708
0.2,8542,14688,729
0.21,9031,15488,758
0.22,9547,16316,779
0.23,10006,17063,794
0.24,10416,17788,816
0.25,10891,18526,845
0.26,11337,19285,878
0.27,11903,20196,897
0.28,12429,21007,921
0.29,12864,21705,943
0.3,13304,22407,960
0.31,13734,23057,974
0.32,14171,23797,988
0.33,14622,24552,1034
0.34,15100,25443,1106
0.35,15565,26218,1128
0.36,16145,27098,1158
0.37,16522,27729,1182
0.38,17004,28446,1204
0.39,17336,28996,1222
0.4,17776,29714,1252
0.41,18153,30342,1280
0.42,18602,31090,1302
0.43,19061,31945,1378
0.44,19503,32681,1406
0.45,19971,33623,1495
0.46,20500,34518,1525
0.47,20957,35229,1541
0.48,21354,35833,1559
0.49,21832,36681,1577
0.5,22244,37440,1635
0.51,22683,38133,1664
0.52,23110,38857,1697
0.53,23570,39609,1728
0.54,24008,40454,1803
0.55,24418,41131,1825
0.56,24940,42040,1868
0.57,25309,42651,1882
0.58,25739,43334,1905
0.59,26256,44153,1931
0.6,26696,44892,1965
0.61,27131,45740,2059
0.62,27658,46691,2146
0.63,28000,47267,2163
0.64,28448,47990,2201
0.65,28804,48544,2220
0.66,29242,49274,2245
0.67,29635,49909,2264
0.68,30203,50866,2317
0.69,30560,51452,2351
0.7,31082,52256,2379
0.71,31584,53047,2407
0.72,31976,53694,2440
0.73,32469,54544,2465
0.74,32853,55180,2488
0.75,33177,55721,2504
0.76,33629,56463,2533
0.77,34184,57470,2588
0.78,34526,58018,2608
0.79,34959,58678,2627
0.8,35421,59516,2676
0.81,35936,60325,2707
0.82,36526,61239,2725
0.83,37044,62196,2800
0.84,37469,62934,2838
0.85,37909,63614,2864
0.86,38406,64524,2943
0.87,38838,65230,2964
0.88,39388,66196,3037
0.89,39743,66782,3055
0.9,40128,67402,3063
0.91,40585,68273,3135
0.92,40994,69128,3222
0.93,41339,69656,3238
0.94,41687,70264,3266
0.95,42054,70874,3289
0.96,42582,71723,3342
0.97,43008,72420,3368
0.98,43461,73167,3393
0.99,43988,74079,3426
1,44290,74586,3438
1.01,44720,75243,3459
1.02,45279,76222,3511
1.03,45696,76935,3562
1.04,46169,77640,3573
1.05,46660,78389,3601
1.06,47057,79053,3627
1.07,47448,79713,3648
1.08,47879,80414,3666
1.09,48384,81282,3676
1.1,48804,82055,3727
1.11,49260,82803,3751
1.12,49743,83561,3771
