omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5
94.01125890450754,2.4609939413534747e-08,3.209254695734677e-07,3.350347540140529e-08,3.20563962808182e-07,3.762173093154269e-08,3.2087678838147674e-07,3.823105379218742e-08,3.2113650291854846e-07,3.048296007474528e-08,3.2490617656535194e-07,5.687698137348644e-08,5.243388859620625e-07
97.8768239659487,2.4636243722213637e-08,3.3404622203058955e-07,3.353157005861906e-08,3.336064581379184e-07,3.76543038124518e-08,3.3389364728175103e-07,3.826284101831927e-08,3.3416060768453285e-07,3.052483523237408e-08,3.381535948100944e-07,5.937669402575731e-08,5.446793812815393e-07
101.90133374761122,2.466415223523557e-08,3.477079664812731e-07,3.356020051072127e-08,3.4718922866887596e-07,3.768698108992033e-08,3.4745097180020905e-07,3.82944634171026e-08,3.477256764757098e-07,3.0568876788084385e-08,3.5194862261301643e-07,6.201036660782052e-08,5.657909601839515e-07
106.09132375560732,2.4693301509268175e-08,3.619350010534016e-07,3.3588840858153285e-08,3.613363444539877e-07,3.7719205661055837e-08,3.615727278565224e-07,3.832533291917543e-08,3.618556839117787e-07,3.061470220804135e-08,3.6631572671472425e-07,6.478553800058151e-08,5.877037121557858e-07
110.453598223693,2.4724107272813422e-08,3.7674936184498243e-07,3.361798440012425e-08,3.7606979270004853e-07,3.7751535132115825e-08,3.7628089201396687e-07,3.8355990073743694e-08,3.765726257749296e-07,3.0662868328242227e-08,3.812771870507564e-07,6.770986211890011e-08,6.104452336687289e-07
114.9952411628399,2.475681562353954e-08,3.921751311307341e-07,3.3647865232693e-08,3.9141358281027066e-07,3.778422751584082e-08,3.915994449411804e-07,3.83866670461114e-08,3.919005005044511e-07,3.071371579526509e-08,3.9685733935017586e-07,7.079147391420291e-08,6.340449203184916e-07
119.72362786514542,2.479164622880618e-08,4.0823735348166755e-07,3.367868557541537e-08,4.073926661710412e-07,3.781751108205241e-08,4.0755329952010165e-07,3.8417563891893596e-08,4.0786423735077145e-07,3.0767562221599384e-08,4.130814792338376e-07,7.403889807728189e-08,6.585331227102946e-07
124.64643688076109,2.482876838985783e-08,4.249619566459042e-07,3.3710594550192136e-08,4.240328418527375e-07,3.785156706767982e-08,4.241682001105888e-07,3.844883166630369e-08,4.2448959437507373e-07,3.082467962066621e-08,4.299757728377056e-07,7.746104639492021e-08,6.839411708006281e-07
129.77166248729,2.486842324035166e-08,4.4237660643666173e-07,3.374375013421837e-08,4.413617163649558e-07,3.788654441123886e-08,4.414717201594881e-07,3.848058023431845e-08,4.418041625198863e-07,3.088538994298778e-08,4.4756818460075204e-07,8.106732375878532e-08,7.103014592100053e-07
135.10762767190218,2.491084775622689e-08,4.605082142455711e-07,3.377850155419765e-08,4.5940598965140467e-07,3.792290800043514e-08,4.594904841346179e-07,3.8513251428826066e-08,4.598345749042211e-07,3.095012280792554e-08,4.6588581728126096e-07,8.486737185735973e-08,7.376465972814105e-07
140.6629976472495,2.495618144671278e-08,4.793894279465699e-07,3.3814499195359584e-08,4.781984375571727e-07,3.796006987393302e-08,4.782572570691526e-07,3.8546176038297565e-08,4.786136202649042e-07,3.1018900950247084e-08,4.849617940673947e-07,8.887166992721091e-08,7.660121111080002e-07
146.44679392313063,2.5005283327413223e-08,4.990440382628057e-07,3.385361272071302e-08,4.977623697678837e-07,3.8000508939071686e-08,4.977952847129374e-07,3.8581883205897225e-08,4.981645471074092e-07,3.109329302685815e-08,5.048198585660273e-07,9.309030697542978e-08,7.954290880756713e-07
152.46840895675493,2.5057550253513028e-08,5.195117477337422e-07,3.3893826882592796e-08,5.181377563385645e-07,3.8041496973526944e-08,5.181444415005202e-07,3.8617478686937415e-08,5.185272453782524e-07,3.1172087657494285e-08,5.255003851950502e-07,9.75349046616461e-08,8.259384124035979e-07
158.73762140539807,2.511375074088329e-08,5.408231042110963e-07,3.3936367325327575e-08,5.393549648450842e-07,3.808454801130044e-08,5.393350825727131e-07,3.865446802572948e-08,5.397320852575319e-07,3.125649402236583e-08,5.470341385275352e-07,1.0221680455305531e-07,8.575749218565649e-07
165.26461200621813,2.517442564587498e-08,5.630099737591509e-07,3.3982096430996877e-08,5.61445610216801e-07,3.8130758125874874e-08,5.613987527930738e-07,3.869392825492148e-08,5.618106163104767e-07,3.134742760497164e-08,5.694531785230397e-07,1.0714768528936164e-07,8.903749709108939e-07
172.05998010901936,2.5239671641471207e-08,5.861112347230317e-07,3.403054405648114e-08,5.844486393951569e-07,3.81794036293349e-08,5.843743333183862e-07,3.873502965662667e-08,5.848017322035294e-07,3.144488824098496e-08,5.927968753138035e-07,1.123400721869985e-07,9.243789256193473e-07
179.13476088881166,2.531005746669871e-08,6.101624061209223e-07,3.408250896575548e-08,6.083993599293107e-07,3.823146828233365e-08,6.082970576938229e-07,3.8778720933124565e-08,6.087406696550144e-07,3.154980684952316e-08,6.171009951308309e-07,1.1780656375711824e-07,9.596255597570932e-07
186.50044326611896,2.5385895956763908e-08,6.352035462386363e-07,3.413799423374731e-08,6.333378206510162e-07,3.828684579672543e-08,6.332069031536302e-07,3.882480381662619e-08,6.336674130940255e-07,3.166257497876235e-08,6.424060299911921e-07,1.2356026791644774e-07,9.96156080027908e-07
194.16898856413573,2.5467683060076124e-08,6.612749017883932e-07,3.4197479841378025e-08,6.593041489689738e-07,3.834607009394936e-08,6.591439161664726e-07,3.8873743855994995e-08,6.59622010750204e-07,3.178395287218477e-08,6.68752573427799e-07,1.296146421392075e-07,1.0340118483704975e-06
202.1528499330308,2.555582886165818e-08,6.884189766830787e-07,3.426106094927491e-08,6.863408444666998e-07,3.840912892481919e-08,6.861505054809843e-07,3.892542468471869e-08,6.866468722093125e-07,3.1914467170899515e-08,6.961835797660754e-07,1.3598327036463803e-07,1.0732359754113388e-06
210.46499257294212,2.5651097244981834e-08,7.166784006241935e-07,3.432988370533719e-08,7.144903171570482e-07,3.8477431108759477e-08,7.142690148719478e-07,3.898121610694373e-08,7.147843400622188e-07,3.2055415761302004e-08,7.247419422192916e-07,1.4268026589837427e-07,1.11387030513893e-06
219.11891478850168,2.5753311279090384e-08,7.461018574008349e-07,3.4402244701735004e-08,7.43801492448119e-07,3.854856137894104e-08,7.43548128313097e-07,3.9038461571241276e-08,7.440830733062817e-07,3.2206092929541136e-08,7.544770716240904e-07,1.4971936107108486e-07,1.1559642139334074e-06
228.1286699090846,2.5864405015052433e-08,7.767311720979959e-07,3.4482346256262005e-08,7.74315678089062e-07,3.862791658521587e-08,7.740293100142267e-07,3.910269884976873e-08,7.745845635966177e-07,3.2370096604777364e-08,7.854307104863303e-07,1.5711541427254241e-07,1.1995544420349812e-06
237.5088891103756,2.5984065640600348e-08,8.086211917218745e-07,3.456788595995962e-08,8.060881375919751e-07,3.871223246629e-08,8.057675496156925e-07,3.917035253510749e-08,8.06343767468038e-07,3.254638729642709e-08,8.17658589033966e-07,1.6488254591486615e-07,1.244694452917331e-06
247.2748051743158,2.6112945328673787e-08,8.418217315018035e-07,3.465961268128342e-08,8.39168380133151e-07,3.880242196841229e-08,8.388121242751459e-07,3.924224519477143e-08,8.394099164723235e-07,3.2736081973859004e-08,8.512107829016762e-07,1.7303517928814446e-07,1.2914307522757567e-06
257.4422772260138,2.6251997895021948e-08,8.763863886492572e-07,3.475845760464899e-08,8.736101552069038e-07,3.889941203640301e-08,8.732167452260271e-07,3.931917062067552e-08,8.738367152857922e-07,3.294059113454505e-08,8.861414264569934e-07,1.8158745299141876e-07,1.339811305841017e-06
268.0278164877906,2.6402103973801483e-08,9.123708818530157e-07,3.486523732390338e-08,9.09469176062507e-07,3.9004042209387004e-08,9.090369695033866e-07,3.940183080841199e-08,9.096796850755503e-07,3.316124999239833e-08,9.225066911668504e-07,1.9055348110434162e-07,1.3898851239161629e-06
