omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3
828.2851370788098,1.678056082646239e-07,2.8354267706331392e-06,1.680537707878892e-07,2.836049303288082e-06,2.896057136829675e-07,3.811639983965132e-06,3.7699952171983534e-07,2.8587628179504093e-06
862.3426544880288,1.6841810525270228e-07,2.9515343112865187e-06,1.6866263901794912e-07,2.9521850616206187e-06,2.9857141836832673e-07,3.963123283868382e-06,3.7748805628251144e-07,2.973569313157789e-06
897.8005525634636,1.690754163038468e-07,3.072414437187284e-06,1.6931617785568622e-07,3.073094753716478e-06,3.0790209426634863e-07,4.120579093703989e-06,3.779827386520687e-07,3.0931880284142585e-06
934.7164123080624,1.6978068199443363e-07,3.1982630230298462e-06,1.7001752494173843e-07,3.1989743250184722e-06,3.176137939430822e-07,4.284244902219968e-06,3.784853848811418e-07,3.2178150305122567e-06
973.1501823466471,1.7053570727372842e-07,3.3292855824915074e-06,1.7076847935580008e-07,3.330029362136665e-06,3.277225398085362e-07,4.4543718539986895e-06,3.789958368100052e-07,3.347653917849215e-06
1013.1642762780488,1.713457821043695e-07,3.4656885414274585e-06,1.7157433612986336e-07,3.466466371788077e-06,3.382460770180737e-07,4.631209292468046e-06,3.7951965455755797e-07,3.4829142156064067e-06
1054.8236740301722,1.7221516785822769e-07,3.607688065831648e-06,1.72439359211149e-07,3.608501603835579e-06,3.4920248668571584e-07,4.8150190740941376e-06,3.8006083931912734e-07,3.6238138442211685e-06
1098.196027382591,1.7314701686679588e-07,3.7555162920862945e-06,1.7336670362688173e-07,3.7563672876803e-06,3.6061011096891874e-07,5.0060823070681765e-06,3.8061977608898654e-07,3.77058446162699e-06
1143.3517698280332,1.741445976417101e-07,3.909408093621649e-06,1.7435963981079555e-07,3.910298387005066e-06,3.7248802204405995e-07,5.2046842552709045e-06,3.8119951540981226e-07,3.923461989412503e-06
1190.3642309511577,1.7521407399837915e-07,4.0696092934817226e-06,1.7542435092524847e-07,4.070540837495701e-06,3.848567962068188e-07,5.411120540408871e-06,3.818042547662505e-07,4.082694847931312e-06
1239.309755510381,1.7635851498124366e-07,4.236375796395517e-06,1.7656391213867744e-07,4.237350644576087e-06,3.977369749774992e-07,5.625700838610339e-06,3.824364879792086e-07,4.2485406136425955e-06
1290.2678274161112,1.7758276680154234e-07,4.409973907673986e-06,1.7778319075806717e-07,4.410994232142243e-06,4.111502466581067e-07,5.848746442812873e-06,3.830995379496569e-07,4.421267609635234e-06
1343.321198806739,1.788916591428814e-07,4.590680541967759e-06,1.790870416628688e-07,4.591748639692067e-06,4.251191399642245e-07,6.080590983493584e-06,3.837968065315358e-07,4.601155229360614e-06
1398.5560244319877,1.8028979280074344e-07,4.778783700605962e-06,1.8048009637317798e-07,4.779901997805187e-06,4.396669655850319e-07,6.321581499819508e-06,3.845317294346538e-07,4.788494255490546e-06
1456.062001561853,1.8178192663854632e-07,4.9745829674134295e-06,1.8196715149072274e-07,4.975754028021591e-06,4.54817979969576e-07,6.57207823624562e-06,3.853079221703472e-07,4.983587552840901e-06
1515.9325156483283,1.8337277443400625e-07,5.1783896196766506e-06,1.8355296851056607e-07,5.179616151576396e-06,4.7059729995790457e-07,6.832455630129038e-06,3.861291018451051e-07,5.186749889208517e-06
1578.2647919764756,1.8506719091188346e-07,5.390527537193186e-06,1.8524246002656207e-07,5.391812401005162e-06,4.870310689501126e-07,7.103102528019102e-06,3.8699919128344204e-07,5.398309137882689e-06
1643.1600535510916,1.8686978434636095e-07,5.611333627971879e-06,1.870403031090371e-07,5.612679841905725e-06,5.041463713569323e-07,7.384423136201919e-06,3.8792217394372265e-07,5.618606615356207e-06
1710.7236854753774,1.8878493016365374e-07,5.841158372990777e-06,1.8895095802052135e-07,5.842569117058059e-06,5.219712051548678e-07,7.676838472608717e-06,3.889022518241148e-07,5.8479973048089945e-06
1781.0654060885513,1.908164989596397e-07,6.08036484809886e-06,1.9097838508977403e-07,6.081843465512521e-06,5.405347629479947e-07,7.980782241652358e-06,3.8994352341112505e-07,6.0868501807089516e-06
1854.299445140307,1.929702439354914e-07,6.329335920872554e-06,1.9312846770608334e-07,6.330885947180669e-06,5.598674694951626e-07,8.296712567690745e-06,3.9105085680531507e-07,6.335552816665108e-06
1930.5447292914844,1.9524903278124886e-07,6.588464234791137e-06,1.954042016043854e-07,6.590089369264088e-06,5.800004702640044e-07,8.62509890385842e-06,3.9222865703481497e-07,6.59450420509683e-06
2009.9250752421622,1.9765683815416789e-07,6.8581605632328706e-06,1.978097190958679e-07,6.859864686749743e-06,6.009663194335651e-07,8.966431245780255e-06,3.9348183420677486e-07,6.864121346506179e-06
2092.569390800818,2.001966552903907e-07,7.138852305463837e-06,2.003481950372264e-07,7.1406394717596755e-06,6.227986388356202e-07,9.32121888437381e-06,3.9481532476238144e-07,7.144838314677736e-06
2178.6118842210713,2.028712442508989e-07,7.430984007499065e-06,2.0302259763961583e-07,7.432858440669574e-06,6.455322496089452e-07,9.689990898284903e-06,3.9623416728310914e-07,7.437106565421331e-06
2268.1922821459616,2.0568292552972453e-07,7.73501921538564e-06,2.058354822026794e-07,7.736985301495738e-06,6.692033714937619e-07,1.0073297650787418e-05,3.977438819486248e-07,7.74139679073958e-06
2361.4560565136667,2.086334597855912e-07,8.051439173476317e-06,2.0878887592196437e-07,8.05350144765854e-06,6.938493281374757e-07,1.04717099652394e-05,3.993498667319564e-07,8.058197515091928e-06
2458.5546607931824,2.1172305859991293e-07,8.380746403966525e-06,2.1188327936047544e-07,8.382909517554844e-06,7.195087973798631e-07,1.0885822854048957e-05,4.0105759027088305e-07,8.388018793259753e-06
2559.645775933539,2.1495272213812405e-07,8.72346323627947e-06,2.151200239321927e-07,8.725731951105051e-06,7.46221941887303e-07,1.1316253068017986e-05,4.0287310126899647e-07,8.731390229024167e-06
2664.893566426,2.1832212086150768e-07,9.080134176919378e-06,2.184991368000292e-07,9.082513323637781e-06,7.740302975936387e-07,1.1763642426322755e-05,4.048024397757612e-07,9.088863581528062e-06
2774.4689468950514,2.218299666747089e-07,9.451326212721583e-06,2.2201971277120705e-07,9.453820644874071e-06,8.029768302004954e-07,1.2228657803177184e-05,4.068517728176177e-07,9.46101292137591e-06
2888.5498596510947,2.2547419915954896e-07,9.837629911091306e-06,2.2568009742627997e-07,9.840244453020064e-06,8.331060234467507e-07,1.2711992151357116e-05,4.090274519074916e-07,9.848435543346715e-06
3007.32156365561,2.292522810764777e-07,1.0239661725566542e-05,2.2947817966366262e-07,1.0242401115331715e-05,8.644640205431727e-07,1.321436679927463e-05,4.113360856148695e-07,1.0251754130175582e-05
3130.976935367991,2.3316159791915754e-07,1.0658063057804385e-05,2.334117855360111e-07,1.0660931888089974e-05,8.970987075149649e-07,1.3736530315733274e-05,4.137846905526975e-07,1.0671615574263385e-05
3259.7167819626447,2.371975808074155e-07,1.1093502661671114e-05,2.3747677088813987e-07,1.1096505277515522e-05,9.310594633459795e-07,1.4279261283791034e-05,4.163800642028042e-07,1.110869360192389e-05
3393.75016742499,2.4135595410997667e-07,1.1546677520565524e-05,2.4166927460482396e-07,1.154981794745851e-05,9.663976362773646e-07,1.4843368833131627e-05,4.191294575402737e-07,1.1563689146286885e-05
