time_s,accepted_steps,residual_evaluations,error_test_failures
0,0,0,0
0.01,342,544,14
0.02,593,1022,29
0.03,833,1425,39
0.04,1031,1769,50
0.05,1259,2160,59
0.06,1494,2602,84
0.07,1713,3000,97
0.08,1940,3401,116
0.09,2173,3812,136
0.1,2419,4247,155
0.11,2664,4695,170
0.12,2938,5158,181
0.13,3170,5567,193
0.14,3426,6030,207
0.15,3656,6412,220
0.16,3835,6765,237
0.17,4044,7138,249
0.18,4289,7574,268
0.19,4526,8006,289
0.2,4843,8584,309
0.21,5085,8997,323
0.22,5303,9412,333
0.23,5530,9808,351
0.24,5749,10226,365
0.25,6023,10735,384
0.26,6282,11131,398
0.27,6488,11514,417
0.28,6711,11906,439
0.29,6911,12277,450
0.3,7145,12693,458
0.31,7372,13082,473
0.32,7591,13428,483
0.33,7819,13847,498
0.34,8030,14221,513
0.35,8277,14669,521
0.36,8522,15090,539
0.37,8746,15483,556
0.38,8992,15882,572
0.39,9193,16240,589
0.4,9437,16670,598
0.41,9694,17115,616
0.42,9878,17427,625
0.43,10111,17826,641
0.44,10329,18235,656
0.45,10578,18666,670
0.46,10850,19153,693
0.47,11083,19551,703
0.48,11364,20011,721
0.49,11619,20468,741
0.5,11865,20904,755
0.51,12083,21277,765
0.52,12386,21837,791
0.53,12666,22342,815
0.54,12899,22756,833
0.55,13161,23237,848
0.56,13438,23702,859
0.57,13663,24133,868
0.58,13870,24486,881
0.59,14099,24927,895
0.6,14329,25351,911
0.61,14580,25778,933
0.62,14807,26160,941
0.63,15031,26539,948
0.64,15297,27008,973
0.65,15602,27554,992
0.66,15888,28060,1011
0.67,16153,28502,1021
0.68,16400,28900,1041
0.69,16625,29273,1059
0.7,16829,29644,1068
0.71,17104,30128,1085
0.72,17300,30464,1099
0.73,17585,30955,1113
0.74,17810,31360,1129
0.75,18016,31746,1142
0.76,18253,32157,1156
0.77,18400,32461,1168
0.78,18650,32889,1176
0.79,18899,33301,1189
0.8,19212,33852,1213
0.81,19429,34219,1225
0.82,19609,34537,1237
0.83,19848,34994,1253
0.84,20074,35401,1270
0.85,20324,35815,1286
0.86,20520,36162,1298
