omega,re_Yc_0_0,im_Yc_0_0,re_Yc_0_1,im_Yc_0_1,re_Yc_0_2,im_Yc_0_2,re_Yc_1_0,im_Yc_1_0,re_Yc_1_1,im_Yc_1_1,re_Yc_1_2,im_Yc_1_2,re_Yc_2_0,im_Yc_2_0,re_Yc_2_1,im_Yc_2_1,re_Yc_2_2,im_Yc_2_2
3.0773710816235841e+01,1.5628099389617634e-03,5.9652397772650529e-04,-3.1928732032967757e-04,-2.2613137277170055e-04,-2.3216558277822349e-04,-1.5372616926706599e-04,-3.3412453845076047e-04,-2.3902992460452581e-04,1.5773950668000608e-03,6.3120209810664236e-04,-3.4252085301463757e-04,-2.4494396218208776e-04,-2.3478065798343317e-04,-1.5587630555361737e-04,-3.3035950051526672e-04,-2.3428956007774402e-04,1.5598625358425996e-03,5.9793776641814877e-04
3.2974625233396047e+01,1.5962133349773956e-03,5.8183006292277949e-04,-3.3413937520595979e-04,-2.2287850008450004e-04,-2.4221194748059595e-04,-1.4962530650441160e-04,-3.4986642785838343e-04,-2.3552468296202757e-04,1.6133605035371825e-03,6.1772080040795746e-04,-3.5864697634263278e-04,-2.4150202769739068e-04,-2.4497267015762984e-04,-1.5172299051018483e-04,-3.4574794182901976e-04,-2.3104884413859724e-04,1.5933971645775054e-03,5.8338594128683847e-04
3.5332947520558982e+01,1.6282544116229048e-03,5.6589473701461877e-04,-3.4858592732605541e-04,-2.1875443478306181e-04,-2.5174305107893353e-04,-1.4496915967160284e-04,-3.6517082064002561e-04,-2.3109190881690590e-04,1.6481167789026330e-03,6.0278808355697735e-04,-3.7434456065015524e-04,-2.3710806336237303e-04,-2.5464258103571701e-04,-1.4700571161338670e-04,-3.6073311400558889e-04,-2.2690331085037049e-04,1.6255862622023228e-03,5.6757830689295040e-04
3.7859935379226158e+01,1.6588023385476530e-03,5.4886683987102609e-04,-3.6252682476455923e-04,-2.1381940923353068e-04,-2.6070542251715686e-04,-1.3983400310607451e-04,-3.7993139743466809e-04,-2.2579656671834248e-04,1.6814991707730822e-03,5.8653017654054741e-04,-3.8950358021978999e-04,-2.3182566310260051e-04,-2.6373605898915713e-04,-1.4180177546035144e-04,-3.7521023645128250e-04,-2.2191284284772746e-04,1.6562965166379338e-03,5.5066132329457528e-04
4.0567651653889101e+01,1.6877515220910147e-03,5.3091118667391072e-04,-3.7587355601537137e-04,-2.0814693430477884e-04,-2.6905968117617828e-04,-1.3430057024692234e-04,-3.9405435752779157e-04,-2.1971765084103476e-04,1.7133643430190537e-03,5.6909631547084828e-04,-4.0402631923596723e-04,-2.2573316542931585e-04,-2.7221305288635853e-04,-1.3619302824826256e-04,-3.8908614909910900e-04,-2.1615140741542812e-04,1.6854194377868155e-03,5.3279797224134093e-04
4.3469021915296487e+01,1.7150239026334558e-03,5.1220322912923840e-04,-3.8855141161452773e-04,-2.0182118173734775e-04,-2.7678058766149641e-04,-1.2845113863132584e-04,-4.0746069035510284e-04,-2.1294538103418224e-04,1.7435944640610307e-03,5.5065405156887648e-04,-4.1782981579602832e-04,-2.1892087402140825e-04,-2.8004784796586458e-04,-1.3026290174940499e-04,-4.0228165400682812e-04,-2.0970442436609680e-04,1.7128738032445073e-03,5.1416249373881088e-04
4.6577896162036765e+01,1.7405698934373388e-03,4.9292346387132648e-04,-4.0050095577453051e-04,-1.9493398718370053e-04,-2.8385643082412082e-04,-1.2236681768707433e-04,-4.2008771088385583e-04,-2.0557800302830348e-04,1.7721000382122693e-03,5.3138376869590962e-04,-4.3084756728774276e-04,-2.1148783495348361e-04,-2.8722844903357150e-04,-1.2409366354203862e-04,-4.1473315544348466e-04,-2.0266570791338203e-04,1.7386067569522307e-03,4.9493482418884048e-04
4.9909114934975015e+01,1.7643679926124974e-03,4.7325196446942116e-04,-4.1167874666278576e-04,-1.8758167832845266e-04,-2.9028786464865646e-04,-1.1612519363686615e-04,-4.3188979569583634e-04,-1.9771841012805158e-04,1.7988213102018925e-03,5.1147280829540761e-04,-4.4303041977213412e-04,-2.0353839216410708e-04,-2.9375540571815355e-04,-1.1776402795104872e-04,-4.2639352383135628e-04,-1.9513419342489542e-04,1.7625935773844881e-03,4.7529511286997366e-04
5.3478580160148262e+01,1.7864232075277733e-03,4.5336337520509982e-04,-4.2205730910560010e-04,-1.7986193920944540e-04,-2.9608634158899443e-04,-1.0979843768112722e-04,-4.4283832569199207e-04,-1.8947081028512083e-04,1.8237282347486950e-03,4.9110961752642961e-04,-4.5434663578927719e-04,-1.9517875372542087e-04,-2.9964022796888308e-04,-1.1134723550920865e-04,-4.3723217728392259e-04,-1.8721067061381255e-04,1.7848362411894180e-03,4.5541866035244555e-04
5.7303331058295718e+01,1.8067645159708723e-03,4.3342262511256001e-04,-4.3162442772699307e-04,-1.7187090004979817e-04,-3.0127230191324251e-04,-1.0345192630470408e-04,-4.5292090925596484e-04,-1.8093763876513366e-04,1.8468191318432785e-03,4.7047829668949576e-04,-4.6478120711539568e-04,-1.8651378061448320e-04,-3.0490355325460226e-04,-1.0490965076313585e-04,-4.4723444325273467e-04,-1.7899472510447280e-04,1.8053609966658696e-03,4.3547154658117766e-04
6.1401625483385565e+01,1.8254416354388534e-03,4.1358152821025467e-04,-4.4038187665506055e-04,-1.6370060320386112e-04,-3.0587327083442370e-04,-9.7143371479828847e-05,-4.6214001040837370e-04,-1.7221687517216433e-04,1.8681182465147188e-03,4.4975384784675255e-04,-4.7433453423646938e-04,-1.7764416917575099e-04,-3.0957321917167132e-04,-9.8509876535412410e-05,-4.5640031555659722e-04,-1.7058205190820415e-04,1.8242152128148806e-03,4.1560712577536871e-04
6.5793027078417055e+01,1.8425213862569558e-03,3.9397634431139253e-04,-4.4834373241328126e-04,-1.5543694830538618e-04,-3.0992199390756319e-04,-9.0922418901628020e-05,-4.7051113840847962e-04,-1.6339987296209576e-04,1.8876724954820341e-03,4.2909833352414758e-04,-4.8302063041111694e-04,-1.6866414713836086e-04,-3.1368237372133748e-04,-9.2198342577770785e-05,-4.6474275663711790e-04,-1.6206225558473177e-04,1.8414637882779156e-03,3.9596347399091687e-04
7.0498498664544442e+01,1.8580839142552977e-03,3.7472628328479160e-04,-4.5553442697373090e-04,-1.4715816322081007e-04,-3.1345470930278118e-04,-8.4830642466009618e-05,-4.7806076578621335e-04,-1.5456974956802138e-04,1.9055477052262869e-03,4.0865804320706320e-04,-4.9086502211326396e-04,-1.5965974085791385e-04,-3.1726772333053391e-04,-8.6017296159762675e-05,-4.7228570836366554e-04,-1.5351719269695070e-04,1.8571853882670820e-03,3.7666178231217070e-04
7.5540502309326968e+01,1.8722190021405289e-03,3.5593287625081940e-04,-4.6198669143922077e-04,-1.3893380384975322e-04,-3.1650962398887324e-04,-7.8901852106774323e-05,-4.8482413451900782e-04,-1.4580033912965388e-04,1.9218246361870899e-03,3.8856167839486659e-04,-4.9790251237274400e-04,-1.5070762266910443e-04,-3.2036798676113309e-04,-8.0001110816433065e-05,-4.7906196986750290e-04,-1.4501986568940539e-04,1.8714687434913319e-03,3.5780562707744286e-04
8.0943106551789882e+01,1.8850226441197166e-03,3.3768008607260627e-04,-4.6773952041882961e-04,-1.3082424322626214e-04,-3.1912562862036856e-04,-7.3162627625478907e-05,-4.9084308808788272e-04,-1.3715566479156706e-04,1.9365950480248492e-03,3.6891948232623667e-04,-5.0417495247653474e-04,-1.4187449912219321e-04,-3.2302259041247733e-04,-7.4176824835985933e-05,-4.8511108101831839e-04,-1.3663383144445326e-04,1.8844091920102012e-03,3.3948099467595149e-04
8.6732101296147420e+01,1.8965940037799886e-03,3.2003500895887383e-04,-4.7283625941564670e-04,-1.2288058521873389e-04,-3.2134126076316394e-04,-6.7632998601315793e-05,-4.9616403750998904e-04,-1.2868986107540407e-04,1.9499580073074202e-03,3.4982318976496229e-04,-5.0972913762030079e-04,-1.3321697178371339e-04,-3.2527061502226077e-04,-6.8564828537234361e-05,-4.9047732182787968e-04,-1.2841305996151654e-04,1.8961055906904563e-03,3.2175691534628675e-04
9.2935120922645552e+01,1.9070328244518294e-03,3.0304901383072233e-04,-4.7732288779064728e-04,-1.1514492331788479e-04,-3.2319390737797950e-04,-6.2327201935401711e-05,-5.0083613776153205e-04,-1.2044746135453547e-04,1.9620165806994556e-03,3.3134664206260279e-04,-5.1461490950488920e-04,-1.2478178469284133e-04,-3.2714998477601366e-04,-6.3179630937935333e-05,-4.9520790710613825e-04,-1.2040216174026572e-04,1.9066576717032800e-03,3.0468655306929178e-04
9.9581776203206161e+01,1.9164373130328199e-03,2.8675917274582398e-04,-4.8124653884716861e-04,-1.0765085883717694e-04,-3.2471922334762632e-04,-5.7254461894032670e-05,-5.0490971804235626e-04,-1.1246395914840393e-04,1.9728749951096317e-03,3.1354690027345902e-04,-5.1888351453438833e-04,-1.1660636469631774e-04,-3.2869687546753875e-04,-5.8030649851693479e-05,-4.9935142304585831e-04,-1.1263689483236581e-04,1.9161638702566862e-03,2.8830860358933257e-04
1.0670379565158625e+02,1.9249024880827897e-03,2.7118985636176744e-04,-4.8465427518443920e-04,-1.0042419869234778e-04,-3.2595073749539899e-04,-5.2419752399713172e-05,-5.0843498455213957e-04,-1.0476655834063419e-04,1.9826363005821870e-03,2.9646569983015242e-04,-5.2258624002782987e-04,-1.0871956655395837e-04,-3.2994531289463029e-04,-5.3122984511497050e-05,-5.0295652741291265e-04,-1.0514486781847123e-04,1.9247196183492209e-03,2.7264887233525829e-04
1.1433517698280319e+02,1.9325189575919754e-03,2.5635438916602566e-04,-4.8759211714722922e-04,-9.3483760824285964e-05,-3.2691961442538080e-04,-4.7824513494014949e-05,-5.1146099294168508e-04,-9.7375035954005732e-05,1.9914005312727120e-03,2.8013110574907603e-04,-5.2577332796140727e-04,-1.0114254290351732e-04,-3.3092692946952603e-04,-4.8458142145359789e-05,-5.0607091320171017e-04,-9.7946362680846551e-05,1.9324160726962309e-03,2.5772192421519605e-04
1.2251234940483201e+02,1.9393720739001624e-03,2.4225668306865491e-04,-4.9010430633332079e-04,-8.6842227052392627e-05,-3.2765454009082490e-04,-4.3467304770557054e-05,-5.1403487084735605e-04,-9.0302653669492114e-05,1.9992633281682450e-03,2.6455925069873292e-04,-5.2849314776056886e-04,-9.3889671806432650e-05,-3.3167084655124409e-04,-4.4034700952768362e-05,-5.0874051844302802e-04,-9.1055213494250939e-05,1.9393392259133935e-03,2.4353272099459906e-04
1.3127434751729254e+02,1.9455414122735303e-03,2.2889279136991173e-04,-4.9223278028853745e-04,-8.0506997385683475e-05,-3.2818170368168907e-04,-3.9344387109986029e-05,-5.1620126483440038e-04,-8.3557069442508994e-05,2.0063149762761085e-03,2.4975606575059292e-04,-5.3079160273489224e-04,-8.6969490226859324e-05,-3.3220365472706438e-04,-3.9848900595072288e-05,-5.1100895819933148e-04,-8.4479691700695584e-05,1.9455693482029943e-03,2.3007818565311022e-04
1.4066299764724937e+02,1.9511005125599451e-03,2.1625234401468252e-04,-4.9401682700810502e-04,-7.4481011047666505e-05,-3.2852485004372574e-04,-3.5450230199575887e-05,-5.1800197817732097e-04,-7.7141212533805766e-05,2.0126397935944238e-03,2.3571893640949478e-04,-5.3271173612082895e-04,-8.0385594175526350e-05,-3.3254946588842719e-04,-3.5895157560788406e-05,-5.1291714652816958e-04,-7.8223360480329736e-05,1.9511806989933747e-03,2.1734865228662962e-04
1.5072311751161968e+02,1.9561168313328111e-03,2.0431984145435433e-04,-4.9549288937443558e-04,-6.8763511192907820e-05,-3.2870538258550385e-04,-3.1777947529555540e-05,-5.1947576759654290e-04,-7.1054097711922322e-05,2.0183158127203252e-03,2.2243823913348405e-04,-5.3429350405163520e-04,-7.4137479295321692e-05,-3.3273001675704480e-04,-3.2166507053889805e-05,-5.1450307743095166e-04,-7.2285873144790523e-05,1.9562414555539206e-03,2.0532917701394129e-04
1.6150273015929693e+02,1.9606518521414610e-03,1.9307579775786245e-04,-4.9669448813515935e-04,-6.3350739193810405e-05,-3.2874249890902887e-04,-2.8319663678390149e-05,-5.2065826550669564e-04,-6.5291563838209800e-05,2.0234146925478397e-03,2.0989873171651364e-04,-5.3557368090839978e-04,-6.8221305586608030e-05,-3.3276480581668686e-04,-2.8654976231604859e-05,-5.1580173199294432e-04,-6.6663699911841722e-05,1.9608138054945201e-03,1.9400069904641846e-04
1.7305329321426640e+02,1.9647613138799713e-03,1.8249773184852416e-04,-4.9765223781725505e-04,-5.8236551637344950e-05,-3.2865334685465159e-04,-2.5066819743692784e-05,-5.2158200053653418e-04,-5.9846929721093877e-05,2.0280018095704699e-03,1.9808078454031076e-04,-5.3658586874030649e-04,-6.2630578144730957e-05,-3.3267125113633882e-04,-2.5351894693905857e-05,-5.1684508481784376e-04,-6.1350775218402276e-05,1.9649541623809447e-03,1.8334104975755773e-04
1.8542994451403050e+02,1.9684955187527840e-03,1.7256101362252743e-04,-4.9839393045223292e-04,-5.3412958678095143e-05,-3.2845319004276655e-04,-2.2010424079391633e-05,-5.2227648962050734e-04,-5.4711565964782843e-05,2.0321364788557757e-03,1.8696145120809620e-04,-5.3736058291224188e-04,-5.7356741958776351e-05,-3.3246485797868737e-04,-2.2248149460292153e-05,-5.1766218328483501e-04,-5.6339063607895478e-05,1.9687134650754703e-03,1.7332581576042291e-04
1.9869176531592197e+02,1.9718996919988263e-03,1.6323957485149846e-04,-4.9894466785005431e-04,-4.8870586071474186e-05,-3.2815557586054659e-04,-1.9141255176064031e-05,-5.2276838121542160e-04,-4.9875385407216313e-05,2.0358722667819912e-03,1.7651538379352111e-04,-5.3792539255307454e-04,-5.2389693010018020e-05,-3.3215938901186087e-04,-1.9334391352322139e-05,-5.1827927924124988e-04,-5.1619046236212201e-05,1.9721375321764024e-03,1.6392906544981361e-04
2.1290206232775020e+02,1.9750143703961302e-03,1.5450649719461155e-04,-4.9932702611465225e-04,-4.4599065578330470e-05,-3.2777250055243592e-04,-1.6450023315330186e-05,-5.2308163234813382e-04,-4.5327257235591201e-05,2.0392573634267445e-03,1.6671560267331515e-04,-5.3830509763182622e-04,-4.7718210607844328e-05,-3.3176703167963771e-04,-1.6601199498655445e-05,-5.1871999582882213e-04,-4.7180132620914121e-05,1.9752674478551407e-03,1.5512395108409569e-04
2.2812866990908441e+02,1.9778758010452840e-03,1.4633449136906119e-04,-4.9956123894032720e-04,-4.0587360185448222e-05,-3.2731456749906748e-04,-1.3927497368963537e-05,-5.2323770523304424e-04,-4.1055351711009044e-05,2.0423349881033281e-03,1.5753413444670973e-04,-5.3852192763680800e-04,-4.3330317904721895e-05,-3.3129855873478148e-04,-1.4039210421180948e-05,-5.1900551512809004e-04,-4.3011004176440049e-05,1.9781399599485723e-03,1.4688320035890183e-04
2.4444427388576150e+02,1.9805163377459695e-03,1.3869628088065503e-04,-4.9966538988696499e-04,-3.6824031027849654e-05,-3.2679113645369751e-04,-1.1564602242813683e-05,-5.2325577308789148e-04,-3.7047422880264063e-05,2.0451438089227661e-03,1.4894253204296776e-04,-5.3859575088128044e-04,-3.9213578082334116e-05,-3.3076347965305933e-04,-1.1639217281942320e-05,-5.1915477615371484e-04,-3.9099896616729863e-05,1.9807878770983101e-03,1.3917951088939976e-04
2.6192675852338226e+02,1.9829648260187615e-03,1.3156490276991763e-04,-4.9965560635141884e-04,-3.3297452841928164e-05,-3.2621046247922311e-04,-9.3524916985475949e-06,-5.2315292745208956e-04,-3.3291036576696042e-05,2.0477183622664590e-03,1.4091229087706886e-04,-5.3854428625907890e-04,-3.5355333681070747e-05,-3.3017018163709308e-04,-9.3922440949409584e-06,-5.1918467539642532e-04,-3.5434828298159295e-05,1.9832404555646835e-03,1.3198586013678189e-04
2.8065957831611280e+02,1.9852469694509331e-03,1.2491393798205966e-04,-4.9954624925931384e-04,-2.9995985022421004e-05,-3.2557982365824799e-04,-7.2826010064894766e-06,-5.2294438069985989e-04,-2.9773751262566528e-05,2.0500894605321677e-03,1.3341517555360066e-04,-5.3838331074032185e-04,-3.1742896836870083e-05,-3.2952605925592538e-04,-7.2895994248216254e-06,-5.1911026350129450e-04,-3.2003781859172300e-05,1.9855237680386161e-03,1.2527574351082501e-04
