omega,re_Hmin_0,im_Hmin_0,re_Hmin_1,im_Hmin_1,re_Hmin_2,im_Hmin_2
4.2479546174171549e+02,9.94311637462377051e-01,-2.72438038187855502e-03,9.85520785868175375e-01,-4.73641454692055042e-02,9.93583395687504645e-01,-2.49574424413787077e-03
4.5517653803357103e+02,9.94260306231595559e-01,-2.89348081470700014e-03,9.84585893334576245e-01,-5.01915335315421818e-02,9.93525723791822912e-01,-2.64306033322020406e-03
4.8773044779419126e+02,9.94202324308996133e-01,-3.07300797313753149e-03,9.83576473536638463e-01,-5.31780742654606731e-02,9.93460635977846729e-01,-2.79917077884250798e-03
5.2261259056365839e+02,9.94137166723310872e-01,-3.26315492710732569e-03,9.82486780357086920e-01,-5.63316046238558077e-02,9.93387518430527972e-01,-2.96407314911642517e-03
5.5998947994919672e+02,9.94063734250037578e-01,-3.46405880114844522e-03,9.81309738179924951e-01,-5.96600616559149755e-02,9.93305182651497587e-01,-3.13768552717672011e-03
6.0003953849553216e+02,9.93981768150910883e-01,-3.67578552296826677e-03,9.80039128785219149e-01,-6.31718413214567565e-02,9.93213273401491903e-01,-3.31983025005327947e-03
6.4295394940382641e+02,9.93889952283054101e-01,-3.89830659796858159e-03,9.78666565364127217e-01,-6.68752547386973484e-02,9.93110383595861790e-01,-3.51020605188293033e-03
6.8893756916496295e+02,9.93787616933519025e-01,-4.13150934069320130e-03,9.77184098413980906e-01,-7.07789940816285490e-02,9.92995750583053671e-01,-3.70839767160704992e-03
7.3820990546372707e+02,9.93674434135342510e-01,-4.37518681545009946e-03,9.75583655220966350e-01,-7.48920301745162886e-02,9.92868955962592614e-01,-3.91386329302675917e-03
7.9100616502201171e+02,9.93549307172061469e-01,-4.62901624238082343e-03,9.73855286154563737e-01,-7.92232438763559310e-02,9.92728825338981657e-01,-4.12590982114657834e-03
8.4757837638304909e+02,9.93411603894581052e-01,-4.89258041059231763e-03,9.71988969290091265e-01,-8.37817731466031779e-02,9.92574658009397370e-01,-4.34371449163606371e-03
9.0819659299638386e+02,9.93260740971590561e-01,-5.16537137050820938e-03,9.69973904890321204e-01,-8.85768527643007730e-02,9.92405818008435525e-01,-4.56632759355446449e-03
