omega,re_Hmin_0,im_Hmin_0,re_Hmin_1,im_Hmin_1,re_Hmin_2,im_Hmin_2
3.4528671443168505e+05,8.15668440546989948e-01,-2.04740857996572545e-01,1.31731862256141176e-03,1.08985786460025630e-02,9.57542897693993145e-01,-2.90375553044547319e-03
3.6998138035561488e+05,8.05039016460721180e-01,-2.10590304011296858e-01,2.26237793008475822e-03,8.50709384302059460e-03,9.57496344473536709e-01,-2.80277300844511412e-03
3.9644219162949966e+05,7.93920749704454476e-01,-2.16255525266618925e-01,2.72441892341984161e-03,6.44145001330053042e-03,9.57463275459257135e-01,-2.71025905660543520e-03
4.2479546174171538e+05,7.82306564994664555e-01,-2.21705701351051776e-01,2.83271972557105640e-03,4.71902199308654648e-03,9.57434766635624435e-01,-2.63579222019572068e-03
4.5517653803357092e+05,7.70197837254008921e-01,-2.26888902132191650e-01,2.70022686476361186e-03,3.33205005549531497e-03,9.57401516843886968e-01,-2.56507838236921804e-03
4.8773044779419072e+05,7.57604954114710072e-01,-2.31780830047113501e-01,2.42089770642004484e-03,2.25425295395666192e-03,9.57370090715326860e-01,-2.51405374855309671e-03
5.2261259056365775e+05,7.44544604668307186e-01,-2.36332091817456097e-01,2.06833471103377116e-03,1.44753021944360374e-03,9.57342728533273180e-01,-2.46952764517310852e-03
5.5998947994919610e+05,7.31023701296045214e-01,-2.40504979339591363e-01,1.69665375898993298e-03,8.67780400562170526e-04,9.57310671617488396e-01,-2.43654127789705299e-03
6.0003953849553096e+05,7.17056234258331426e-01,-2.44257849479393691e-01,1.34244635211963116e-03,4.69916656454022019e-04,9.57267801398473783e-01,-2.41452901782367169e-03
6.4295394940382626e+05,7.02672998353440770e-01,-2.47553840572262374e-01,1.02762995524793409e-03,2.11498836995652759e-04,9.57225792505006279e-01,-2.40266415616696705e-03
6.8893756916496286e+05,6.87890227608175753e-01,-2.50354202453115349e-01,7.62580031974363160e-04,5.51208004379979207e-05,9.57174185744026906e-01,-2.40433110236733250e-03
7.3820990546372614e+05,6.72747400893559111e-01,-2.52620204925527281e-01,5.49380151019636278e-04,-3.02986535150341890e-05,9.57126355160628828e-01,-2.41289869958799530e-03
7.9100616502201080e+05,6.57271373782920776e-01,-2.54314767067217562e-01,3.84657476761394524e-04,-6.92279661478798321e-05,9.57076824360790557e-01,-2.42860810246925407e-03
8.4757837638304825e+05,6.41495385263823215e-01,-2.55404975575281967e-01,2.61998752014370637e-04,-7.98950912427394720e-05,9.57025478825317188e-01,-2.45317027164412838e-03
9.0819659299638204e+05,6.25460809156907271e-01,-2.55857489900197799e-01,1.73765431242998682e-04,-7.51120237924503861e-05,9.56978101659658242e-01,-2.48211327428426998e-03
9.7315018234664586e+05,6.09205989896418276e-01,-2.55644495818887318e-01,1.12343359983953770e-04,-6.33130444317713811e-05,9.56935418915182523e-01,-2.51734009856868779e-03
1.0427492072799277e+06,5.92750830234252346e-01,-2.54738871852492776e-01,7.09018952587881819e-05,-4.96155909321819904e-05,9.56869356302556318e-01,-2.56993041709652204e-03
1.1173259061216526e+06,5.76153831627469026e-01,-2.53105617582688680e-01,4.37684977798030321e-05,-3.67919293960201191e-05,9.56793966749790448e-01,-2.61505119144356257e-03
1.1972362786514519e+06,5.59460586442676489e-01,-2.50736198257299925e-01,2.64990431420636671e-05,-2.60749295898740115e-05,9.56718679557146068e-01,-2.66621526583799007e-03
1.2828617855058608e+06,5.42698428337125005e-01,-2.47610491496691065e-01,1.57915534101760345e-05,-1.77684493418937343e-05,9.56616739355434231e-01,-2.72824901038426493e-03
1.3746111691211148e+06,5.25922774892506495e-01,-2.43714504368833823e-01,9.30637766848656902e-06,-1.16867891201493039e-05,9.56501740034945036e-01,-2.79083588640538505e-03
1.4729224049085104e+06,5.09186278610535670e-01,-2.39047241009901101e-01,5.45395406419323111e-06,-7.43659792182034851e-06,9.56391612311001227e-01,-2.85688752463986173e-03
1.5782647919764740e+06,4.92521097013841169e-01,-2.33595384511655624e-01,3.19714022987271624e-06,-4.58287234511367663e-06,9.56263642713163886e-01,-2.91719287668462668e-03
1.6911411933796064e+06,4.75971580540005212e-01,-2.27364186239210925e-01,1.88434065602558039e-06,-2.73473088689691373e-06,9.56126098466111185e-01,-2.97330211447260906e-03
1.8120904365888117e+06,4.59567986884686253e-01,-2.20362378569688766e-01,1.11991818252877361e-06,-1.57754419932578461e-06,9.55968335975532768e-01,-3.03385913221321246e-03
1.9416898856413539e+06,4.43345702256339180e-01,-2.12597011826853144e-01,6.70913240418040688e-07,-8.76484862741880933e-07,9.55787946714330872e-01,-3.09008886623962642e-03
2.0805581972493103e+06,4.27348617794298447e-01,-2.04094811327534459e-01,4.03392905588888239e-07,-4.65949865452927363e-07,9.55618434857994692e-01,-3.14751160016391723e-03
2.2293582740229871e+06,4.11584478919616414e-01,-1.94860403367438595e-01,2.41512947038029549e-07,-2.34277538843128119e-07,9.55415728937670350e-01,-3.18955839348739056e-03
2.3888004289068244e+06,3.96084484313943941e-01,-1.84927449286443557e-01,1.42473263132836639e-07,-1.09127185693726023e-07,9.55209292895782380e-01,-3.21671689585262266e-03
2.5596457759335358e+06,3.80843585473783997e-01,-1.74323075122335330e-01,8.17804036392754335e-08,-4.51665550663587883e-08,9.54961892479292196e-01,-3.23451743351682586e-03
2.7427098634826755e+06,3.65903852147467901e-01,-1.63097531414526625e-01,4.50199554078147039e-08,-1.49140779230342872e-08,9.54765814116460776e-01,-3.23473384458644597e-03
2.9388665673872861e+06,3.51206618860491204e-01,-1.51276613869278875e-01,2.33420888264288871e-08,-2.24953332868406145e-09,9.54490179929795013e-01,-3.23590409112950450e-03
3.1490522624728531e+06,3.36756574689508703e-01,-1.38906144205555304e-01,1.11185267669060487e-08,1.91593935309575912e-09,9.54166459183948268e-01,-3.21652108379504031e-03
3.3742702924418231e+06,3.22539912367772019e-01,-1.26039901104796903e-01,4.66913197607410705e-09,2.45656217321409712e-09,9.53813027196128704e-01,-3.16833615897374465e-03
3.6155957594411564e+06,3.08527817803937288e-01,-1.12745491941435960e-01,1.58191026640775533e-09,1.79843438946804891e-09,9.53446215651208129e-01,-3.11018669095630695e-03
3.8741806561764297e+06,2.94670632929658560e-01,-9.90839371432747085e-02,3.11849111400975568e-10,1.00710082875706532e-09,9.53038995008032797e-01,-3.04030010996775291e-03
4.1512593650711407e+06,2.80912280570447592e-01,-8.51230941065651836e-02,-8.13896296118653200e-11,4.41912032099625128e-10,9.52567687211235858e-01,-2.94952021234190509e-03
4.4481545507221343e+06,2.67209164296220603e-01,-7.09466693428829898e-02,-1.23697368896379262e-10,1.37828328830332657e-10,9.52082891116977525e-01,-2.82993384955337879e-03
4.7662834737792779e+06,2.53482854268708313e-01,-5.66391489109320245e-02,-7.19682081056122598e-11,1.58809707474828837e-11,9.51547481331208811e-01,-2.67096761902035906e-03
5.1071647563894549e+06,2.39654205219969635e-01,-4.23049768263201176e-02,-2.50217114761429193e-11,-1.31679645474291333e-11,9.50946791574168060e-01,-2.48353290831985346e-03
5.4724256315004174e+06,2.25639450092054022e-01,-2.80533792630831141e-02,-3.06774503096789010e-12,-9.98001894436575328e-12,9.50257147900386734e-01,-2.24635068011135031e-03
5.8638097106298050e+06,2.11363943271753452e-01,-1.40192173890522839e-02,2.04275559155282023e-12,-3.09044304822346570e-12,9.49507473871717744e-01,-1.97354131935179034e-03
6.2831853071795879e+06,1.96743525233595173e-01,-3.41862299188464003e-04,1.26069167195972160e-12,-2.52224848622157299e-15,9.48678018388738997e-01,-1.63470179101586621e-03
