t,Bus_2_Vm,Bus_3_Vm,GenClassical_genrou_2_1_speed,GenClassical_genrou_3_1_speed
2.0000000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,1.0000000000000000e+00
2.0416699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,1.0000000000000000e+00
2.0833299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000000000000000e+00
2.1249999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000001192092800e+00
2.1666700000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000001192092800e+00
2.2083300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000001192092800e+00
2.2500000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000001192092800e+00
2.2916700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000001192092800e+00
2.3333300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000001192092800e+00
2.3749999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000002384185700e+00
2.4166699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
2.4583300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
2.5000000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
2.5416699999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
2.5833299999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000002384185700e+00
2.6250000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000002384185700e+00
2.6666699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000002384185700e+00
2.7083299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000002384185700e+00
2.7500000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000002384185700e+00
2.7916700000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000002384185700e+00
2.8333300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
2.8749999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
2.9166700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
2.9583300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000001192092800e+00
2.9999999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000001192092800e+00
3.0416700000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000001192092800e+00
3.0833300000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000001192092800e+00
3.1250000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000001192092800e+00
3.1666699999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000001192092800e+00
3.2083299999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000000000000000e+00
3.2500000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000000000000000e+00
3.2916699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000000000000000e+00
3.3333299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,1.0000000000000000e+00
3.3750000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,9.9999994039535500e-01
3.4166700000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,9.9999994039535500e-01
3.4583300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999994039535500e-01,9.9999988079071001e-01
3.4999999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999988079071001e-01,9.9999988079071001e-01
3.5416700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999982118606501e-01,9.9999988079071001e-01
3.5833300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999976158142001e-01,9.9999982118606501e-01
3.6249999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999970197677601e-01,9.9999982118606501e-01
3.6666700000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999964237213101e-01,9.9999982118606501e-01
3.7083300000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999964237213101e-01,9.9999982118606501e-01
3.7500000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999958276748602e-01,9.9999976158142001e-01
3.7916699999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999952316284102e-01,9.9999976158142001e-01
3.8333299999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,9.9999976158142001e-01
3.8750000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,9.9999976158142001e-01
3.9166699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999976158142001e-01
3.9583299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999976158142001e-01
4.0000000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999976158142001e-01
4.0416700000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999976158142001e-01
4.0833300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999976158142001e-01
4.1249999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999976158142001e-01
4.1666700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999982118606501e-01
4.2083300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999982118606501e-01
4.2499999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999982118606501e-01
4.2916700000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999982118606501e-01
4.3333300000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999988079071001e-01
4.3750000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999988079071001e-01
4.4166699999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999988079071001e-01
4.4583299999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,9.9999994039535500e-01
4.5000000000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,9.9999994039535500e-01
4.5416699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999952316284102e-01,1.0000000000000000e+00
4.5833299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999958276748602e-01,1.0000000000000000e+00
4.6250000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999964237213101e-01,1.0000000000000000e+00
4.6666700000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999970197677601e-01,1.0000000000000000e+00
4.7083300000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999976158142001e-01,1.0000001192092800e+00
4.7499999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999976158142001e-01,1.0000001192092800e+00
4.7916700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999982118606501e-01,1.0000001192092800e+00
4.8333300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999988079071001e-01,1.0000001192092800e+00
4.8749999999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999994039535500e-01,1.0000001192092800e+00
4.9166700000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,1.0000001192092800e+00
4.9583300000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,1.0000002384185700e+00
5.0000000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,1.0000002384185700e+00
5.0416700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000002384185700e+00
5.0833300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000002384185700e+00
5.1249999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000002384185700e+00
5.1666699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000002384185700e+00
5.2083299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000002384185700e+00
5.2500000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000002384185700e+00
5.2916700000000005e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000002384185700e+00
5.3333299999999995e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
5.3749999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
5.4166700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
5.4583300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
