Time,Bus1_Vm,Bus2_Vm,Bus3_Vm,Gen1_Speed,Gen2_Speed
2.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
2.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
2.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
2.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
2.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000119e+00
2.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000119e+00
2.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
2.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
2.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
2.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
2.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
2.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
2.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.000000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.041670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000358e+00,1.000000119e+00
3.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
3.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
3.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
3.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
3.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000119e+00
3.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000000e+00
3.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000238e+00,1.000000000e+00
3.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
3.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
3.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
3.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
3.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
