Bus #,1,2,3
Gen id,1',1',1'
type,IEEEST,IEEEST,IEEEST
A1,1.0129999999999999,1.0129999999999999,1.0129999999999999
A2,1.2999999999999999E-2,1.2999999999999999E-2,1.2999999999999999E-2
A3,0,0,0
A4,0,0,0
A5,1.0129999999999999,1.0129999999999999,1.0129999999999999
A6,0.113,0.113,0.113
T1,3,3,3
T2,0.02,0.02,0.02
T3,0,0,0
T4,0,0,0
T5,1.65,1.65,1.65
T6,1.65,1.65,1.65
KS,3,3,3
LSMAX,0.1,0.1,0.1
LSMIN,-0.1,-0.1,-0.1
VCU,0,0,0
VCL,0,0,0
