Bus #,1,2,3
Gen id,1',1',1'
type,GENROU,GENROU,GENROU
T'd0,6,6,6
T''d0,0.5,0.5,0.5
T'q0,1,1,1
T''q0,0.05,0.05,0.05
H,15.76,2.56,3.01
D,0,0,0
Xd,1.4,1.4,1.4
Xq,1.35,1.35,1.35
X'd,0.3,0.3,0.3
X'q,0.6,0.6,0.6
X''d=X''q,0.2,0.2,0.2
Xl,0.1,0.1,0.1
S(1.0),0,0,0
S(1.2),0,0,0
Ra,5.0000000000000001E-3,5.0000000000000001E-3,5.0000000000000001E-3
