time_s,accepted_steps,residual_evaluations,error_test_failures
0,0,0,0
0.01,333,538,19
0.02,560,926,30
0.03,854,1467,55
0.04,1138,1953,73
0.05,1368,2341,85
0.06,1624,2794,105
0.07,1858,3193,112
0.08,2082,3576,131
0.09,2352,4046,159
0.1,2593,4447,166
0.11,2844,4878,182
0.12,3115,5356,201
0.13,3359,5776,215
0.14,3606,6209,233
0.15,3882,6662,249
0.16,4168,7169,273
0.17,4360,7514,286
0.18,4701,8146,303
0.19,4846,8427,317
0.2,5051,8764,322
0.21,5298,9217,342
0.22,5535,9657,361
0.23,5734,10008,367
0.24,6011,10480,390
0.25,6251,10909,399
0.26,6443,11262,414
0.27,6647,11647,421
0.28,6829,11997,435
0.29,7107,12507,457
0.3,7348,12915,477
0.31,7610,13345,497
0.32,7802,13680,513
0.33,8033,14067,524
0.34,8271,14475,531
0.35,8538,14924,548
0.36,8790,15340,564
0.37,9034,15765,574
0.38,9287,16195,595
0.39,9557,16673,611
0.4,9804,17110,616
0.41,10063,17568,644
0.42,10348,18070,661
0.43,10543,18411,673
0.44,10794,18867,695
0.45,11023,19271,709
0.46,11265,19689,727
0.47,11473,20077,740
0.48,11702,20492,747
0.49,11942,20910,761
0.5,12105,21216,768
0.51,12371,21689,783
0.52,12567,22063,793
0.53,12808,22482,808
0.54,13078,22942,819
0.55,13338,23380,842
0.56,13556,23766,862
0.57,13751,24106,875
0.58,14005,24544,888
0.59,14260,24981,901
0.6,14472,25351,905
0.61,14754,25848,928
0.62,14987,26243,948
0.63,15169,26588,960
0.64,15475,27116,990
0.65,15703,27522,999
0.66,15903,27884,1014
0.67,16132,28265,1024
0.68,16359,28640,1043
0.69,16584,29018,1054
0.7,16829,29422,1066
0.71,17040,29811,1076
0.72,17282,30255,1098
0.73,17541,30706,1116
0.74,17808,31183,1138
0.75,18022,31540,1151
0.76,18262,31946,1162
0.77,18509,32399,1179
0.78,18758,32883,1190
0.79,19016,33338,1200
0.8,19228,33710,1210
0.81,19504,34169,1238
0.82,19766,34612,1255
0.83,20010,35051,1281
0.84,20240,35430,1289
0.85,20451,35796,1308
0.86,20678,36239,1328
0.87,20897,36643,1346
0.88,21118,37028,1356
0.89,21314,37369,1370
0.9,21514,37719,1386
0.91,21712,38061,1404
0.92,21947,38476,1416
0.93,22157,38914,1437
0.94,22405,39356,1462
0.95,22681,39845,1483
0.96,22949,40318,1512
0.97,23174,40706,1518
0.98,23420,41133,1542
0.99,23641,41527,1565
1,23834,41889,1575
1.01,24149,42404,1594
1.02,24522,43001,1609
1.03,24689,43286,1623
1.04,24911,43700,1645
1.05,25145,44106,1654
1.06,25411,44576,1684
1.07,25583,44880,1699
1.08,25798,45265,1711
1.09,26042,45705,1725
1.1,26318,46157,1740
1.11,26525,46540,1747
1.12,26737,46886,1759
1.13,27031,47391,1778
1.14,27348,47931,1804
1.15,27516,48244,1810
1.16,27727,48650,1821
1.17,27958,49039,1840
1.18,28218,49489,1865
1.19,28446,49900,1889
1.2,28687,50326,1904
1.21,28981,50847,1927
1.22,29211,51268,1945
1.23,29481,51742,1958
1.24,29744,52194,1971
1.25,29996,52615,1987
1.26,30230,53012,2003
1.27,30480,53432,2021
1.28,30729,53831,2030
1.29,30970,54259,2048
1.3,31209,54757,2069
1.31,31445,55209,2083
1.32,31619,55520,2089
1.33,31814,55916,2102
1.34,32013,56284,2118
1.35,32278,56724,2129
