t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,LineLumped_line_1_2_i12a,LineLumped_line_1_2_i12b,LineLumped_line_1_2_i12c
5.0000000000000001e-03,-1.2823290075156878e+05,2.7540941344287567e+05,-1.7846025793703977e+05,-4.5138608546336225e+04,2.6191084979231487e+05,-2.1530834835275638e+05,-1.9673637712858445e+02,5.2619403594974779e+02,-3.2994244759895668e+02
5.4999999999999997e-03,-9.9356848684379074e+04,2.7390380603609065e+05,-1.4929185104957555e+05,-1.0788683320566145e+05,2.8737054085822485e+05,-1.8235525291090371e+05,-2.1216566408472528e+02,5.8270918411734090e+02,-3.6782793496771706e+02
6.0000000000000001e-03,-1.6815083289187975e+05,2.9552113346718223e+05,-1.3258477256571336e+05,-1.6074142966310232e+05,2.7574940797383431e+05,-1.1751847202122063e+05,-4.1022866605861589e+02,5.6494384043909884e+02,-1.6767629087505486e+02
6.5000000000000006e-03,-2.3700979840978794e+05,2.5140695086448774e+05,-2.9504032074516716e+04,-1.8469267703687941e+05,2.7724514460397570e+05,-9.0925846501976601e+04,-3.9886026312341897e+02,5.0989171857213898e+02,-1.0332648800198393e+02
7.0000000000000001e-03,-2.1153050031326842e+05,2.5905405968646446e+05,-2.7266940408660750e+04,-2.3682505831068303e+05,2.5623064203888222e+05,-2.1399742022449089e+04,-4.8749717175426770e+02,5.1215476860054741e+02,-2.3638160257859514e+01
7.4999999999999997e-03,-2.8409835015791643e+05,2.1664197306552916e+05,5.7120734343101707e+04,-2.5301844937283895e+05,2.2543186039889869e+05,2.7349346069424209e+04,-5.5397384830325052e+02,3.9040059282864274e+02,1.6145174159515904e+02
8.0000000000000002e-03,-2.7871074187783891e+05,1.6895466111531714e+05,1.0316905626469936e+05,-2.6963109483116644e+05,1.9906568822584642e+05,7.2838827117918874e+04,-5.2407337303410895e+02,3.5503315618914786e+02,1.7901863531234125e+02
8.5000000000000006e-03,-2.6819982765756146e+05,1.5085223681530100e+05,1.3269303697043122e+05,-2.8521302295721776e+05,1.4739655233074728e+05,1.3722331379955431e+05,-5.7576778115843592e+02,2.4450749992982770e+02,3.3675897366904633e+02
9.0000000000000011e-03,-2.9317222082009650e+05,7.4286232968687880e+04,2.0799808466975958e+05,-2.7313546665149566e+05,1.0714144356077489e+05,1.6741202302188153e+05,-5.3835601090154262e+02,1.3514065698180295e+02,4.0587115681155922e+02
9.4999999999999998e-03,-2.5022534569879537e+05,3.7800157262391564e+04,2.0905445874722360e+05,-2.6680182955377735e+05,5.3767580397185739e+04,2.1631149081458160e+05,-4.9295662254776749e+02,5.7202158865383957e+01,4.4941120688315601e+02
1.0000000000000000e-02,-2.3299562929815718e+05,-1.3727901828368802e+04,2.6157226165632426e+05,-2.4516693058148725e+05,-1.1282636840266978e+03,2.4637465880057757e+05,-4.6795709574656166e+02,-8.1922159519633169e+01,5.5698198932949094e+02
1.0500000000000001e-02,-2.1010872609733080e+05,-7.9452035677946784e+04,2.7468740530387551e+05,-2.1027723768849965e+05,-4.9882678129883898e+04,2.6321809994334122e+05,-3.7097479052473977e+02,-1.6282117972074383e+02,5.3867014726141804e+02
1.0999999999999999e-02,-1.5047582066291393e+05,-1.1580681145234731e+05,2.6954077435487189e+05,-1.7826662412003599e+05,-1.0502708181968104e+05,2.8661657670124463e+05,-3.0036582631226673e+02,-2.7153204595063431e+02,5.8808675890861889e+02
1.1500000000000000e-02,-1.1806475906504630e+05,-1.6725827863962686e+05,2.9648735434307455e+05,-1.3041583332791006e+05,-1.4992663703607704e+05,2.8076072571857268e+05,-2.1368715272236176e+02,-3.6219982243916098e+02,5.7950607151095210e+02
1.2000000000000000e-02,-6.5259673095087557e+04,-2.0984127810118880e+05,2.5795965527032877e+05,-8.1940585427098631e+04,-1.9305875659881817e+05,2.7903136987549282e+05,-9.3781584323125742e+01,-4.3114144056062645e+02,5.3226873077266646e+02
1.2500000000000001e-02,-4.9552086369847957e+03,-2.3700321673060904e+05,2.5310823065768898e+05,-3.3058917726295236e+04,-2.2804451529712154e+05,2.6329462120941584e+05,-9.0137949361592753e+00,-5.0025108829359482e+02,5.2225579558079869e+02
1.3000000000000001e-02,3.7640905011438357e+04,-2.6203066397599748e+05,2.2738169493409037e+05,2.3598696308296589e+04,-2.5535621916568509e+05,2.3244574379942546e+05,1.0601775958162172e+02,-5.3630179105379659e+02,4.2940335156344236e+02
1.3500000000000000e-02,9.6125360146705076e+04,-2.8185248298897827e+05,1.7217556098007364e+05,7.2490772909307561e+04,-2.7359780904057459e+05,2.0474778727228352e+05,2.0915842479002447e+02,-5.6760877890870006e+02,3.6606139853315580e+02
1.4000000000000000e-02,1.4310051174660408e+05,-2.7955345791697345e+05,1.5095506895931999e+05,1.2297381467472226e+05,-2.8124193767270766e+05,1.5885234756151101e+05,2.9063825158380553e+02,-5.6445294330137460e+02,2.7927155735615355e+02
1.4500000000000001e-02,1.8400152890498922e+05,-2.7688789834867197e+05,8.8537527369131247e+04,1.6894186385964672e+05,-2.8148232308431237e+05,1.1307254307591892e+05,3.8873662304842759e+02,-5.5464256623934205e+02,1.6155609466188091e+02
1.4999999999999999e-02,2.2331900092305065e+05,-2.6727408948238054e+05,3.6731853217724878e+04,2.0572555330720710e+05,-2.6776592529562197e+05,6.4211823716514271e+04,4.4694103100643747e+02,-5.1745793491059726e+02,7.4727905393532197e+01
1.5500000000000000e-02,2.5029914652498972e+05,-2.3235384559402094e+05,-4.6973429636886822e+03,2.4001795427437354e+05,-2.4846970071237857e+05,7.4387479067317727e+03,5.0403518303951603e+02,-4.5904624045371850e+02,-4.7298547813141177e+01
1.6000000000000000e-02,2.7190257409740239e+05,-2.0842852225261388e+05,-7.1696987731031943e+04,2.6138708947573008e+05,-2.1850569071947070e+05,-4.3039480057181856e+04,5.4403030579531401e+02,-3.9866276545041092e+02,-1.5279506978814973e+02
1.6500000000000001e-02,2.7918042599240836e+05,-1.6725444307693464e+05,-1.1378053840165160e+05,2.7602185920401313e+05,-1.7956236694246894e+05,-9.6087641064435855e+04,5.5109553536065619e+02,-3.0404793987741175e+02,-2.4762455901157287e+02
1.7000000000000001e-02,2.8323499793946586e+05,-1.1417840145631044e+05,-1.5865629650034438e+05,2.8096044128959673e+05,-1.3793193540297495e+05,-1.4545101688384279e+05,5.5829718405958943e+02,-2.1516887614329082e+02,-3.5137786165741676e+02
1.7500000000000002e-02,2.7150713552893425e+05,-7.4420676589352704e+04,-2.0705647048788090e+05,2.7346858730052068e+05,-8.7361127125722109e+04,-1.8705481528601985e+05,5.2807922797736660e+02,-1.1343519812895242e+02,-4.2437538019631120e+02
1.8000000000000002e-02,2.5013524105430063e+05,-1.5231747190964905e+04,-2.3257164055319349e+05,2.6010749527176682e+05,-3.5992169333529208e+04,-2.2535015038911888e+05,4.8848926908658927e+02,-4.2864357833534933e-01,-4.9210015199693981e+02
1.8499999999999999e-02,2.2818902533239702e+05,3.8998721674094006e+04,-2.6018324724590333e+05,2.3393523287899367e+05,1.6302956466734908e+04,-2.5358154384984818e+05,4.3322954005644783e+02,9.8573012421144398e+01,-5.4364634639650637e+02
1.9000000000000000e-02,1.8465558930488999e+05,8.3954900329223732e+04,-2.7913465448281571e+05,2.0136415373168030e+05,7.0222834523775033e+04,-2.7295610223886115e+05,3.5162531723499814e+02,2.0625147869846154e+02,-5.6751330724321633e+02
1.9500000000000000e-02,1.4575232257699250e+05,1.3990271266347377e+05,-2.7971996449338482e+05,1.6223101832316373e+05,1.1935409208260724e+05,-2.8391947026198579e+05,2.7280148403816901e+02,3.0222338517391034e+02,-5.8034218279992308e+02
2.0000000000000000e-02,1.0002022578985691e+05,1.8156458613852516e+05,-2.7884156618638511e+05,1.1469893842553014e+05,1.6522409257852126e+05,-2.8333570261020382e+05,1.7139582941506546e+02,3.8415107499729390e+02,-5.6789742516191893e+02
2.0500000000000001e-02,4.1310638169192549e+04,2.1538569338949904e+05,-2.6603676950082509e+05,6.6473763362782163e+04,2.0581086490537718e+05,-2.7354537429819902e+05,6.9285667637245169e+01,4.5866956433555890e+02,-5.3449347960716807e+02
2.1000000000000001e-02,-3.8609804392336705e+03,2.5121600910550141e+05,-2.3907413317434830e+05,1.3463747419421306e+04,2.3795573349673467e+05,-2.5408159763907845e+05,-3.1488066225761425e+01,5.1335864567710303e+02,-4.8642208560466224e+02
2.1500000000000002e-02,-6.0274149096128473e+04,2.6875437043041713e+05,-2.1022399372571104e+05,-3.9616448103117102e+04,2.6218619460713147e+05,-2.2512133030697977e+05,-1.4143288885960396e+02,5.4877896148674552e+02,-4.1668683421744947e+02
2.1999999999999999e-02,-1.1353150952776484e+05,2.7833639486481214e+05,-1.7117805582833602e+05,-8.9721219169208489e+04,2.7774277716573194e+05,-1.8868835415632281e+05,-2.3505783322974023e+02,5.6816168378302177e+02,-3.3455463898306493e+02
2.2499999999999999e-02,-1.5356996115399501e+05,2.8530560223367298e+05,-1.2312320756790545e+05,-1.3912664496649706e+05,2.8227372502241255e+05,-1.4527583484768783e+05,-3.2727833357563583e+02,5.6592120623910876e+02,-2.4064247311043113e+02
