omega,re_0,im_0,re_1,im_1,re_2,im_2
119.72362786514542,2.4615693925463534e-08,4.0382483299993074e-07,2.0780390638600072e-08,4.1115744238691414e-07,6.918587469410462e-08,6.396307981012071e-07
124.64643688076109,2.463098135037171e-08,4.203686524878045e-07,2.082445567674889e-08,4.280200383927211e-07,7.237321905655698e-08,6.644061063787556e-07
129.77166248729,2.4647470663459914e-08,4.3759448789799173e-07,2.0872274778228045e-08,4.455766247498634e-07,7.57342422642798e-08,6.901136429316652e-07
135.10762767190218,2.4664127348611083e-08,4.5553081637325915e-07,2.0923189394813093e-08,4.638563649282868e-07,7.927826830502714e-08,7.167890895221206e-07
140.6629976472495,2.4682077981481865e-08,4.742068163879787e-07,2.0978410023631246e-08,4.828887184055979e-07,8.301519187658217e-08,7.44463543175303e-07
146.44679392313063,2.4700726602544463e-08,4.93652230192299e-07,2.1037545762117547e-08,5.027041940004695e-07,8.695527016232906e-08,7.731742744264404e-07
152.46840895675493,2.4720782492941127e-08,5.138997399850198e-07,2.110175730868352e-08,5.23335634836914e-07,9.11090569439163e-08,8.029533412819731e-07
158.73762140539807,2.4741980401778297e-08,5.349811078228415e-07,2.1170836645319243e-08,5.448156523360353e-07,9.548780238916926e-08,8.338402628865048e-07
165.26461200621813,2.476456207359786e-08,5.569309047120162e-07,2.1245394227284323e-08,5.6717927127804e-07,1.0010300941178647e-07,8.658716238375269e-07
172.05998010901936,2.4788637888826636e-08,5.79784975180619e-07,2.1325914030090208e-08,5.904628743146202e-07,1.0496662777288067e-07,8.990856207446394e-07
179.13476088881166,2.4814307889094223e-08,6.035804124505615e-07,2.1412862224780303e-08,6.147041390046538e-07,1.1009101375798518e-07,9.335216762026104e-07
186.50044326611896,2.484188748032318e-08,6.283550979993151e-07,2.1506713494929745e-08,6.399416281313525e-07,1.1548908428348025e-07,9.692213541511134e-07
194.16898856413573,2.4872316746059014e-08,6.541471781206588e-07,2.1608115504734295e-08,6.662142387259225e-07,1.2117449533968763e-07,1.0062290386430232e-06
202.1528499330308,2.4902004775291604e-08,6.810099244756879e-07,2.1717612002706874e-08,6.935748457213411e-07,1.2715814318803795e-07,1.0445704313479892e-06
210.46499257294212,2.493750496603309e-08,7.089677959780308e-07,2.183600563421879e-08,7.220501950538462e-07,1.3345820456312516e-07,1.0843169301445078e-06
219.11891478850168,2.497325812662593e-08,7.380815899603556e-07,2.1963447990449575e-08,7.517005814541348e-07,1.4008497680005104e-07,1.1254903975601025e-06
228.1286699090846,2.501374267947694e-08,7.683906692128806e-07,2.2101853818231873e-08,7.825661251159442e-07,1.4705518068847214e-07,1.1681479345035108e-06
237.5088891103756,2.5055145821339018e-08,7.999488616890966e-07,2.225033130990838e-08,8.147017612556456e-07,1.543811878180818e-07,1.2123286729607385e-06
247.2748051743158,2.5101007393276037e-08,8.328053619248747e-07,2.241154539593094e-08,8.481564533212476e-07,1.6207886954862221e-07,1.2580835228609224e-06
257.4422772260138,2.515032366716229e-08,8.670109381552058e-07,2.2584913250278267e-08,8.829828546119504e-07,1.701627575254894e-07,1.3054646675772653e-06
268.0278164877906,2.520351517794614e-08,9.026248146354032e-07,2.2772308974885347e-08,9.192398626594274e-07,1.7864679723588568e-07,1.354517056873806e-06
279.0486130921842,2.5260228204037557e-08,9.39704128447503e-07,2.2974508159845104e-08,9.56985301831041e-07,1.8754448208997113e-07,1.4052897638449172e-06
290.5225639974522,2.5321629977286227e-08,9.783071275449902e-07,2.3192503823263845e-08,9.962784708427096e-07,1.9687065641629053e-07,1.4578393145123005e-06
302.46830205090794,2.5387797619705425e-08,1.018497182507757e-06,2.3427557588614862e-08,1.0371831703220796e-06,2.0663833844410206e-07,1.512217491618246e-06
314.9052262472862,2.5459028096076898e-08,1.0603407334062297e-06,2.3680889959078148e-08,1.0797664260489348e-06,2.168604262902987e-07,1.5684792304355701e-06
327.85353323127407,2.5535785613769446e-08,1.1039026382748425e-06,2.3953816782599192e-08,1.1240936812154174e-06,2.2754863172094424e-07,1.6266794701453243e-06
341.33425009536967,2.561853487388819e-08,1.149255165549738e-06,2.4247781318789994e-08,1.1702377491636735e-06,2.387141392500099e-07,1.6868764790692193e-06
355.3692685263229,2.5707533649739725e-08,1.1964727408213404e-06,2.4564155110584023e-08,1.2182735533951772e-06,2.503669981518323e-07,1.7491299055958424e-06
369.9813803556156,2.5803446292753618e-08,1.245628258632028e-06,2.4904563359060092e-08,1.2682744945984049e-06,2.6251535227336466e-07,1.8134997763270446e-06
385.19431457170947,2.5906026295459848e-08,1.2968087824844327e-06,2.52701722234145e-08,1.3203280141142934e-06,2.75167733225104e-07,1.8800521385087301e-06
401.03277585416777,2.601727418334666e-08,1.3500859709193288e-06,2.566362680408054e-08,1.3745061935435208e-06,2.883276369765055e-07,1.948847010639203e-06
417.522484692226,2.6136585002693698e-08,1.4055540999137971e-06,2.608593339287418e-08,1.4309035872566691e-06,3.020000535679465e-07,2.0199559429180298e-06
434.69021915296497,2.626445471914286e-08,1.4633015926903629e-06,2.653885687584812e-08,1.4896088841360377e-06,3.161861907084642e-07,2.0934515905029833e-06
452.5638583669095,2.6402818560331157e-08,1.523418037763749e-06,2.702519177341183e-08,1.5507117854481591e-06,3.3088480702472524e-07,2.169396875810788e-06
471.17242780167385,2.6550216794759406e-08,1.5860060153070404e-06,2.7545463750431015e-08,1.6143150482543302e-06,3.460935229701169e-07,2.2478865633651624e-06
490.5461463971736,2.670873839862257e-08,1.6511629512263652e-06,2.810263822712405e-08,1.6805160174864474e-06,3.618059781230314e-07,2.3289894320841255e-06
510.7164756389469,2.6878826888383408e-08,1.71899500537133e-06,2.8698585121578187e-08,1.7494207286136004e-06,3.780135542390559e-07,2.412791830601238e-06
531.7161706492817,2.7061200316022058e-08,1.789611888379115e-06,2.933537075119576e-08,1.8211386471328598e-06,3.9470471359248367e-07,2.499382923266329e-06
553.5793333791087,2.7255257581945024e-08,1.8631260606021387e-06,3.001412502723047e-08,1.8957822310097052e-06,4.118673907898419e-07,2.5888813084092154e-06
576.3414679870473,2.7464476251445853e-08,1.9396589113703016e-06,3.073882924104198e-08,1.9734717189480128e-06,4.2947962718438677e-07,2.6813407640078415e-06
600.0395384955322,2.7686464701229367e-08,2.0193305841280086e-06,3.150929435164597e-08,2.0543274422788473e-06,4.4752626997059865e-07,2.776922261311149e-06
624.7120288176508,2.7924705826515704e-08,2.1022728113136825e-06,3.2329424556085535e-08,2.138479703284509e-06,4.659797173349287e-07,2.875693740440979e-06
650.3990052521697,2.817716133497437e-08,2.1886150186674e-06,3.319911778604731e-08,2.226057905712823e-06,4.848175619598146e-07,2.9778291367586505e-06
677.1421815482412,2.8446300572627044e-08,2.2784992463553412e-06,3.412140914773494e-08,2.3172025454342342e-06,5.040088609315336e-07,3.0834260676516248e-06
704.9849866454446,2.872317302951095e-08,2.372052023018465e-06,3.509094182188277e-08,2.412042596988081e-06,5.235321817803486e-07,3.192833187374305e-06
733.9726351991704,2.9038542730592525e-08,2.4694793392978214e-06,3.613087886517207e-08,2.510771997500611e-06,5.433225449132018e-07,3.305553431234512e-06
764.1522010058766,2.93634131651846e-08,2.570884741231387e-06,3.722121249230295e-08,2.6135032264162897e-06,5.633760996956186e-07,3.422372985699176e-06
795.5726934474478,2.9706365288891795e-08,2.6764446722249027e-06,3.836861095578949e-08,2.7204088728011477e-06,5.836465156889931e-07,3.543303410098382e-06
828.2851370788098,3.006916707598005e-08,2.786331534430715e-06,3.9574754162087374e-08,2.831659232757112e-06,6.04094310506911e-07,3.668496462351976e-06
862.3426544880288,3.045246593953227e-08,2.900722427206544e-06,4.084021887211151e-08,2.947429746194963e-06,6.246803740654188e-07,3.79814155594601e-06
897.8005525634636,3.085664326716944e-08,3.0198010116580826e-06,4.2165101238608324e-08,3.0679024841451035e-06,6.453651002612299e-07,3.932444792973769e-06
