omega,Overhead_Tv_real_0_0,Overhead_Tv_imag_0_0,Overhead_Tv_real_0_1,Overhead_Tv_imag_0_1,Overhead_Tv_real_0_2,Overhead_Tv_imag_0_2,Overhead_Tv_real_1_0,Overhead_Tv_imag_1_0,Overhead_Tv_real_1_1,Overhead_Tv_imag_1_1,Overhead_Tv_real_1_2,Overhead_Tv_imag_1_2,Overhead_Tv_real_2_0,Overhead_Tv_imag_2_0,Overhead_Tv_real_2_1,Overhead_Tv_imag_2_1,Overhead_Tv_real_2_2,Overhead_Tv_imag_2_2,Overhead_Ti_real_0_0,Overhead_Ti_imag_0_0,Overhead_Ti_real_0_1,Overhead_Ti_imag_0_1,Overhead_Ti_real_0_2,Overhead_Ti_imag_0_2,Overhead_Ti_real_1_0,Overhead_Ti_imag_1_0,Overhead_Ti_real_1_1,Overhead_Ti_imag_1_1,Overhead_Ti_real_1_2,Overhead_Ti_imag_1_2,Overhead_Ti_real_2_0,Overhead_Ti_imag_2_0,Overhead_Ti_real_2_1,Overhead_Ti_imag_2_1,Overhead_Ti_real_2_2,Overhead_Ti_imag_2_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
3.7859935379226162e+05,-3.7826784471142944e-01,-5.4457272101551546e-03,-7.0710678118652481e-01,1.3211653993039363e-14,5.7521631359612491e-01,-5.1454843692950473e-03,8.4484427699509901e-01,2.3897811012176251e-03,-5.4880815433467803e-14,-3.8597291213242529e-14,5.8154710814167077e-01,-1.5473005656451823e-03,-3.7826784471137981e-01,-5.4457272101246790e-03,7.0710678118657011e-01,2.1871393585115584e-14,5.7521631359612424e-01,-5.1454843692926456e-03,-4.1187882959981048e-01,-8.6784476337833059e-04,-7.0710678118653292e-01,-1.2160578657782299e-14,5.9835636638932099e-01,-2.0238149050626824e-03,8.1479296520437616e-01,6.8374503441766413e-03,-2.8497178125110558e-14,1.8226565502798385e-14,5.3580885786557919e-01,-8.0104625171372682e-03,-4.1187882959972050e-01,-8.6784476344265566e-04,7.0710678118656223e-01,-3.5004803002214644e-15,5.9835636638932399e-01,-2.0238149050627340e-03,1.0763870526096641e-03,1.0802202826048490e-03,1.1119830573237341e-03,5.8394201387514377e-01,7.1741086477142368e-01,3.4616378923167962e-01,-2.1879430456785323e-01,4.2071218159402135e-05,-9.5313289173514955e-07
3.9416664276761853e+05,-3.7836014562502857e-01,-5.4026599063470571e-03,-7.0710678118655967e-01,-1.7430501486614958e-14,5.7518054591964962e-01,-5.1278585549740241e-03,8.4476205017675277e-01,2.4293040527857968e-03,5.3361222641682811e-14,4.7267799737779380e-14,5.8161807698230739e-01,-1.5817243254342471e-03,-3.7836014562512776e-01,-5.4026599064048442e-03,7.0710678118653569e-01,-8.7707618945387367e-15,5.7518054591963974e-01,-5.1278585549817029e-03,-4.1192718338367940e-01,-8.9227041986200944e-04,-7.0710678118657211e-01,9.1765102961498969e-15,5.9829532158111376e-01,-2.0516529627396416e-03,8.1473848221430245e-01,6.8126324089263545e-03,6.1155101265732662e-14,-3.5779708536988172e-14,5.3593713476093852e-01,-7.9493929263773858e-03,-4.1192718338375534e-01,-8.9227041979282693e-04,7.0710678118652281e-01,1.7836439801609781e-14,5.9829532158109400e-01,-2.0516529627254551e-03,1.0763848939561568e-03,1.0801567541318551e-03,1.1113290410491874e-03,-9.1219040548655472e-01,1.4721978549897780e-01,3.0135337917169158e-02,3.9597942746790982e-01,-6.4563502413572581e-06,3.1312986576461396e-05
4.1037402920646779e+05,-3.7845098721356668e-01,-5.3587240966756489e-03,-7.0710678118650727e-01,1.3156142841808105e-14,5.7514534805825290e-01,-5.1099061941863311e-03,8.4468110540704566e-01,2.4695900146436967e-03,-1.1996845390579454e-13,-6.9774568013957764e-14,5.8168790677314275e-01,-1.6168008994670762e-03,-3.7845098721324694e-01,-5.3587240965101146e-03,7.0710678118658810e-01,2.1815882433884326e-14,5.7514534805825857e-01,-5.1099061941770520e-03,-4.1197475450089116e-01,-9.1712096153172154e-04,-7.0710678118645653e-01,-4.8410820716417773e-14,5.9823521996320728e-01,-2.0800866237950587e-03,8.1468485504214350e-01,6.7872774329245621e-03,-1.8715502107510508e-13,9.7373945037254261e-14,5.3606337474580845e-01,-7.8871420820222152e-03,-4.1197475450070514e-01,-9.1712096163123103e-04,7.0710678118663828e-01,-3.9750790814719757e-14,5.9823521996322915e-01,-2.0800866238194680e-03,1.0763825605431664e-03,1.0800934564349802e-03,1.1106846644100814e-03,-2.9529474903478087e-01,-8.7441446763018738e-01,-3.7002707765327209e-01,1.0549785595150236e-01,-2.3292908749672836e-05,6.3264446278559483e-06
4.2724783270520350e+05,-3.7854034434031014e-01,-5.3139666817003939e-03,-7.0710678118660242e-01,-2.3370194668359545e-14,5.7511072935237795e-01,-5.0916443056659476e-03,8.4460146568138517e-01,2.5105971808946359e-03,2.0255293680311506e-13,1.0428206776687021e-13,5.8175657928324320e-01,-1.6524965247298011e-03,-3.7854034434070505e-01,-5.3139666819461973e-03,7.0710678118649284e-01,-1.4599432773820809e-14,5.7511072935235696e-01,-5.0916443056832263e-03,-4.1202153111843115e-01,-9.4237330035466642e-04,-7.0710678118665371e-01,5.9624836868530015e-14,5.9817607936262074e-01,-2.1090850707764018e-03,8.1463209900275158e-01,6.7614111900188645e-03,2.3653442890070567e-13,-1.4636941619130979e-13,5.3618754365269017e-01,-7.8237753804848882e-03,-4.1202153111872936e-01,-9.4237330021448504e-04,7.0710678118644099e-01,6.8395963664015203e-14,5.9817607936256090e-01,-2.1090850707275325e-03,1.0763805058320414e-03,1.0800308629586258e-03,1.1100503528894520e-03,3.2653486487458716e-01,-8.6205709097171479e-01,-3.4682167255694890e-01,-1.3582758108411247e-01,-1.7987639586048863e-05,-2.0573925058433435e-06
4.4481545507221454e+05,-3.7862815673370764e-01,-5.2682849109534913e-03,-7.0710678118655812e-01,4.3298697960381105e-15,5.7507671441123931e-01,-5.0730343923169902e-03,8.4452318699357032e-01,2.5524175257536363e-03,3.7397461096002788e-14,-1.0925110391105442e-15,5.8182404675934285e-01,-1.6888873937820756e-03,-3.7862815673378891e-01,-5.2682849109483010e-03,7.0710678118653703e-01,1.3156142841808105e-14,5.7507671441124786e-01,-5.0730343923148565e-03,-4.1206747988941062e-01,-9.6807928772934941e-04,-7.0710678118657488e-01,-5.0650163960094685e-15,5.9811793995470863e-01,-2.1387165206417581e-03,8.1458024974412180e-01,6.7349749702473307e-03,4.3570065728474296e-14,4.2331164647802134e-15,5.3630955675216341e-01,-7.7591500305356203e-03,-4.1206747988946596e-01,-9.6807928774118304e-04,7.0710678118652015e-01,3.7611036744609465e-15,5.9811793995469809e-01,-2.1387165206274493e-03,1.0763777222981925e-03,1.0799679620114079e-03,1.1094249573991451e-03,2.7509943043772822e-01,-8.7862533682345900e-01,-3.4647413605462180e-01,-9.8593934684470155e-02,-1.3039538212608561e-05,3.4593148976191038e-06
4.6310542482639855e+05,-3.7871441179602455e-01,-5.2217201800871527e-03,-7.0710678118652015e-01,9.3258734068513149e-15,5.7504330841197326e-01,-5.0540926345735348e-03,8.4444628116512255e-01,2.5950143113984137e-03,-1.1224544033662048e-13,-7.2450774516632664e-14,5.8189029921708724e-01,-1.7259413469830752e-03,-3.7871441179579174e-01,-5.2217201799912849e-03,7.0710678118657488e-01,1.8263168755083825e-14,5.7504330841199280e-01,-5.0540926345559204e-03,-4.1211259455968569e-01,-9.9421692783203865e-04,-7.0710678118648773e-01,-2.4762575064712668e-14,5.9806081126545707e-01,-2.1689537997641533e-03,8.1452931616037638e-01,6.7079932775763636e-03,-1.4193635826501078e-13,6.0897507971723532e-14,5.3642939730113481e-01,-7.6933236855859320e-03,-4.1211259455952365e-01,-9.9421692793043325e-04,7.0710678118660719e-01,-1.5825234968307627e-14,5.9806081126549515e-01,-2.1689537997968350e-03,1.0763753875557781e-03,1.0799059458393159e-03,1.1088095622322337e-03,-4.6709376459667207e-01,-7.9202557958102737e-01,-2.8784296056358888e-01,1.9568827739945149e-01,-1.5382506957415480e-06,9.8655821968586003e-06
4.8214744352536264e+05,-3.7879909885365276e-01,-5.1742513272740598e-03,-7.0710678118653991e-01,4.9960036108132044e-16,5.7501051538823666e-01,-5.0348097111930301e-03,8.4437075889130864e-01,2.6384069119402276e-03,-1.2091429880343036e-14,-5.5270756670780914e-15,5.8195532922468229e-01,-1.7636766248412717e-03,-3.7879909885366353e-01,-5.1742513272874102e-03,7.0710678118655546e-01,9.5479180117763462e-15,5.7501051538824344e-01,-5.0348097111903509e-03,-4.1215687020406072e-01,-1.0207989666888690e-03,-7.0710678118655323e-01,5.0229353017637182e-16,5.9800470126834393e-01,-2.1998108546326242e-03,8.1447930453038087e-01,6.6804526036934068e-03,3.9252311467094891e-15,-6.5882551528050596e-15,5.3654705066095232e-01,-7.6262666162088787e-03,-4.1215687020403780e-01,-1.0207989667009559e-03,7.0710678118654158e-01,9.5505914269663520e-15,5.9800470126834004e-01,-2.1998108546284032e-03,1.0763743152417120e-03,1.0798456427820121e-03,1.1082049400233040e-03,-7.5353270228823066e-01,5.2479459355503233e-01,2.1931910998211585e-01,2.5452709112914851e-01,7.1159395851335015e-06,-1.7975121012701852e-06
5.0197243399855646e+05,-3.7888222123986637e-01,-5.1261853721259187e-03,-7.0710678118651837e-01,-8.4376949871511897e-15,5.7497833058588987e-01,-5.0153079937342079e-03,8.4429661521362109e-01,2.6823203844124066e-03,-1.9801582420983111e-13,-1.2072774870595050e-13,5.8201914523268250e-01,-1.8018511137996888e-03,-3.7888222123977461e-01,-5.1261853720246942e-03,7.0710678118657699e-01,6.6613381477509392e-16,5.7497833058585812e-01,-5.0153079937571236e-03,-4.1220031544059477e-01,-1.0476592220930495e-03,-7.0710678118650727e-01,-4.3727355434612361e-14,5.9794961049160544e-01,-2.2310852755761529e-03,8.1443021346294520e-01,6.6525368104136231e-03,-4.1450440909252602e-14,4.8997924423526080e-14,5.3666252501314282e-01,-7.5584068888902463e-03,-4.1220031544033148e-01,-1.0476592222256214e-03,7.0710678118658765e-01,-3.4623324840527612e-14,5.9794961049170481e-01,-2.2310852756762833e-03,1.0763698396244340e-03,1.0797824211347456e-03,1.1076062395612800e-03,9.1603443313743715e-01,4.2119722700451764e-02,-3.1146710199146797e-02,-3.2250995749035111e-01,-5.3425594973902207e-06,-3.9660822053996620e-07
5.2261259056365868e+05,-3.7896407855200454e-01,-5.0775426687196257e-03,-7.0710678118654835e-01,-8.9372953482325102e-15,5.7494664143334062e-01,-4.9955886686513865e-03,8.4422358196522895e-01,2.7267396598836813e-03,1.6936567768831135e-14,2.4398674880863955e-14,5.8208197008664952e-01,-1.8404610267979751e-03,-3.7896407855197878e-01,-5.0775426687195424e-03,7.0710678118654691e-01,2.2204460492503131e-16,5.7494664143334440e-01,-4.9955886686484105e-03,-4.1224308314340019e-01,-1.0747980734476942e-03,-7.0710678118654147e-01,-3.3203223559636771e-15,5.9789534180180415e-01,-2.2627616508650076e-03,8.1438187361686609e-01,6.6242538571347018e-03,-1.6328961570311118e-14,1.0769852958781316e-15,5.3677623836512434e-01,-7.4897693742498172e-03,-4.1224308314342079e-01,-1.0747980734146733e-03,7.0710678118655323e-01,5.8395234395746242e-15,5.9789534180179282e-01,-2.2627616508536811e-03,1.0763690701146545e-03,1.0797235130803637e-03,1.1070212041079627e-03,-9.0107904501713854e-01,1.6298527241671895e-01,1.1032293992098902e-01,2.9201612878199529e-01,3.4262351530847302e-06,-1.8282659793589640e-06
5.4410143130776740e+05,-3.7904403943124276e-01,-5.0278720575186869e-03,-7.0710678118653814e-01,-5.4400928206632670e-15,5.7491569386463492e-01,-4.9754838372332681e-03,8.4415223094381775e-01,2.7720643932060973e-03,-1.8047843569713957e-14,-1.4718952506609489e-15,5.8214332016858961e-01,-1.8798405670739612e-03,-3.7904403943126291e-01,-5.0278720574798569e-03,7.0710678118655679e-01,3.8857805861880479e-15,5.7491569386463059e-01,-4.9754838372365077e-03,-4.1228483860295057e-01,-1.1024400778672184e-03,-7.0710678118655157e-01,-1.7375377507520568e-14,5.9784231093745877e-01,-2.2951411658592518e-03,8.1433464841302228e-01,6.5953415008900892e-03,1.3110272030009405e-14,2.1201154731164371e-14,5.3688730653917827e-01,-7.4197307568890456e-03,-4.1228483860291887e-01,-1.1024400778678095e-03,7.0710678118654358e-01,-8.0487739518731243e-15,5.9784231093745666e-01,-2.2951411658618127e-03,1.0763667683502042e-03,1.0796634754571325e-03,1.1064435128815909e-03,2.3004623012299352e-01,-8.8492921923712009e-01,-3.0028571002034743e-01,-9.4272303135634894e-03,1.0946189049605185e-06,2.5710358787679831e-06
