omega,re_0,im_0,re_1,im_1,re_2,im_2
106.09132375560732,2.452995888460051e-08,3.5810690402846265e-07,2.0557541557198e-08,3.641076740993963e-07,6.040107277087289e-08,5.697581560545746e-07
110.453598223693,2.4544584637601754e-08,3.7276272992907323e-07,2.0591025394484565e-08,3.7903104829380075e-07,6.310640607567568e-08,5.918867005229579e-07
114.9952411628399,2.4558782333704066e-08,3.88025457112569e-07,2.062612255980071e-08,3.945714211992299e-07,6.595877994182296e-08,6.148577840259519e-07
119.72362786514542,2.4574471984588153e-08,4.039161417869012e-07,2.066456966986194e-08,4.107500216203374e-07,6.896620333878626e-08,6.38695568683693e-07
124.64643688076109,2.459016124132266e-08,4.20463967992795e-07,2.070527128672841e-08,4.2759669864406996e-07,7.213718223527493e-08,6.634361978468618e-07
129.77166248729,2.4607010596468015e-08,4.376933415611596e-07,2.0749391644116664e-08,4.451361190102621e-07,7.548051481128453e-08,6.891076085531346e-07
135.10762767190218,2.462406586427761e-08,4.556351475102821e-07,2.0796307051686343e-08,4.633998074589808e-07,7.900578057676658e-08,7.157469301049189e-07
140.6629976472495,2.4642795429860057e-08,4.743154585213237e-07,2.0847481101372512e-08,4.824140606981159e-07,8.272238676624718e-08,7.433826156987647e-07
146.44679392313063,2.4662196524312497e-08,4.937658716429048e-07,2.0902222651978824e-08,5.022112082292751e-07,8.664063722702539e-08,7.720532575759146e-07
152.46840895675493,2.4683176452758757e-08,5.140164070964651e-07,2.0961607776221463e-08,5.228215938185293e-07,9.077089583287747e-08,8.017911428506075e-07
158.73762140539807,2.470496922425236e-08,5.351033377706729e-07,2.1025211733069805e-08,5.442821152681541e-07,9.512451859632866e-08,8.326370916787163e-07
165.26461200621813,2.4728461548231728e-08,5.570581825862318e-07,2.1094073980422022e-08,5.666247395764119e-07,9.971269102127334e-08,8.64625292892324e-07
172.05998010901936,2.4753554901352523e-08,5.799175004032125e-07,2.1168415409608465e-08,5.898865767131498e-07,1.0454733727500412e-07,8.977953397056922e-07
179.13476088881166,2.4780352431224722e-08,6.037178986722747e-07,2.124862756821203e-08,6.141048222922783e-07,1.0964068999155697e-07,9.321867480056762e-07
186.50044326611896,2.4809075987745235e-08,6.284984828554841e-07,2.133526639157693e-08,6.393191031936657e-07,1.150054165203081e-07,9.678399553075232e-07
194.16898856413573,2.4839859176414855e-08,6.542990205133902e-07,2.1428802425248166e-08,6.655697940138828e-07,1.2065450901912286e-07,1.0047964593294842e-06
202.1528499330308,2.487292206400327e-08,6.81161866060469e-07,2.1529848768319624e-08,6.92899792595622e-07,1.266013212222803e-07,1.0430987536939682e-06
210.46499257294212,2.4908427765153754e-08,7.091296776336822e-07,2.1638934651097274e-08,7.213524175082153e-07,1.328594702769736e-07,1.0827902438694468e-06
219.11891478850168,2.4946626105945367e-08,7.38248507099338e-07,2.1756788763129274e-08,7.509742387455032e-07,1.394427470084673e-07,1.1239154076904187e-06
228.1286699090846,2.498767571942247e-08,7.685654675583724e-07,2.1883983311977594e-08,7.81813086198275e-07,1.4636555162948195e-07,1.1665200634708415e-06
237.5088891103756,2.5031942191898213e-08,8.001302505078294e-07,2.2021496882991142e-08,8.139190478474881e-07,1.536417070625787e-07,1.2106505654473918e-06
247.2748051743158,2.5079445069269476e-08,8.329926578265152e-07,2.216959037417492e-08,8.473430418952893e-07,1.6128635010171858e-07,1.2563548189639e-06
257.4422772260138,2.513058584380271e-08,8.672064920677268e-07,2.2329400134807927e-08,8.821392112692398e-07,1.6931321590196837e-07,1.303681444114064e-06
268.0278164877906,2.518605419383259e-08,9.028294638957832e-07,2.2502763587287833e-08,9.18364997462898e-07,1.7773494783941591e-07,1.352679492305065e-06
279.0486130921842,2.5245451591252354e-08,9.399157341048822e-07,2.2689031010271372e-08,9.560766998574344e-07,1.865683051670246e-07,1.4034009861836935e-06
290.5225639974522,2.5309616775250743e-08,9.785270436668802e-07,2.2890089814480125e-08,9.953358862698371e-07,1.95825286945759e-07,1.4558981309455102e-06
302.46830205090794,2.537854638443154e-08,1.0187255006696052e-06,2.3106623406355912e-08,1.036205589267384e-06,2.055197329079409e-07,1.5102237236932056e-06
314.9052262472862,2.545304792578047e-08,1.0605773695903163e-06,2.3340535853308202e-08,1.0787519816206572e-06,2.1566320152911777e-07,1.5664325883718765e-06
327.85353323127407,2.5533061186126928e-08,1.1041485944975216e-06,2.3591992841982203e-08,1.1230425599796986e-06,2.262686160430652e-07,1.6245819186025053e-06
341.33425009536967,2.561941182344511e-08,1.1495113367784682e-06,2.386319643954124e-08,1.1691491827778654e-06,2.373459143448161e-07,1.6847284702840517e-06
355.3692685263229,2.571228733306713e-08,1.1967380178295123e-06,2.4154892991852846e-08,1.2171453588975756e-06,2.489054404200158e-07,1.7469325696719896e-06
369.9813803556156,2.5812297963764062e-08,1.24590532940962e-06,2.446880728534402e-08,1.2671079882348654e-06,2.6095532618401374e-07,1.8112551178226306e-06
385.19431457170947,2.5919862801515573e-08,1.2970923600705772e-06,2.4806218201748045e-08,1.3191168140984693e-06,2.735027312546268e-07,1.8777599370566122e-06
401.03277585416777,2.6035610791952245e-08,1.3503826491742722e-06,2.516886560905553e-08,1.3732556427148603e-06,2.865527379938365e-07,1.9465127114069506e-06
417.522484692226,2.6160064524817665e-08,1.4058622689092989e-06,2.555835165726963e-08,1.4296108917911684e-06,3.0010891106077136e-07,2.017581492689914e-06
434.69021915296497,2.629376783818319e-08,1.4636214088543363e-06,2.5976386765440167e-08,1.488272992745996e-06,3.1417257355380235e-07,2.091037306823419e-06
452.5638583669095,2.6437456238961018e-08,1.5237487507934447e-06,2.642429589895282e-08,1.5493314910594824e-06,3.287428019195006e-07,2.1669552478975133e-06
471.17242780167385,2.6591530000156724e-08,1.5863498694610556e-06,2.6904588187259453e-08,1.6128910482883776e-06,3.438163404537707e-07,2.2454120177268445e-06
490.5461463971736,2.6757121860446665e-08,1.651517440949822e-06,2.7418510000279238e-08,1.6790455246491302e-06,3.593873468723879e-07,2.3264899062488796e-06
510.7164756389469,2.693432988091939e-08,1.7193629841984244e-06,2.796822637437892e-08,1.7479056381195783e-06,3.754471235436523e-07,2.410275206371124e-06
531.7161706492817,2.712428171064826e-08,1.7899925375933353e-06,2.855552348046411e-08,1.819577780084481e-06,3.9198430232222344e-07,2.4968583722958343e-06
553.5793333791087,2.73276378413665e-08,1.8635207491682767e-06,2.9182338523978675e-08,1.8941763313691438e-06,4.089845692579738e-07,2.5863354714204355e-06
576.3414679870473,2.7545141345952993e-08,1.9400664590072886e-06,2.9850507640158106e-08,1.9718198879215343e-06,4.2643069700810634e-07,2.678809648572247e-06
600.0395384955322,2.7777501164121933e-08,2.0197526834488094e-06,3.056198862112067e-08,2.0526309856052056e-06,4.4430232088068183e-07,2.774387516677514e-06
624.7120288176508,2.802556714263712e-08,2.102708156999532e-06,3.131855870547287e-08,2.1367379418530732e-06,4.625764110385693e-07,2.873186004442521e-06
650.3990052521697,2.8290089956838456e-08,2.1890663706862285e-06,3.2121980669304565e-08,2.224273629884197e-06,4.812270167513838e-07,2.9753276826179444e-06
677.1421815482412,2.8571872679309364e-08,2.278966591375229e-06,3.297393933118969e-08,2.315376600383548e-06,5.002254574274125e-07,3.0809441341592547e-06
704.9849866454446,2.8871692170857285e-08,2.3725535022791055e-06,3.3875991945676736e-08,2.410190719838881e-06,5.195406941257259e-07,3.1901752929690693e-06
733.9726351991704,2.9190283118119085e-08,2.4699777119834783e-06,3.482951680494068e-08,2.5088656880020217e-06,5.391394491291784e-07,3.303170811818597e-06
764.1522010058766,2.952834799034954e-08,2.571395649667426e-06,3.583572885357868e-08,2.6115569331768957e-06,5.589866493085545e-07,3.420089355998409e-06
795.5726934474478,2.988641692178587e-08,2.6769700708605313e-06,3.689548532569943e-08,2.7184261686367593e-06,5.790457240345741e-07,3.5411006263154772e-06
828.2851370788098,3.026557866713433e-08,2.786872489068512e-06,3.800995204768999e-08,2.8296436553681117e-06,5.992780672043853e-07,3.6663880138310467e-06
862.3426544880288,3.066621658046587e-08,2.90127860945605e-06,3.917944823592582e-08,2.945383974329197e-06,6.196455633999901e-07,3.796142445234163e-06
897.8005525634636,3.108857904255608e-08,3.020372622859881e-06,4.040394784066078e-08,3.0658300985304633e-06,6.40108813938106e-07,3.930569287799684e-06
934.7164123080624,3.153346648146167e-08,3.144346099648237e-06,4.168361420813636e-08,3.1911723924297805e-06,6.606294225374329e-07,4.069885325586472e-06
973.1501823466471,3.200131797503756e-08,3.2733985345042174e-06,4.3018029715324315e-08,3.321609182929678e-06,6.811693153026152e-07,4.21432055133341e-06
1013.1642762780488,3.2492130375673e-08,3.407737486756271e-06,4.440611541539687e-08,3.457346952869099e-06,7.016915823954986e-07,4.364117733980517e-06
1054.8236740301722,3.300645639494485e-08,3.54757933760309e-06,4.5846951043971056e-08,3.59860108790834e-06,7.221613910379624e-07,4.519532860196672e-06
1098.196027382591,3.3544009265064375e-08,3.6931486532786065e-06,4.7338629023139155e-08,3.745595351025637e-06,7.425450503194425e-07,4.680836977070427e-06
1143.3517698280332,3.4104996967332694e-08,3.844680275405779e-06,4.887932398510942e-08,3.898563939067748e-06,7.628128422911227e-07,4.8483122749378595e-06
1190.3642309511577,3.4689215182953346e-08,4.002417988185573e-06,5.0466598471083325e-08,4.057750238674781e-06,7.829372264871887e-07,5.0222560744964594e-06
1239.309755510381,3.529640363699516e-08,4.16661601938667e-06,5.2097680956744815e-08,4.223408354321666e-06,8.028943910607731e-07,5.202979106304708e-06
1290.2678274161112,3.5926191248646235e-08,4.337539597796448e-06,5.376946186628658e-08,4.3958036842800915e-06,8.226641400473997e-07,5.390806241768671e-06
1343.321198806739,3.657810521416544e-08,4.515463312613341e-06,5.547851600579252e-08,4.575211417576284e-06,8.422298561395011e-07,5.586077238100991e-06
1398.5560244319877,3.725153862710846e-08,4.700675718226358e-06,5.7221126614917214e-08,4.761920963881594e-06,8.61579903648098e-07,5.789143497761397e-06
1456.062001561853,3.794580930602701e-08,4.893473124181247e-06,5.899334588592627e-08,4.9562301320893795e-06,8.807055528757101e-07,6.0003743313592575e-06
1515.9325156483283,3.8660098960171636e-08,5.0941723419366505e-06,6.07910555331167e-08,5.158457204038126e-06,8.996054029560397e-07,6.220145101416177e-06
1578.2647919764756,3.939368272699231e-08,5.303088295511989e-06,6.261007271650284e-08,5.368919923527896e-06,9.182765005625228e-07,6.448861187494811e-06
1643.1600535510916,4.014541462802583e-08,5.52057311341363e-06,6.444599972588445e-08,5.587972198915999e-06,9.367308561576464e-07,6.686915663522565e-06
1710.7236854753774,4.091432126027003e-08,5.746975707318639e-06,6.629452332996435e-08,5.815966305660012e-06,9.549761704839088e-07,6.934736651396204e-06
1781.0654060885513,4.169997511890203e-08,5.982630254056653e-06,6.8151705902533e-08,6.053242330583868e-06,9.73010934677427e-07,7.192797475932258e-06
1854.299445140307,4.250089274345787e-08,6.227970064259378e-06,7.001344070628602e-08,6.300233936961069e-06,9.908794188550787e-07,7.461496521569665e-06
1930.5447292914844,4.331632904591673e-08,6.483357971835434e-06,7.187580532291364e-08,6.557311218647264e-06,1.0085837395426537e-06,7.741338302988267e-06
2009.9250752421622,4.414571567084983e-08,6.7492192916726995e-06,7.373562543101041e-08,6.824903455096145e-06,1.0261564029935593e-06,8.032795456270713e-06
2092.569390800818,4.498746471475966e-08,7.025986480128622e-06,7.558907691939188e-08,7.10344828669467e-06,1.0436265497118515e-06,8.336368099376253e-06
2178.6118842210713,4.584105281298132e-08,7.314119214355592e-06,7.743359008479026e-08,7.393409976455077e-06,1.0610319265285806e-06,8.652570570756733e-06
2268.1922821459616,4.670702018958153e-08,7.614046382382284e-06,7.926741805431532e-08,7.695227247161255e-06,1.078385456227205e-06,8.981954142204271e-06
2361.4560565136667,4.758344518402886e-08,7.926296062710767e-06,8.108775632438072e-08,8.009430392163206e-06,1.0957475112016248e-06,9.325053150001935e-06
2458.5546607931824,4.847009891263829e-08,8.251353615885029e-06,8.289307133379622e-08,8.336513300407702e-06,1.113145029107967e-06,9.682448855790233e-06
2559.645775933539,4.936708195049195e-08,8.589758925914854e-06,8.468273603632826e-08,8.67702155626867e-06,1.130627917552088e-06,1.0054725047610047e-05
2664.893566426,5.027395562018633e-08,8.942059614224512e-06,8.645582863614067e-08,9.031510454970287e-06,1.1482327673046628e-06,1.0442507006141075e-05
2774.4689468950514,5.1190620340958246e-08,9.308809113428834e-06,8.821230963510465e-08,9.400540253233548e-06,1.1660094880258403e-06,1.0846400068610506e-05
2888.5498596510947,5.2117294807845336e-08,9.690623286390518e-06,8.995252375357921e-08,9.784733945167266e-06,1.1840019288371862e-06,1.1267082859036275e-05
3007.32156365561,5.3053585683844867e-08,1.0088118092993996e-05,9.167676181113798e-08,1.0184714806165336e-05,1.2022585385150924e-06,1.1705229135336573e-05
