omega,Overhead_Tv_real_0_0,Overhead_Tv_imag_0_0,Overhead_Tv_real_0_1,Overhead_Tv_imag_0_1,Overhead_Tv_real_0_2,Overhead_Tv_imag_0_2,Overhead_Tv_real_1_0,Overhead_Tv_imag_1_0,Overhead_Tv_real_1_1,Overhead_Tv_imag_1_1,Overhead_Tv_real_1_2,Overhead_Tv_imag_1_2,Overhead_Tv_real_2_0,Overhead_Tv_imag_2_0,Overhead_Tv_real_2_1,Overhead_Tv_imag_2_1,Overhead_Tv_real_2_2,Overhead_Tv_imag_2_2,Overhead_Ti_real_0_0,Overhead_Ti_imag_0_0,Overhead_Ti_real_0_1,Overhead_Ti_imag_0_1,Overhead_Ti_real_0_2,Overhead_Ti_imag_0_2,Overhead_Ti_real_1_0,Overhead_Ti_imag_1_0,Overhead_Ti_real_1_1,Overhead_Ti_imag_1_1,Overhead_Ti_real_1_2,Overhead_Ti_imag_1_2,Overhead_Ti_real_2_0,Overhead_Ti_imag_2_0,Overhead_Ti_real_2_1,Overhead_Ti_imag_2_1,Overhead_Ti_real_2_2,Overhead_Ti_imag_2_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
9.4011258904507542e+01,-3.5216673746718835e-01,6.1357459022478023e-03,7.1828716823430627e-01,-5.8087330169864781e-04,5.7477978384847794e-01,-5.3537857596828616e-03,8.4062596274558188e-01,1.2986240642077207e-03,-4.3838158382984077e-02,-1.0748267324030124e-02,5.8317575742658068e-01,-1.1727477961716148e-03,-4.1108678595855902e-01,-1.7172663969375002e-02,-6.9418332055852472e-01,1.1636778489289151e-02,5.7400384269450544e-01,-4.8771140665952728e-03,-3.8042539888420451e-01,-1.0366596920587600e-02,7.2358166533088997e-01,-1.2306757719993497e-02,6.0255509860939216e-01,-1.3769416483042597e-03,8.1287289925364314e-01,7.3978981193564657e-03,-3.4215844581704360e-02,1.3223400050437378e-02,5.4066161270684621e-01,-8.3162889124339858e-03,-4.4493108287487987e-01,8.5324103408502602e-03,-6.8990138734648354e-01,-1.9284499760428217e-03,5.8943220346534952e-01,-1.9049391696696527e-03,5.0664320728967130e-04,5.1502609648779759e-04,8.1073290365319848e-04,9.9520340901839355e-01,-4.7437581552013955e-02,9.9576584234971655e-01,-4.8250952421287234e-02,9.8918767320184842e-01,-7.5540259262131745e-02
9.7876823965948702e+01,-3.5265747951352089e-01,6.1041652842428740e-03,7.1810979635174521e-01,-6.7511084529540966e-04,5.7476244865137216e-01,-5.2866076248572064e-03,8.4061401061275987e-01,1.4208799478174217e-03,-4.3392378103351698e-02,-1.0611009188042378e-02,5.8320994545240923e-01,-1.2774831796195547e-03,-4.1070285622634506e-01,-1.6872209653167908e-02,-6.9439842946709662e-01,1.1540960496369934e-02,5.7398719778930241e-01,-4.8377408164932273e-03,-3.8082532995115337e-01,-1.0290697035121459e-02,7.2334060933083377e-01,-1.2218222971726670e-02,6.0252342651606094e-01,-1.4846593758229983e-03,8.1285732590895798e-01,7.2906608479368180e-03,-3.3708538314370450e-02,1.3046791206981120e-02,5.4072422546632026e-01,-8.1284830849234352e-03,-4.4458676045284912e-01,8.3423086412649089e-03,-6.9016602012722472e-01,-1.7919462366769246e-03,5.8940099876214502e-01,-1.9747856435645582e-03,5.0652892869051827e-04,5.1494875790321999e-04,8.0903402191294382e-04,9.9510726312891995e-01,-4.9375333621779566e-02,9.9566420102204811e-01,-5.0225554744454858e-02,9.8861666267207171e-01,-7.8448318528564293e-02
1.0190133374761122e+02,-3.5313474859273214e-01,6.0566750450867790e-03,7.1793771037431042e-01,-7.7420542077057120e-04,5.7474510201211559e-01,-5.2206617856670103e-03,8.4060104635618516e-01,1.5421387083539573e-03,-4.2959899754864708e-02,-1.0459445442022061e-02,5.8324420788480169e-01,-1.3804666646204961e-03,-4.1033206823684792e-01,-1.6560871755676360e-02,-6.9460711393857877e-01,1.1438920774043460e-02,5.7397044446570067e-01,-4.7989128005094320e-03,-3.8121361172748758e-01,-1.0202281212382851e-02,7.2310604734809902e-01,-1.2121970905367381e-02,6.0249183477132817e-01,-1.5904192300148902e-03,8.1284043326691990e-01,7.1851298642975573e-03,-3.3216707480913689e-02,1.2854277817367957e-02,5.4078701942200702e-01,-7.9438536216867618e-03,-4.4425299921028927e-01,8.1416132880879673e-03,-6.9042171181119016e-01,-1.6483490543456880e-03,5.8936971224727364e-01,-2.0436350736423373e-03,5.0641871256313492e-04,5.1487210021504892e-04,8.0730863727436757e-04,9.9500298677608001e-01,-5.1392501023556116e-02,9.9555394737330238e-01,-5.2280866379426978e-02,9.8800955237916743e-01,-8.1463277856018396e-02
1.0609132375560732e+02,-3.5359862902178429e-01,5.9939906667824255e-03,7.1777091059078635e-01,-8.7817671326569091e-04,5.7472772417752960e-01,-5.1556964028834119e-03,8.4058707648995257e-01,1.6628481140515960e-03,-4.2540651221227958e-02,-1.0293853163311922e-02,5.8327856667657374e-01,-1.4820979043303623e-03,-4.0997439044529482e-01,-1.6238306039566802e-02,-6.9480939409328013e-01,1.1330674110092073e-02,5.7395358415524078e-01,-4.7604761521621384e-03,-3.8159032814904048e-01,-1.0101799244378708e-02,7.2287801506039562e-01,-1.2018031955758618e-02,6.0246028952627706e-01,-1.6946363199611522e-03,8.1282225766005356e-01,7.0810264263978413e-03,-3.2740274963908501e-02,1.2646135697343915e-02,5.4085001468525951e-01,-7.7616662861797088e-03,-4.4392979335397648e-01,7.9302093112091094e-03,-6.9066854039752623e-01,-1.4977307324103113e-03,5.8933834244974881e-01,-2.1117702149710971e-03,5.0631883647724127e-04,5.1480318259317385e-04,8.0556750903646942e-04,9.9489020523669569e-01,-5.3493017393159557e-02,9.9543461789270249e-01,-5.4420929444366176e-02,9.8736387544113124e-01,-8.4589842932940765e-02
1.1045359822369301e+02,-3.5404796604407057e-01,5.9179489623062964e-03,7.1760983159267910e-01,-9.8630001693314484e-04,5.7471034895367756e-01,-5.0916870937917427e-03,8.4057207503620779e-01,1.7829593595867776e-03,-4.2135759324666032e-02,-1.0116004526234465e-02,5.8331296973694391e-01,-1.5824192685591834e-03,-4.0963082856330907e-01,-1.5906213751847226e-02,-6.9500473265456275e-01,1.1217069141367553e-02,5.7393663729730027e-01,-4.7224127174426405e-03,-3.8195454829721348e-01,-9.9908340126291968e-03,7.2265720269362921e-01,-1.1907312162127554e-02,6.0242883340766629e-01,-1.7973465028725485e-03,8.1280291913614511e-01,6.9784602654128737e-03,-3.2280498836973440e-02,1.2424416724394181e-02,5.4091313270770636e-01,-7.5818538961992567e-03,-4.4361808652310414e-01,7.7094835374957637e-03,-6.9090595597671456e-01,-1.3412419328293216e-03,5.8930691434302918e-01,-2.1792189540351184e-03,5.0622533252490259e-04,5.1473793663948215e-04,8.0380364701780399e-04,9.9476802121637498e-01,-5.5679904861233108e-02,9.9530530338620282e-01,-5.6648793204056053e-02,9.8667718439319141e-01,-8.7831060662334204e-02
1.1499524116283990e+02,-3.5448273272014824e-01,5.8296225211925817e-03,7.1745448075750251e-01,-1.0983533090546116e-03,5.7469298226555432e-01,-5.0284620295475996e-03,8.4055608562361717e-01,1.9027488042993035e-03,-4.1745222947097267e-02,-9.9266621005337351e-03,5.8334739984890893e-01,-1.6817055551045651e-03,-4.0930134075155394e-01,-1.5564916690640224e-02,-6.9519312783819653e-01,1.1098396648850178e-02,5.7391961809793723e-01,-4.6846155233491883e-03,-3.8230629336296212e-01,-9.8701848859365955e-03,7.2244368210187193e-01,-1.1790149088608979e-02,6.0239748132862581e-01,-1.8988355526409454e-03,8.1278250735257784e-01,6.8772573314712041e-03,-3.1837367410164547e-02,1.2189969356762465e-02,5.4097631712671945e-01,-7.4039083060803007e-03,-4.4331790830813156e-01,7.4798307062544627e-03,-6.9113403174202737e-01,-1.1792824266031489e-03,5.8927545670397408e-01,-2.2461796477246053e-03,5.0614110617382309e-04,5.1467967353600397e-04,8.0202160255737594e-04,9.9463582203088885e-01,-5.7957064460808450e-02,9.9516530870955289e-01,-5.8968439084054289e-02,9.8594675802469711e-01,-9.1191264058689200e-02
1.1972362786514542e+02,-3.5490182874666698e-01,5.7310273585648580e-03,7.1730527248766074e-01,-1.2135098263660049e-03,5.7467566200796405e-01,-4.9660166314296553e-03,8.4053908364256968e-01,2.0221180108320191e-03,-4.1370118007520676e-02,-9.7278130178549641e-03,5.8338179703517057e-01,-1.7799692307932640e-03,-4.0898688119452231e-01,-1.5216379218595449e-02,-6.9537406637614285e-01,1.0975621018667503e-02,5.7390255048049743e-01,-4.6470769369268156e-03,-3.8264467462621549e-01,-9.7415966180141936e-03,7.2223811780690939e-01,-1.1667592398324296e-02,6.0236627587380220e-01,-1.9991032891577419e-03,8.1276115603824717e-01,6.7775398059774731e-03,-3.1412075754520041e-02,1.1945095515305685e-02,5.4103949141469665e-01,-7.2278240150913942e-03,-4.4303015710215665e-01,7.2428504182902968e-03,-6.9135225585403548e-01,-1.0131280206621025e-03,5.8924399379198777e-01,-2.3126570800722302e-03,5.0606068616864655e-04,5.1462275527141437e-04,8.0021243100373023e-04,9.9449250951638146e-01,-6.0327572226678110e-02,9.9501353608515120e-01,-6.1382966353641127e-02,9.8516986251539040e-01,-9.4673373491498805e-02
1.2464643688076109e+02,-3.5530548689988456e-01,5.6230958434881212e-03,7.1716212457651574e-01,-1.3316135648166472e-03,5.7465838438996242e-01,-4.9041706053796156e-03,8.4052110377643074e-01,2.1413638139251845e-03,-4.1010209217296249e-02,-9.5200708282393749e-03,5.8341616132685770e-01,-1.8774979126335335e-03,-4.0868721338685216e-01,-1.4860755483068019e-02,-6.9554765830689858e-01,1.0848958170298961e-02,5.7388544054305968e-01,-4.6096852291433611e-03,-3.8296991896197374e-01,-9.6057352219728262e-03,7.2204044897179043e-01,-1.1539914824316572e-02,6.0233521267462209e-01,-2.0984478609718904e-03,8.1273893941349451e-01,6.6790932205420175e-03,-3.1004346581370568e-02,1.1690467325095596e-02,5.4110263878381515e-01,-7.0530717389080963e-03,-4.4275467746582148e-01,6.9988170561784092e-03,-6.9156083094382581e-01,-8.4306018257678927e-04,5.8921253699129628e-01,-2.3788569191347461e-03,5.0598795101742622e-04,5.1457150642795710e-04,7.9838166390770911e-04,9.9433736245237747e-01,-6.2795739445851442e-02,9.9484917063928002e-01,-6.3896778334941687e-02,9.8434342631579641e-01,-9.8282012855875511e-02
1.2977166248729000e+02,-3.5569324328251456e-01,5.5076217195224042e-03,7.1702519153206057e-01,-1.4519780558248929e-03,5.7464118404182796e-01,-4.8428838876111609e-03,8.4050217718734732e-01,2.2604681196773946e-03,-4.0665922157567383e-02,-9.3051416476614499e-03,5.8345043539607833e-01,-1.9743597054003286e-03,-4.0840264934276060e-01,-1.4499628380883228e-02,-6.9571370683896838e-01,1.0719220984346717e-02,5.7386831282993189e-01,-4.5724116464712916e-03,-3.8328168678253310e-01,-9.4641084714757427e-03,7.2185097666954101e-01,-1.1408028491374778e-02,6.0230434152321466e-01,-2.1969325720887769e-03,8.1271599652335402e-01,6.5819408442894019e-03,-3.0614633120113841e-02,1.1428046276879924e-02,5.4116566325380866e-01,-6.8795340739061890e-03,-4.4249182773484275e-01,6.7490745463302318e-03,-6.9175962288741277e-01,-6.7012235629730545e-04,5.8918112344618423e-01,-2.4448278195661113e-03,5.0591939700706358e-04,5.1452232769291133e-04,7.9652321085964348e-04,9.9416923961064718e-01,-6.5365133150435392e-02,9.9467103813337743e-01,-6.6513475657875326e-02,9.8346434271176897e-01,-1.0202052137227614e-01
1.3510762767190218e+02,-3.5606528151195005e-01,5.3856329392927282e-03,7.1689440124437986e-01,-1.5743764942356409e-03,5.7462406808899857e-01,-4.7819989318135022e-03,8.4048234754280771e-01,2.3796816374347107e-03,-4.0337058985999000e-02,-9.0837696350902983e-03,5.8348460141465619e-01,-2.0708090751498289e-03,-4.0813296803907279e-01,-1.4133338017324582e-02,-6.9587230677072209e-01,1.0586702710829288e-02,5.7385118008642699e-01,-4.5351553705559478e-03,-3.8358016366424891e-01,-9.3174764305223607e-03,7.2166965262738347e-01,-1.1272297180390595e-02,6.0227367178389402e-01,-2.2948166649800796e-03,8.1269241271743042e-01,6.4858908188890514e-03,-3.0242696596076396e-02,1.1158659668584557e-02,5.4122852749510098e-01,-6.7067464413629015e-03,-4.4224146761017619e-01,6.4940385192757801e-03,-6.9194881485009752e-01,-4.9468243682949681e-04,5.8914977236543853e-01,-2.5107530386321913e-03,5.0585798377359727e-04,5.1447851107005148e-04,7.9464084571492712e-04,9.9398718128047769e-01,-6.8040297872504762e-02,9.9447809009900123e-01,-6.9237689696159649e-02,9.8252913975680223e-01,-1.0589350963102376e-01
