segment,phase,t,h,accepted_steps,residual_evals,jacobian_evals,error_test_failures
1,step,1.0076790622490648,0.00018339791195971049,30,66,16,1
1,step,1.0077707612050446,9.1698955979855243e-05,31,70,18,1
1,step,1.0079541591170043,0.00018339791195971049,32,72,19,1
1,step,1.0080458580729841,9.1698955979855243e-05,33,76,21,1
1,step,1.0082292559849437,0.00018339791195971049,34,78,22,1
1,step,1.0083209549409236,9.1698955979855243e-05,35,83,24,1
1,step,1.0085043528528832,0.00018339791195971049,36,85,25,1
1,step,1.008596051808863,9.1698955979855243e-05,37,89,27,1
1,step,1.0087794497208227,0.00018339791195971049,38,91,28,1
1,step,1.0091462455447422,0.00036679582391942097,39,93,29,1
1,step,1.0093296434567018,0.00018339791195971049,40,97,31,1
1,step,1.0094213424126817,9.1698955979855243e-05,41,101,33,1
1,step,1.0096047403246413,0.00018339791195971049,42,103,34,1
1,step,1.0096964392806211,9.1698955979855243e-05,43,108,36,1
1,step,1.0098798371925808,0.00018339791195971049,44,110,37,1
1,step,1.0102466330165003,0.00036679582391942097,45,112,38,1
1,step,1.01043003092846,0.00018339791195971049,46,116,40,1
1,step,1.0105217298844398,9.1698955979855243e-05,47,120,42,1
1,step,1.0107051277963994,0.00018339791195971049,48,122,43,1
1,step,1.0110719236203189,0.00036679582391942097,49,124,44,1
1,step,1.0118055152681578,0.00073359164783884194,50,126,45,1
1,step,1.0125391069159966,0.00073359164783884194,51,127,45,1
1,step,1.0127225048279562,0.00018339791195971049,52,133,47,1
1,step,1.0128142037839361,9.1698955979855243e-05,53,138,49,1
1,step,1.0129976016958957,0.00018339791195971049,54,140,50,1
1,step,1.0130893006518755,9.1698955979855243e-05,55,146,52,1
1,step,1.0132726985638352,0.00018339791195971049,56,148,53,1
1,step,1.0136394943877547,0.00036679582391942097,57,150,54,1
1,step,1.0143730860355935,0.00073359164783884194,58,152,55,1
1,step,1.0151066776834323,0.00073359164783884194,59,153,55,1
1,step,1.0158402693312711,0.00073359164783884194,60,154,55,1
1,step,1.01657386097911,0.00073359164783884194,61,155,55,1
1,step,1.0173074526269488,0.00073359164783884194,62,156,55,1
1,step,1.0180410442747876,0.00073359164783884194,63,157,55,1
1,step,1.0187746359226264,0.00073359164783884194,64,158,55,1
1,step,1.0195082275704652,0.00073359164783884194,65,159,55,1
1,step,1.0209754108661429,0.0014671832956776839,66,161,56,1
1,step,1.0224425941618205,0.0014671832956776839,67,162,56,1
1,step,1.0231761858096593,0.00073359164783884194,68,166,58,1
1,step,1.0235429816335788,0.00036679582391942097,69,170,60,1
1,step,1.0237263795455385,0.00018339791195971049,70,176,62,1
1,step,1.024093175369458,0.00036679582391942097,71,178,63,1
1,step,1.0242765732814176,0.00018339791195971049,72,184,65,1
1,step,1.0246433691053372,0.00036679582391942097,73,186,66,1
1,step,1.025376960753176,0.00073359164783884194,74,188,67,1
1,step,1.0257437565770955,0.00036679582391942097,75,193,69,1
1,step,1.0264773482249343,0.00073359164783884194,76,195,70,1
1,step,1.0268441440488538,0.00036679582391942097,77,201,72,1
1,step,1.0275777356966926,0.00073359164783884194,78,203,73,1
1,step,1.0279445315206122,0.00036679582391942097,79,209,75,1
1,step,1.028678123168451,0.00073359164783884194,80,211,76,1
1,step,1.0290449189923705,0.00036679582391942097,81,215,78,1
1,step,1.0297785106402093,0.00073359164783884194,82,217,79,1
1,step,1.0301453064641288,0.00036679582391942097,83,223,81,1
1,step,1.0308788981119676,0.00073359164783884194,84,225,82,1
1,step,1.0312456939358872,0.00036679582391942097,85,231,84,1
1,step,1.031979285583726,0.00073359164783884194,86,233,85,1
1,step,1.0323460814076455,0.00036679582391942097,87,238,87,1
1,step,1.0330796730554843,0.00073359164783884194,88,240,88,1
1,step,1.0334464688794038,0.00036679582391942097,89,246,90,1
1,step,1.0341800605272427,0.00073359164783884194,90,248,91,1
1,step,1.0345468563511622,0.00036679582391942097,91,253,93,1
1,step,1.035280447999001,0.00073359164783884194,92,255,94,1
1,step,1.0356472438229205,0.00036679582391942097,93,260,96,1
1,step,1.0363808354707593,0.00073359164783884194,94,262,97,1
1,step,1.0367476312946788,0.00036679582391942097,95,268,99,1
1,step,1.0374812229425177,0.00073359164783884194,96,270,100,1
1,step,1.0378480187664372,0.00036679582391942097,97,275,102,1
1,step,1.038581610414276,0.00073359164783884194,98,277,103,1
1,step,1.0389484062381955,0.00036679582391942097,99,283,105,1
1,step,1.0396819978860343,0.00073359164783884194,100,285,106,1
1,step,1.0400487937099538,0.00036679582391942097,101,290,108,1
1,step,1.0407823853577927,0.00073359164783884194,102,292,109,1
1,step,1.0411491811817122,0.00036679582391942097,103,298,111,1
1,step,1.041882772829551,0.00073359164783884194,104,300,112,1
1,step,1.0433499561252286,0.0014671832956776839,105,302,113,1
1,step,1.0440835477730674,0.00073359164783884194,106,306,115,1
1,step,1.044450343596987,0.00036679582391942097,107,312,117,1
1,step,1.0451839352448258,0.00073359164783884194,108,314,118,1
1,step,1.0455507310687453,0.00036679582391942097,109,320,120,1
1,step,1.0462843227165841,0.00073359164783884194,110,322,121,1
1,step,1.0466511185405036,0.00036679582391942097,111,328,123,1
1,step,1.0473847101883424,0.00073359164783884194,112,330,124,1
1,step,1.0488518934840201,0.0014671832956776839,113,332,125,1
1,step,1.0503190767796977,0.0014671832956776839,114,338,126,1
1,step,1.0517862600753753,0.0014671832956776839,115,340,126,1
1,step,1.053253443371053,0.0014671832956776839,116,341,126,1
1,step,1.0547206266667306,0.0014671832956776839,117,342,126,1
1,step,1.0561878099624082,0.0014671832956776839,118,343,126,1
1,step,1.0576549932580859,0.0014671832956776839,119,344,126,1
1,step,1.0591221765537635,0.0014671832956776839,120,345,126,1
1,step,1.0598557682016023,0.00073359164783884194,121,351,128,1
1,step,1.06132295149728,0.0014671832956776839,122,353,129,1
1,step,1.0620565431451188,0.00073359164783884194,123,359,131,1
1,step,1.0635237264407964,0.0014671832956776839,124,361,132,1
1,step,1.0642573180886352,0.00073359164783884194,125,367,134,1
1,step,1.0657245013843129,0.0014671832956776839,126,369,135,1
1,step,1.0686588679756681,0.0029343665913553678,127,371,136,1
1,step,1.0715932345670234,0.0029343665913553678,128,372,136,1
1,step,1.0745276011583786,0.0029343665913553678,129,373,136,1
1,step,1.0803963343410894,0.0058687331827107355,130,375,136,1
1,step,1.0862650675238001,0.0058687331827107355,131,376,136,1
1,step,1.0921338007065109,0.0058687331827107355,132,377,136,1
1,step,1.0980025338892216,0.0058687331827107355,133,378,136,1
1,step,1.1038712670719324,0.0058687331827107355,134,379,136,1
1,step,1.1097400002546431,0.0058687331827107355,135,380,136,1
1,step,1.1156087334373539,0.0058687331827107355,136,381,136,1
1,step,1.1214774666200646,0.0058687331827107355,137,382,136,1
1,step,1.1273461998027754,0.0058687331827107355,138,383,136,1
1,step,1.1332149329854861,0.0058687331827107355,139,384,136,1
1,step,1.1390836661681969,0.0058687331827107355,140,385,136,1
1,step,1.1449523993509076,0.0058687331827107355,141,386,136,1
1,step,1.1508211325336184,0.0058687331827107355,142,387,136,1
1,end,1.1499999999999999,0,142,387,136,1
2,init,1.1499999999999999,0,0,6,2,0
2,step,1.1500041666666665,4.1666666666666516e-06,1,8,3,0
2,step,1.1500083333333331,4.1666666666666516e-06,2,9,3,0
2,step,1.1500166666666665,8.3333333333333032e-06,3,11,3,0
2,step,1.1500333333333332,1.6666666666666606e-05,4,12,4,0
2,step,1.1500666666666666,3.3333333333333213e-05,5,14,5,0
2,step,1.1501333333333332,6.6666666666666426e-05,6,16,6,0
2,step,1.1502666666666665,0.00013333333333333285,7,18,7,0
2,step,1.1503999999999999,0.00013333333333333285,8,19,7,0
2,step,1.1505333333333332,0.00013333333333333285,9,20,7,0
2,step,1.1507999999999998,0.0002666666666666657,10,22,7,0
2,step,1.1510666666666665,0.0002666666666666657,11,23,7,0
2,step,1.1514397602566442,0.00037309358997769096,12,27,8,1
2,step,1.1518128538466219,0.00037309358997769096,13,28,8,1
2,step,1.1521859474365996,0.00037309358997769096,14,29,8,1
2,step,1.1525590410265774,0.00037309358997769096,15,30,8,1
2,step,1.1529321346165551,0.00037309358997769096,16,32,9,1
2,step,1.1533052282065328,0.00037309358997769096,17,33,9,1
2,step,1.1540514153864883,0.00074618717995538191,18,35,10,1
2,step,1.1547229838484481,0.00067156846195984374,19,37,10,1
2,step,1.1553945523104079,0.00067156846195984374,20,39,10,1
2,step,1.1560661207723677,0.00067156846195984374,21,40,10,1
2,step,1.1574092576962873,0.0013431369239196875,22,42,11,1
2,step,1.158752394620207,0.0013431369239196875,23,43,11,1
2,step,1.1600955315441266,0.0013431369239196875,24,44,11,1
2,step,1.1627818053919661,0.002686273847839375,25,46,11,1
2,step,1.1654680792398056,0.002686273847839375,26,47,11,1
2,step,1.1708406269354843,0.0053725476956787499,27,49,12,1
2,step,1.176213174631163,0.0053725476956787499,28,50,12,1
2,step,1.1815857223268418,0.0053725476956787499,29,51,12,1
2,step,1.1864210152529526,0.0048352929261108752,30,53,12,1
2,step,1.1912563081790635,0.0048352929261108752,31,54,12,1
2,step,1.1956080718125632,0.004351763633499788,32,56,12,1
2,step,1.199959835446063,0.004351763633499788,33,57,12,1
2,step,1.2043115990795628,0.004351763633499788,34,58,12,1
2,step,1.2086633627130625,0.004351763633499788,35,59,12,1
2,step,1.2130151263465623,0.004351763633499788,36,61,12,1
2,step,1.217366889980062,0.004351763633499788,37,62,12,1
2,step,1.2217186536135618,0.004351763633499788,38,63,12,1
2,step,1.2304221808805613,0.0087035272669995761,39,65,12,1
2,step,1.2382553554208608,0.0078331745402996193,40,67,12,1
2,step,1.2460885299611604,0.0078331745402996193,41,68,12,1
2,step,1.2539217045014599,0.0078331745402996193,42,69,12,1
2,step,1.2617548790417594,0.0078331745402996193,43,70,12,1
2,step,1.269588053582059,0.0078331745402996193,44,71,12,1
2,step,1.2774212281223585,0.0078331745402996193,45,72,12,1
2,step,1.285254402662658,0.0078331745402996193,46,73,12,1
2,step,1.2930875772029575,0.0078331745402996193,47,74,12,1
2,step,1.3009207517432571,0.0078331745402996193,48,75,12,1
2,step,1.3087539262835566,0.0078331745402996193,49,76,12,1
2,step,1.3165871008238561,0.0078331745402996193,50,78,12,1
2,step,1.3244202753641556,0.0078331745402996193,51,80,12,1
2,step,1.3322534499044552,0.0078331745402996193,52,81,12,1
2,step,1.3400866244447547,0.0078331745402996193,53,82,12,1
2,step,1.3479197989850542,0.0078331745402996193,54,83,12,1
