time_s,accepted_steps,residual_evaluations,error_test_failures
2.48,115977,185763,6178
2.49,116384,186429,6196
2.5,116897,187230,6220
2.51,117332,187918,6251
2.52,117810,188684,6276
2.53,118220,189381,6310
2.54,118632,190052,6342
2.55,119115,190843,6381
2.56,119601,191624,6403
2.57,119985,192219,6423
2.58,120480,193023,6448
2.59,120871,193641,6461
2.6,121303,194385,6490
2.61,121723,195059,6518
2.62,122126,195707,6548
2.63,122580,196456,6575
2.64,122992,197090,6595
2.65,123417,197852,6633
2.66,123840,198567,6662
2.67,124254,199206,6675
2.68,124636,199832,6700
2.69,125001,200460,6721
2.7,125408,201161,6735
2.71,125820,201841,6756
2.72,126211,202476,6772
2.73,126602,203134,6800
2.74,127031,203824,6816
2.75,127445,204553,6869
2.76,127888,205289,6903
2.77,128292,205960,6924
2.78,128691,206615,6948
2.79,129065,207262,6978
2.8,129537,208040,7025
2.81,129973,208741,7045
2.82,130334,209417,7069
2.83,130760,210065,7085
2.84,131181,210682,7099
2.85,131643,211465,7138
2.86,132031,212094,7168
2.87,132503,212852,7206
2.88,132926,213574,7239
2.89,133375,214252,7253
2.9,133796,214999,7290
2.91,134180,215602,7318
2.92,134583,216253,7337
2.93,135070,217068,7360
2.94,135453,217707,7379
2.95,135868,218392,7413
2.96,136255,219016,7436
2.97,136631,219565,7451
2.98,137031,220216,7475
2.99,137435,220853,7494
3,137888,221554,7531
