omega,re_0,im_0,re_1,im_1,re_2,im_2
62.83185307179587,3.698982260738275e-08,2.1767510033295662e-07,4.42209392392622e-08,2.177769065906859e-07,4.0288769871640975e-08,3.475758615606651e-07
65.41537996857582,3.7036986973936176e-08,2.2637898358641746e-07,4.4295470945727484e-08,2.263821484976524e-07,4.159592426766538e-08,3.6120937404934755e-07
68.10513660234535,3.7081857054512914e-08,2.3544920197016676e-07,4.436589415139242e-08,2.353525345202325e-07,4.297275724748767e-08,3.7537342188477803e-07
70.90549093886288,3.712465970955806e-08,2.4490051749325037e-07,4.443252376558676e-08,2.4470277770044207e-07,4.4423245565228125e-08,3.900878694905498e-07
73.82099054637276,3.716565121720449e-08,2.5474832530779884e-07,4.449570830660102e-08,2.544482172211288e-07,4.5951668042185967e-08,4.0537333580455177e-07
76.85636998052001,3.7205045875891405e-08,2.6500881820091687e-07,4.4555745697784683e-08,2.646049751845821e-07,4.75624734456205e-08,4.2125133864067065e-07
80.01655847291823,3.724295302405631e-08,2.7569914608363475e-07,4.4612814084804705e-08,2.7519010072748723e-07,4.9260404690757376e-08,4.377444998623033e-07
83.3066879358569,3.727960468239333e-08,2.868362731503258e-07,4.466723273513118e-08,2.862204704050133e-07,5.105039516126035e-08,4.548752036325063e-07
86.73210129614749,3.731539337730491e-08,2.9843833768989914e-07,4.4719485264455204e-08,2.977141542470247e-07,5.293780335248695e-08,4.726668705718231e-07
90.29836117164085,3.7350327908368114e-08,3.105244007387606e-07,4.476963545292577e-08,3.0969006915251617e-07,5.492811221252513e-08,4.911443432755306e-07
94.01125890450754,3.7384661762178346e-08,3.2311410700592765e-07,4.48180095317209e-08,3.221677502786172e-07,5.702719843827833e-08,5.103327442611654e-07
97.8768239659487,3.741856688675541e-08,3.362279333797882e-07,4.486484822949014e-08,3.3516753636811153e-07,5.92412597157455e-08,5.30258271165437e-07
101.90133374761122,3.74523286160628e-08,3.4988720269153457e-07,4.4910495388086024e-08,3.4871063641640704e-07,6.157682120147623e-08,5.509475772619142e-07
106.09132375560732,3.748600208392868e-08,3.641141373880586e-07,4.495507307352935e-08,3.628190894989772e-07,6.404066473624953e-08,5.724288548530366e-07
110.453598223693,3.7520067816350105e-08,3.7893187710527047e-07,4.499908540830193e-08,3.775159592684533e-07,6.664012619329297e-08,5.947299319639144e-07
